Scène 2.VIII.,Scenarija 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, mlađi, koji su se sjedili desno i lijevo"
et auxquels on sert à boire et à manger.,i kojima se služi da piju i jedu.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (s goguenardnim pozdravom onima koji izlaze bez usuditi se pozdraviti):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo, gospodo"
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (srećan, spuštanje, ruke u nebo):"
  Ah ! dans quels jolis draps.,U lijepim odećima.
CYRANO:,"-O, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne"
  Oh ! toi ! tu vas grogner !,"Oh, ti, ti ćeš smrkat!"
LE BRET:,-Kret:
"  Enfin, tu conviendras","Konačno, bit će ti dobro."
"  Qu'assassiner toujours la chance passagère,","Da uvijek ubiješ prolazuću sreću,"
  Devient exagéré.,"-Ne, ne, ne, ne. -O, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne,"
CYRANO:,"-O, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne"
"  Hé bien oui, j'exagère !","Pa, da, pretjerujem."
LE BRET (triomphant):,BRET (trijumfant):
  Ah !,"-O, Bože!"
CYRANO:,"-O, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne"
"  Mais pour le principe, et pour l'exemple aussi,","Ali za princip, i za primjer,"
  Je trouve qu'il est bon d'exagérer ainsi.,Mislim da je dobro tako pretjerati.
LE BRET:,-Kret:
"  Si tu laissais un peu ton âme mousquetaire,","Ako bi malo ostavio svoju musketarsku dušu,"
  La fortune et la gloire. . .,Bogatstvo i slava. . . .
CYRANO:,"-O, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne"
  Et que faudrait-il faire ?,Što bi se trebalo učiniti?
"  Chercher un protecteur puissant, prendre un patron,","Tražiti moćnog zaštitnika, uzeti šefa,"
  Et comme un lierre obscur qui circonvient un tronc,I kao tamna lija koja okružuje trun
"  Et s'en fait un tuteur en lui léchant l'écorce,","I učini se njime zaštitnikom, lizanjem njezine šake,"
  Grimper par ruse au lieu de s'élever par force ?,Da se uzdiže na špijuna umjesto da se uzdiže na silu?
"  Non, merci. Dédier, comme tous il le font,","Ne, hvala."
  Des vers aux financiers ? se changer en bouffon,Od crva do financijskih?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","U plemenoj nadi vidjeti, na ustima ministra,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Napisati osmijeh, koji nije sinusni?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Ne, hvala, ali jel' svaki dan na ručku?"
  Avoir un ventre usé par la marche ? une peau,"Da se trčanje opušti stomakom, da se koža opušti."
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Tko je brže, umjesto koljena, prljav?"
  Exécuter des tours de souplesse dorsale ?. . .,Da li se radi o kretanju leđa? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Ne, hvala, samo jednom rukom, pomalo, za vrat."
"  Cependant que, de l'autre, on arrose le chou,","Ali, ako se na drugom, napojamo kabuli,"
"  Et, donneur de séné par désir de rhubarbe,","I koji se zažudi šljunama,"
