Scène 2.VIII.,2.8. jelenet.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, a fiatalokat, akik jobbra és balra ültek"
et auxquels on sert à boire et à manger.,"És szolgálják őket, hogy megesznek és igyák."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (szégyenlő szavakkal üdvözölte azokat, akik nem mertek meg köszönni):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim, uraim,"
"LE BRET (désolé, redescendant, les bras au ciel):","A BRET (szánalmas, visszafelé, karjaim a mennybe):"
  Ah ! dans quels jolis draps.,Milyen szép színű.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te, te,"
LE BRET:,A szar:
"  Enfin, tu conviendras",Végre megegyezik.
"  Qu'assassiner toujours la chance passagère,","Hogy mindig a véletlen szerencsét öld meg,"
  Devient exagéré.,Ez túlzás.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Hát igen, túlzás!"
LE BRET (triomphant):,A BÉRÉT (szegény):
  Ah !,- Az a helyzet.
CYRANO:,CYRANO:
