Scène 2.VIII.,2.8. տեսարան
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Կիրանո, Լե Բրեթ, կրտսերները, ովքեր նստել են աջ եւ ձախ"
et auxquels on sert à boire et à manger.,եւ նրանց ծառայում են ուտելու եւ խմելու համար:
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"Կիրանո (հաղթում է ծաղիկոտ հոսքով նրանց, ովքեր դուրս են գալիս առանց նրան ողջունելու):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոններ, պարոն, պարոն, պարոն, պարոն, պարոն, պարոն, պարոն, պարոն, պար"
"LE BRET (désolé, redescendant, les bras au ciel):","ՀԱՐՑԱՆ (խփոթ, իջնում, ձեռքերը երկնքի):"
  Ah ! dans quels jolis draps.,"Ա՜խ, ինչ գեղեցիկ կտորներ են։"
CYRANO:,Կիրանո.
  Oh ! toi ! tu vas grogner !,"Ա՜խ, դու կխմաս։"
LE BRET:,ԿԱՐԵՆ.
"  Enfin, tu conviendras","Եվ վերջապես, դու կհամաձայնես"
"  Qu'assassiner toujours la chance passagère,","Որ միշտ սպանել է անցյալի հաջողությունը,"
  Devient exagéré.,- Չափազանց մեծ է դառնում:
CYRANO:,Կիրանո.
"  Hé bien oui, j'exagère !","Այո, ես չափազանցում եմ:"
LE BRET (triomphant):,Հաղթանակի գեղձը.
  Ah !,"Ա՜խ, ինչ է:"
CYRANO:,Կիրանո.
"  Mais pour le principe, et pour l'exemple aussi,","Բայց սկզբունքին եւ օրինակին,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Կարծում եմ, որ լավ է չափազանցել այս ձեւով:"
LE BRET:,ԿԱՐԵՆ.
"  Si tu laissais un peu ton âme mousquetaire,","Եթե մի քիչ թողնես քո մուսկոտ հոգին,"
  La fortune et la gloire. . .,Հարստություն եւ փառք. . .
CYRANO:,Կիրանո.
  Et que faudrait-il faire ?,Եվ ի՞նչ պետք է անենք։
"  Chercher un protecteur puissant, prendre un patron,","Փնտրել ուժեղ պաշտպան, ընտրել ղեկավար,"
  Et comme un lierre obscur qui circonvient un tronc,"Եվ ինչպես խավարի լողավազան, որը շրջապատում է մի բամբաս:"
"  Et s'en fait un tuteur en lui léchant l'écorce,","Եվ նա իր համար հովանավոր է դառնում, նրա կոտորածը լցնելով,"
  Grimper par ruse au lieu de s'élever par force ?,"Կխելել խելքով, այլ ոչ թե ուժով:"
"  Non, merci. Dédier, comme tous il le font,","Ոչ, շնորհակալություն: նվիրել, ինչպես բոլորը,"
  Des vers aux financiers ? se changer en bouffon,Գնահատվել են մորթերից մինչեւ ֆինանսական գործիչներ
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Հույսով, որ տեսնելու համար, նախարարի շուրթերով,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Ուզում եմ ժպիտ ունենալ, որին ոչ մի վատ բան չի պատահում:"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","- Ոչ, շնորհակալություն։"
  Avoir un ventre usé par la marche ? une peau,"Կամ քայլելիս մաշկը կծանոթանալ,"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Ովքե՞ր են ամենաշատը, ովքեր ծնկների փոխարեն են մրգնում:"
  Exécuter des tours de souplesse dorsale ?. . .,Կատարել հողային հողատարածք.
"  Non, merci. D'une main flatter la chèvre au cou","Ոչ, շնորհակալություն, մի ձեռքով գազին գովովը"
"  Cependant que, de l'autre, on arrose le chou,","Բայց մյուսից ջրհեղեղը ջրհեղեղի,"
"  Et, donneur de séné par désir de rhubarbe,","Եվ սաստիկ շիկահեր,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Միշտ իր բորբոքիչը պահել իր բորբոքման մեջ:
"  Non, merci ! Se pousser de giron en giron,","Ոչ, շնորհակալություն, միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից միանգամից մի"
"  Devenir un petit grand homme dans un rond,","Դարձնել փոքր մեծ մարդ շրջանակներում,"
"  Et naviguer, avec des madrigaux pour rames,","Եվ նավարկել, նավակներով,"
  Et dans ses voiles des soupirs de vieilles dames ?,Իսկ նրա ծաղկախաղերի մեջ ծեր կանանց ծայրահեղական շունչը?
"  Non, merci ! Chez le bon éditeur de Sercy","Ոչ, շնորհակալություն, ճիշտ Sercy-ի խմբագրողի մոտ:"
"  Faire éditer ses vers en payant ? Non, merci !","- Կվճարեք, որ թարգմանեք իր գրքերը:"
  S'aller faire nommer pape par les conciles,Պապի կոչման համար գնալ խորհրդարանական ժողովներում
  Que dans des cabarets tiennent des imbéciles ?,Որ խանութներում հիմարներ են պահում:
"  Non, merci ! Travailler à se construire un nom","Ոչ, շնորհակալություն, աշխատում եմ անուն ստեղծելու համար"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Մի ձայնի վրա, այլ ոչ թե այլ ձայնի վրա:"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Շնորհակալություն, միայն խավարի մեջ է՞ր կարող ես գտնել տաղանդը:"
"  Être terrorisé par de vagues gazettes,","Վախենալ տապալված թերթերի կողմից,"
"  Et se dire sans cesse: Oh, pourvu que je sois",Եվ ես միշտ մտածում եմ.
  Dans les petits papiers du Mercure François ?. . .,Ֆրանցիսկոս Մերկուրի թղթերում...
"  Non, merci ! Calculer, avoir peur, être blême,","Չէ, շնորհակալություն, հաշվարկել, վախենալ, խելացի լինել,"
"  Aimer mieux faire une visite qu'un poème,","Ավելի լավ է այցելել, քան բանաստեղծություն,"
"  Rédiger des placets, se faire présenter ?","Գրելու, ներկայանալու համար:"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ոչ, շնորհակալություն, ոչ, շնորհակալություն, ոչ, շնորհակալություն, բայց... երգում եմ,"
"  Rêver, rire, passer, être seul, être libre,","Երազել, ծիծաղել, անցնել, մենակ լինել, ազատ լինել,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ունենալ աչք, որը լավ է տեսնում, ձայն, որը տապալում է,"
"  Mettre, quand il vous plaît, son feutre de travers,","Ու երբ ուզում ես, իր զգացմունքները խեղդել,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Այո, ոչ, պայքարել, կամ մի խառնուրդ անել!"
