Scène 2.VIII.,Ihe nkiri nke abụọ na asatọ.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, ndị na-eto eto, ndị nọ n'aka nri na aka ekpe"
et auxquels on sert à boire et à manger.,A na-ejikwa ha eme ihe oriri na ihe ọṅụṅụ.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (na-eji olu dara ụda ekele ndị na-apụ apụ n'emeghị ka ọ gaa):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ, ndị mmadụ,"
"LE BRET (désolé, redescendant, les bras au ciel):","OBI (nwute, na-agbadata, ogwe aka n'eluigwe):"
  Ah ! dans quels jolis draps.,Lee akwa mara mma ha na-eyi!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh , ị ga- asụ ude !"
LE BRET:,Ọ BỤ ỤFỌDỤ:
"  Enfin, tu conviendras","N'ikpeazụ, ị ga-eme nke ọma."
"  Qu'assassiner toujours la chance passagère,","Na-egbu mgbe nile ihe na-agaghị ekwe omume,"
  Devient exagéré.,Ọ na-abụkarị ihe na-agabiga ókè.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ọ dị mma, m na-ekwubiga okwu ókè."
LE BRET (triomphant):,Ọ BỤ ỤTỤTỤ ndị na - emeri emeri .
  Ah !,"Oh , ọ dị mma ."
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ma, n'ihe ndị mbụ, nakwa n'ihe atụ,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ọ dị m mma ikwubiga okwu ókè otú ahụ.
LE BRET:,Ọ BỤ ỤFỌDỤ:
"  Si tu laissais un peu ton âme mousquetaire,","Ọ bụrụ na ị hapụ mkpụrụ obi gị ka ọ na-agba ọsọ,"
  La fortune et la gloire. . .,Akụnụba na otuto . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Gịnị ka anyị kwesịrị ime ?
"  Chercher un protecteur puissant, prendre un patron,","Ịchọta onye nchebe dị ike, ịchọta onye isi,"
  Et comme un lierre obscur qui circonvient un tronc,Dị ka ihe na - acha ọkụ ọkụ nke na - ekpuchi ogwe osisi .
"  Et s'en fait un tuteur en lui léchant l'écorce,",Ọ na - eme onwe ya onye na - elekọta ya ma na - agwọ ya akpụkpọ ahụ́ ya .
  Grimper par ruse au lieu de s'élever par force ?,Ị̀ na-eji aghụghọ agbago n'elu ugwu kama iji ike agbago?
"  Non, merci. Dédier, comme tous il le font,",Ọ bụ ihe a ka m na-eme.
  Des vers aux financiers ? se changer en bouffon,Ndị na - emefu ego na - aghọ ndị na - emefu ego
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","N'ile anya na a ga - ahụ ya , n'ọnụ onye ozi ,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Ịmụmụ ọnụ ọchị, n'agbanyeghị, nke na-adịghị njọ?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Ọ̀ bụ na ị gaghị eri nri ehihie ọ bụla na-atọ ụtọ?
  Avoir un ventre usé par la marche ? une peau,"Ịdị na - agagharị na - eme ka afọ gị na - agbaze , akpụkpọ ahụ́ gị na - agbaze ,"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Ònye na-emebi ngwa ngwa karịa ikpere?
  Exécuter des tours de souplesse dorsale ?. . .,Ịgba ígwè na-agbanwe agbanwe n'azụ? . . .
"  Non, merci. D'une main flatter la chèvre au cou",Ọ bụ otu aka ka m ji na-eji na-akwanyere ewu ùgwù.
"  Cependant que, de l'autre, on arrose le chou,","Ma , ọ bụrụ na anyị na - agbanye kọl n'ebe ọzọ ,"
"  Et, donneur de séné par désir de rhubarbe,",Ọ bụ ya na-eme ka afọ ya na-ama jijiji n'ihi na ọ na-achọ ịkpụ isi awọ́.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Ị̀ na - enwe ihe nsure ọkụ ya mgbe niile n'ime agba ya ?
"  Non, merci ! Se pousser de giron en giron,",Ọ na-eme ka mmadụ na-agbanwe agbanwe.
"  Devenir un petit grand homme dans un rond,","Ịghọ obere nwoke ukwu na gburugburu,"
"  Et naviguer, avec des madrigaux pour rames,","Na-agagharị n'ụgbọ mmiri, na-eji ụgbọ mmiri eme njem,"
  Et dans ses voiles des soupirs de vieilles dames ?,Gịnị banyere mkpu arịrị nke ndị agadi nwanyị n' ime ákwà mgbochi ya ?
"  Non, merci ! Chez le bon éditeur de Sercy",Ọ bụ n'ụlọ akwụkwọ Sercy kwesịrị ekwesị.
"  Faire éditer ses vers en payant ? Non, merci !",Ị̀ na-akwụ ụgwọ ka e dezie ya?
  S'aller faire nommer pape par les conciles,Ịga Mee Ka Ndị Kọmitii Kpọọ Gị Ka Gị Bụrụ Poopu
  Que dans des cabarets tiennent des imbéciles ?,Ọ̀ bụ na ndị nzuzu anaghị anọ n'ụlọ ndị mmadụ ?
"  Non, merci ! Travailler à se construire un nom",Ọ bụ ya mere o ji na-eme ka ndị mmadụ mara ya
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Ọ̀ bụ otu ụda ka ị na-akpọ, kama ịkpọtụrụ ndị ọzọ?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Ọ̀ bụ naanị n'ebe ndị mmadụ na - anọkarị ka a na - achọpụta ihe ndị dị mma ?
"  Être terrorisé par de vagues gazettes,","Ịbụ onye a na-atụ egwu site n'akwụkwọ akụkọ na-adịghị mma,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Na-asị onwe gị mgbe niile, ""Oh, ọ bụrụ na m bụ"
  Dans les petits papiers du Mercure François ?. . .,N'akwụkwọ nta ndị Mercury Francis dere? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Ọ bụrụ na ị na-eme atụmatụ, na-atụ egwu, na-eme ihe ọjọọ,"
"  Aimer mieux faire une visite qu'un poème,","Ịhụ nleta n'anya karịa ịbụ abụ,"
"  Rédiger des placets, se faire présenter ?","Ị̀ na-ede akwụkwọ, na-eme ka a mata gị?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",Ọ bụ ya mere m ji na-abụ abụ.
"  Rêver, rire, passer, être seul, être libre,","Ịna-arọ nrọ, ịchị ọchị, ịgafe, ịnọ naanị gị, ịbụ onye nweere onwe gị,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ịhụ ihe n'anya, ịnụ ihe n'olu,"
"  Mettre, quand il vous plaît, son feutre de travers,",Ị ga-eji nwayọọ nwayọọ na-eme ka obi na-adị gị ụtọ.
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Ọ bụrụ na ị sị ee, ọ bụrụ na ị sị mba, ịlụ ọgụ, ma ọ bụ ịghọ onye na-eme ihe ọjọọ!"
"  Travailler sans souci de gloire ou de fortune,","Ọ bụrụ na anyị na - arụ ọrụ , anyị agaghị achọ ịbụ ndị a ma ama ma ọ bụ ndị bara ọgaranya ."
"  A tel voyage, auquel on pense, dans la lune !","Njem dị otú ahụ , nke anyị na - eche banyere ya , bụ́ ịga n'ọnwa !"
"  N'écrire jamais rien qui de soi ne sortît,",Emela ihe ọ bụla ị na-agaghị edepụta.
"  Et modeste d'ailleurs, se dire: mon petit,","Ma , ọ bụrụ na ị dị umeala n'obi , i nwere ike iche , sị: "" Nwa m ,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ọ bụrụ na okooko osisi , mkpụrụ osisi , ma ọ bụ akwụkwọ , na- enye ya afọ ojuju ,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Ọ bụrụ na ị na-akwakọrọ ha n'ubi gị!
"  Puis, s'il advient d'un peu triompher, par hasard,","Mgbe ahụ, ọ bụrụ na ọ ga-enwe mmeri dị nta, ọ ga-abụ na ọ ga-abụ na ọ ga-emezu."
