Scène 2.VIII.,Paset 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Ni Cyrano, ni Bret, dagiti agtutubo, a nagtugaw iti makannawan ken makannigid"
et auxquels on sert à boire et à manger.,Ket mairanud ken mairanud.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (nagpabpabpablaaw iti naalas a panagrang-ay kadagidiay rummuar a di bumileg):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Dakayo a lallaki, dakayo a lallaki, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a babbai, dakayo a"
"LE BRET (désolé, redescendant, les bras au ciel):","Ti KARANTAY (naladingit, bumabbaba, dagiti takiag iti tangatang):"
  Ah ! dans quels jolis draps.,Anian a nagsayaat a lupot!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, sika! Agngaretngetkanto!"
LE BRET:,Ti KARAN:
"  Enfin, tu conviendras","Iti kamaudiananna, umanamongka"
"  Qu'assassiner toujours la chance passagère,","Ti panagpapatay iti temporario a ragsak,"
  Devient exagéré.,Nalabit a nalabes ti ar-aramidenna.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Wen, aglablabesak!"
LE BRET (triomphant):,Ti BALAN:
  Ah !,"- Wen, wen!"
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ngem no maipapan iti prinsipio ken iti ulidan,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ipagarupko a nasayaat ti aglablabes iti kasta.
LE BRET:,Ti KARAN:
"  Si tu laissais un peu ton âme mousquetaire,","No baybay-am ti kararuam a kas iti maysa a muskete,"
  La fortune et la gloire. . .,Kinabaknang ken Kinadayag . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Ania ti aramidenna?
"  Chercher un protecteur puissant, prendre un patron,","No agbirokka iti nabileg a protektora, mangbirokka iti boss,"
