Scène 2.VIII.,Tampilan 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, anak-anak muda, yang duduk di sebelah kanan dan kiri"
et auxquels on sert à boire et à manger.,Dan mereka disuguhkan untuk makan dan minum.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (mengucapkan salam dengan suara gemuruh kepada orang-orang yang keluar tanpa berani menyapa dia):
  Messieurs. . .Messieurs. . .Messieurs. . .,Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan Tuan-tuan-tuan Tuan-tuan-tuan Tuan-tuan-tuan-tuan Tuan-tuan-tuan-tuan-tuan-tuan-tuan-tuan-tuan-tuan-tuan-tuan-tuan-tuan-tuan-tuan-tuan-tuan-tuan-tuan-tuan-tuan
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (sedih, turun, lengan ke langit):"
  Ah ! dans quels jolis draps.,"Oh, dalam kain yang indah."
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, kau, kau akan menggerutu!"
LE BRET:,PEMBANGKAN:
"  Enfin, tu conviendras","Akhirnya, kau akan setuju"
"  Qu'assassiner toujours la chance passagère,","Yang selalu membunuh keberuntungan sementara,"
  Devient exagéré.,Aku tidak bisa melakukannya.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ya, aku terlalu berlebihan."
LE BRET (triomphant):,BROET (menang):
  Ah !,Ah !
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Tapi untuk prinsip, dan untuk contoh juga,"
  Je trouve qu'il est bon d'exagérer ainsi.,Saya pikir itu baik untuk berlebihan seperti itu.
LE BRET:,PEMBANGKAN:
"  Si tu laissais un peu ton âme mousquetaire,","Jika kau meninggalkan sedikit jiwa muskietmu,"
  La fortune et la gloire. . .,Harta dan Kemuliaan . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Dan apa yang harus dilakukan?
"  Chercher un protecteur puissant, prendre un patron,","Mencari pelindung yang kuat, mengambil seorang bos,"
  Et comme un lierre obscur qui circonvient un tronc,Dan seperti lilin gelap yang mengelilingi batang
"  Et s'en fait un tuteur en lui léchant l'écorce,","Dan ia menjadikan dirinya seorang pelindungnya dengan mencuci kulitnya,"
  Grimper par ruse au lieu de s'élever par force ?,"Menjat dengan cara yang tidak benar, bukan dengan kekuatan?"
"  Non, merci. Dédier, comme tous il le font,","Tidak, terima kasih."
  Des vers aux financiers ? se changer en bouffon,Dari cacing ke keuangan? berubah menjadi buff
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Dengan harapan yang hina untuk melihat, di bibir seorang menteri,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Untuk membuat senyum, yang tidak jahat?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Tidak, terima kasih."
  Avoir un ventre usé par la marche ? une peau,Memiliki perut yang lelah saat berjalan?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Siapa yang lebih cepat, di tempat lutut, menjadi kotor?"
  Exécuter des tours de souplesse dorsale ?. . .,Melakukan gerakan-gerakan yang fleksibel? . . .
