Scène 2.VIII.,Staða 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, yngri, sem settust til hægri og vinstri"
et auxquels on sert à boire et à manger.,Og þeim er borðað og borðað.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (það heilsaði með gróflegum lofti þeim sem fóru út án þess að þora að heilsa honum):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar, herrar,"
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (þaðurlögð, niður, armar til himins):"
  Ah ! dans quels jolis draps.,Í fallegum lætum.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Þú munt gráta!
LE BRET:,-Hann er sá sem er.
"  Enfin, tu conviendras",Loks mun þú vera með
"  Qu'assassiner toujours la chance passagère,","Að drepa alltaf lítil heppni,"
  Devient exagéré.,Ég er að fara of mikið.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",Ég er að fara of mikið.
LE BRET (triomphant):,HREINN (þróunarfulltrúi):
  Ah !,Ég er ekki að fara.
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","En í meginreglunni og fyrirmyndinni,"
  Je trouve qu'il est bon d'exagérer ainsi.,Mér finnst gott að ofþraða svona.
LE BRET:,-Hann er sá sem er.
"  Si tu laissais un peu ton âme mousquetaire,","Ef þú gætir látið sál þína vera smá þurr,"
  La fortune et la gloire. . .,Flóð og auð. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Og hvað ætti að gera?
"  Chercher un protecteur puissant, prendre un patron,","Að leita að öflugri verndara, taka yfirmann,"
  Et comme un lierre obscur qui circonvient un tronc,Og eins og myrkur líður um stanginn
"  Et s'en fait un tuteur en lui léchant l'écorce,","Og hann gerir sér að sér aðgerðarmann og lísar skálinn af honum,"
  Grimper par ruse au lieu de s'élever par force ?,Að stíga í stað þess að stíga í gegn?
"  Non, merci. Dédier, comme tous il le font,","Ekki, takk."
  Des vers aux financiers ? se changer en bouffon,Frá vermi til fjármálamanna?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Í dæmdar vonir um að sjá, á munni ráðherra,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Að fá bros, sem ekki er grimmur?"
