Scène 2.VIII.,Scena 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, i giovani, che si sono seduti a destra e a sinistra"
et auxquels on sert à boire et à manger.,e servono a mangiare e a bere.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (salutando con un'aria di goguinardino chi esce senza osare salutarlo):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori, signori,"
"LE BRET (désolé, redescendant, les bras au ciel):","Il BRET (sorriso, scendendo, braccia in cielo):"
  Ah ! dans quels jolis draps.,"Oh, in che buoni panni."
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, tu, tu grugni!"
LE BRET:,Il RIO:
"  Enfin, tu conviendras","Finalmente, ti conviene."
"  Qu'assassiner toujours la chance passagère,","Che uccidere sempre la fortuna passagera,"
  Devient exagéré.,- E' un'eccessiva.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Beh, sì, esagerato!"
LE BRET (triomphant):,Il trionfante:
  Ah !,"Oh, sì!"
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ma per il principio, e per l'esempio anche,"
  Je trouve qu'il est bon d'exagérer ainsi.,Penso sia bene esagerare così.
LE BRET:,Il RIO:
"  Si tu laissais un peu ton âme mousquetaire,","Se lasci un po' la tua anima moschetta,"
  La fortune et la gloire. . .,Ricchezza e gloria. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,E cosa fare?
"  Chercher un protecteur puissant, prendre un patron,","Cercare un protettore potente, prendere un capo,"
  Et comme un lierre obscur qui circonvient un tronc,E come un'ombra scura che circonda un tronco
"  Et s'en fait un tuteur en lui léchant l'écorce,","E si fa da suo tutore, leccandolo la pelle,"
  Grimper par ruse au lieu de s'élever par force ?,"Escalarsi per mano, invece di salire per forza?"
"  Non, merci. Dédier, comme tous il le font,","No, grazie, devozione, come fanno tutti,"
  Des vers aux financiers ? se changer en bouffon,"Da vermi ai finanzieri, diventando dei buffoni."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Con la speranza di vedere, per la bocca di un ministro,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Nascere un sorriso, per esempio, che non sia sinistro?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","No, grazie, pranzo, ogni giorno, con un crabbone?"
  Avoir un ventre usé par la marche ? une peau,Avere un ventre usato mentre cammina ?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Chi si sporca più velocemente, invece di le ginocchia?"
  Exécuter des tours de souplesse dorsale ?. . .,Fare rotte di flessibilità della schiena? . . .
"  Non, merci. D'une main flatter la chèvre au cou","No, grazie, con una mano, ad affiancare la capra al collo"
"  Cependant que, de l'autre, on arrose le chou,","Ma se l'altro è stato versato,"
"  Et, donneur de séné par désir de rhubarbe,","e che si fa il seno per volere la barba,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Avere sempre il suo incendio in qualche barba?
"  Non, merci ! Se pousser de giron en giron,","No, grazie, si spinge da un momento all'altro."
"  Devenir un petit grand homme dans un rond,","Diventare un piccolo grande uomo in un giro,"
"  Et naviguer, avec des madrigaux pour rames,","E navigare con le madrighe per le ramme,"
  Et dans ses voiles des soupirs de vieilles dames ?,E nei suoi veli i sospiri di vecchiette?
"  Non, merci ! Chez le bon éditeur de Sercy","No, grazie, al buon editore di Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",- Farla editare per pagare?
  S'aller faire nommer pape par les conciles,Andare nominato papa dai Concili
  Que dans des cabarets tiennent des imbéciles ?,Che in cabaret ci siano degli idioti?
"  Non, merci ! Travailler à se construire un nom",- Lavorare per costruire un nome.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","- Su un sonnetto, invece di altri?"
