Scène 2.VIII.,Tampilan 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, bocah-bocah cilik sing lungguh ing sisih tengen lan kiwa"
et auxquels on sert à boire et à manger.,lan padha diladosi kanggo dipangan lan diombé.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (ngirim salam marang wong-wong sing metu tanpa wani ngucapké salam):
  Messieurs. . .Messieurs. . .Messieurs. . .,Para Dèkné. . .Para Dèkné. . .Para Dèkné. . .
"LE BRET (désolé, redescendant, les bras au ciel):","THE BRET (sorry, mudhun, tangan menyang langit):"
  Ah ! dans quels jolis draps.,Apa kain sing apik tenan.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, kamu, kamu bakal ngambek!"
LE BRET:,Ingkang Welas:
"  Enfin, tu conviendras","Akhiré, kowé bakal setuju"
"  Qu'assassiner toujours la chance passagère,","Sing tansah mateni luck passing,"
  Devient exagéré.,Dadi nglampahi.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ya, aku nglampahi!"
LE BRET (triomphant):,BET (sing menang):
  Ah !,"Ah, sing penting."
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Nanging kanggo prinsip, lan kanggo conto uga,"
  Je trouve qu'il est bon d'exagérer ainsi.,Aku mikir apik banget kanggo nglampahi kaya ngono.
LE BRET:,Ingkang Welas:
"  Si tu laissais un peu ton âme mousquetaire,","Menawa kowé padha ninggalna nyawamu kang kaya musèt,"
  La fortune et la gloire. . .,Kasugihan lan kamulyan . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Lan apa sing kudu dilakoni?
"  Chercher un protecteur puissant, prendre un patron,","Nggoleki pangayoman sing kuwat, njupuk bos,"
  Et comme un lierre obscur qui circonvient un tronc,Lan kaya lilin peteng sing ngubengi batang
"  Et s'en fait un tuteur en lui léchant l'écorce,","Lan banjur dadi juru-pinuju, ngliwetake kulité,"
  Grimper par ruse au lieu de s'élever par force ?,Ngunggah kanthi cara sing ora apik tinimbang kanthi kaku?
"  Non, merci. Dédier, comme tous il le font,","Ora, matur nuwun."
  Des vers aux financiers ? se changer en bouffon,Saka cacing menyang finansial? dadi buff
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Ing pangarep-arep sing ora pantes kanggo ndeleng, ing cangkeme menteri,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Nglairake eseman, apa ora ala?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Ora, matur nuwun."
  Avoir un ventre usé par la marche ? une peau,Nggowo weteng sing wis rusak nalika mlaku?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Sapa sing luwih cepet dadi reged tinimbang sing lagi reged?
