Scène 2.VIII.,ステージ2・8
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","サイラノ,ブレット,少年たちは 右と左に座った"
et auxquels on sert à boire et à manger.,飲んだり食べたりする.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,サイラン (挨拶をしない人たちを高高高で挨拶する):
  Messieurs. . .Messieurs. . .Messieurs. . .,紳士たち 紳士たち 紳士たち
"LE BRET (désolé, redescendant, les bras au ciel):","ブラット (哀れ,下降,腕を天に):"
  Ah ! dans quels jolis draps.,美しい布団で
CYRANO:,サイラン:
  Oh ! toi ! tu vas grogner !,"ほら,お前は,泣き叫ぶだろう!"
LE BRET:,は
"  Enfin, tu conviendras","終えて,あなたはそれでいい"
"  Qu'assassiner toujours la chance passagère,",偶然の運命を 暗殺する
  Devient exagéré.,誇張している
CYRANO:,サイラン:
"  Hé bien oui, j'exagère !","違う,私は誇張している!"
LE BRET (triomphant):,勝利者:
  Ah !,ほら!
CYRANO:,サイラン:
"  Mais pour le principe, et pour l'exemple aussi,",原則として 模範として
  Je trouve qu'il est bon d'exagérer ainsi.,私はこう過言する方が良いと思う.
LE BRET:,は
"  Si tu laissais un peu ton âme mousquetaire,",もし少しでもあなたの魂を ほっとしたら
  La fortune et la gloire. . .,富と栄光. . . .
CYRANO:,サイラン:
  Et que faudrait-il faire ?,どうしたらいいの?
"  Chercher un protecteur puissant, prendre un patron,",強力な保護者を探す 管理者を選ぶ
  Et comme un lierre obscur qui circonvient un tronc,根を囲む暗黒の葉のように
"  Et s'en fait un tuteur en lui léchant l'écorce,","をり,そのをり,その保護者となる."
  Grimper par ruse au lieu de s'élever par force ?,浮気ではなく 浮気で登る?
"  Non, merci. Dédier, comme tous il le font,",ありがとう みんなのやり方として
  Des vers aux financiers ? se changer en bouffon,虫から金融家へ 変身する
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","卑しい希望で,大臣の口から,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",笑顔は生まれます 悪いことではないのは?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",昼食は毎日 カエルを食べる?
  Avoir un ventre usé par la marche ? une peau,歩いているのに腹が枯れてる
"  Qui plus vite, à l'endroit des genoux, devient sale ?",膝の代わりに 汚れるのが一番早い人?
  Exécuter des tours de souplesse dorsale ?. . .,背筋の柔軟性運動を? . . .
"  Non, merci. D'une main flatter la chèvre au cou",ありがとう 羊を首に握って
"  Cependant que, de l'autre, on arrose le chou,","しかし,もう一方のカブーに水を注ぐと,"
"  Et, donneur de séné par désir de rhubarbe,","胸をく,胸をく,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",香具をいつも 胡子の中に持ってる?
"  Non, merci ! Se pousser de giron en giron,",ありがとう 振り向いて
"  Devenir un petit grand homme dans un rond,",丸ごと小さな大人のようになって
"  Et naviguer, avec des madrigaux pour rames,","帆船をぎ,船をぎ,"
  Et dans ses voiles des soupirs de vieilles dames ?,帆の中に老婦人の叫びが浮かぶのか?
"  Non, merci ! Chez le bon éditeur de Sercy",ありがとう サーシーさんの編集者に
"  Faire éditer ses vers en payant ? Non, merci !",代償で編集をさせられるのか?
  S'aller faire nommer pape par les conciles,会議で教皇に任命される
  Que dans des cabarets tiennent des imbéciles ?,馬鹿がカビテに隠れているのか?
"  Non, merci ! Travailler à se construire un nom",名前を作ろう
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",音声で他の音声を 演奏するのではなく
  Merci ! Ne découvrir du talent qu'aux mazettes ?,才能は 群れにしか 見つけられないのか?
"  Être terrorisé par de vagues gazettes,",波動した新聞に怯えること
"  Et se dire sans cesse: Oh, pourvu que je sois","絶えず自分に言い聞かせて ""ああ,もし私が"
  Dans les petits papiers du Mercure François ?. . .,フレンドの水星紙に?
"  Non, merci ! Calculer, avoir peur, être blême,",計算する 恐れること 薄弱さ
"  Aimer mieux faire une visite qu'un poème,",詩より 訪問を好む
"  Rédiger des placets, se faire présenter ?",プレート作ったり 紹介したり?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",ありがとう ありがとう ありがとう ありがとう でも歌う
"  Rêver, rire, passer, être seul, être libre,","夢を見る,笑う,過ぎる,孤独になる,自由になる"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","目をよく見る,声をよく振る"
"  Mettre, quand il vous plaît, son feutre de travers,",好きな時 気持ちを間違えて
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""はい""と""いや""と戦うか""虫""を言うか"
"  Travailler sans souci de gloire ou de fortune,",栄光や富を気にせず働く
"  A tel voyage, auquel on pense, dans la lune !",月の旅を思い出せる旅です
"  N'écrire jamais rien qui de soi ne sortît,",書くことは決して 自分から出来ることではない
"  Et modeste d'ailleurs, se dire: mon petit,","謙虚な人は ""私の子供"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",花や果物や葉でも満足できる
  Si c'est dans ton jardin à toi que tu les cueilles !,庭で採集するなら!
"  Puis, s'il advient d'un peu triompher, par hasard,","もし,少しでも勝利を収められれば,"
"  Ne pas être obligé d'en rien rendre à César,",皇帝に何も返さないように.
"  Vis-à-vis de soi-même en garder le mérite,",価値のあるものを自分のために
"  Bref, dédaignant d'être le lierre parasite,",虫であることに嫌がる
"  Lors même qu'on n'est pas le chêne ou le tilleul,",樹木や木の樹木ではないのに
"  Ne pas monter bien haut, peut-être, mais tout seul !","高いところまで上がらないかもしれないけど,一人で!"
LE BRET:,は
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",ひとりでもいいけど みんなに敵じゃない
