Scène 2.VIII.,Taẓrigt 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, ilemẓiyen, i d-yeqqimen ɣer tama tayeffust d ɣer tama tayeffust"
et auxquels on sert à boire et à manger.,"D ayen i ten-iɛeddun, i ten-iɛeddun, i ten-iɛeddun."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (yettasellim s ṣṣifa n tmeslayt i wid i d-yettɣimin ur t-yettḥeṣṣib ara ad t-tessellim):
  Messieurs. . .Messieurs. . .Messieurs. . .,A wid i d-yettunefken.
"LE BRET (désolé, redescendant, les bras au ciel):","TAMURT (tḥessas, ttwaɣalen, ifassen-is ɣer igenni):"
  Ah ! dans quels jolis draps.,Ah! deg wayen i d-yeffɣen lxuf-nni.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"A kečč, ad t-tessemḍeḍ!"
LE BRET:,Aḥerḍan:
"  Enfin, tu conviendras",D ayen i k-yefkan.
"  Qu'assassiner toujours la chance passagère,","Akken ad t-tettɣim dima lbaṭel n teswiεt,"
  Devient exagéré.,Yettneffeɣ-d.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","D ayen i d-yeǧǧan, ḥemmleɣ ad t-id-sεuɣ."
LE BRET (triomphant):,TAMURT (tameḥrift):
  Ah !,Ah ! Ah !
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Maca ɣef umata, d amedya daɣen,"
  Je trouve qu'il est bon d'exagérer ainsi.,Waqil yelha ad t-nezzir akken.
LE BRET:,Aḥerḍan:
"  Si tu laissais un peu ton âme mousquetaire,","Lukan ad teǧǧeḍ kra n lmeḥna-k,"
  La fortune et la gloire. . .,Lḥeṛẓi d tlelli. . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,D acu ara xedmeɣ?
"  Chercher un protecteur puissant, prendre un patron,","Ad d-naf ameslay i d-yeffɣen, ad d-yaf yiwen n umεellem,"
  Et comme un lierre obscur qui circonvient un tronc,Am tmes d taḥect i d-yettwaḥebben ɣef tmes
"  Et s'en fait un tuteur en lui léchant l'écorce,","Yexdem-as amɛellem, yeṭṭef-it i lqaɛa,"
  Grimper par ruse au lieu de s'élever par force ?,Ad d-teṭṭef s tneṣlit am wakken ad d-teṭṭef s tezmert?
"  Non, merci. Dédier, comme tous il le font,","Ur tεeǧǧi ara, tanemmirt, am akken ttxeddmen medden,"
  Des vers aux financiers ? se changer en bouffon,Seg yiɣil ɣer yimeddukal?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","S usirem n lbaṭel ad d-ẓreɣ, s yimi n yiwen umeddukel,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Ad d-tekkes taḍsa, d acu ur d-yexser ara?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Ur t-tessineḍ ara, taneggurt yal ass, d taḥerrit?"
  Avoir un ventre usé par la marche ? une peau,Ad yesεu uεebbuḍ yeffren deg uḍar?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Anwa i d-yettɣimen deg umkan n tneẓra?
  Exécuter des tours de souplesse dorsale ?. . .,Ad t-id-teddun tiɣriwin n tmeslayin n uḍar? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Mačči d tanemmirt, s yiwen ufus ad t-tessusem i tkerḍant."
"  Cependant que, de l'autre, on arrose le chou,","Maca, s wayeḍ, ad tessefkeḍ taḥawsa,"
"  Et, donneur de séné par désir de rhubarbe,","D win i d-yettunefken lqaεa s lebɣi n tmes,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Ad yesεu lbaṛum-is dima deg yiwen n ucebbak?
"  Non, merci ! Se pousser de giron en giron,","Ur tεeǧǧi ara, tanemmirt."
"  Devenir un petit grand homme dans un rond,","Ad d-yeqqel d argaz ameqqran amecṭuḥ deg yiwen n uḥric,"
"  Et naviguer, avec des madrigaux pour rames,","Ad d-tessufeggeḍ s tmes n tmes,"
  Et dans ses voiles des soupirs de vieilles dames ?,D acu i d-yeqqimen deg yiɣil-is i d-ttessufɣen tiɣmaḍin?
"  Non, merci ! Chez le bon éditeur de Sercy","Ur d-teḥdim ara, s umedyaz n Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",Ad d-yeɣreḍ isekkilen-is s tkeṛfu?
  S'aller faire nommer pape par les conciles,Ad d-yettwasnuḍ d pape deg tmeɣriwin
  Que dans des cabarets tiennent des imbéciles ?,D acu i d-yeṭṭfen imdanen imcumen deg tneqqucin?
"  Non, merci ! Travailler à se construire un nom","Ur d-yexdim ara, tanemmirt!"
