Scène 2.VIII.,Mahkrum madup 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, Dingda hte pai maga de tsap nga ai ma kaji ni"
et auxquels on sert à boire et à manger.,"Shanhte hpe lu sha jaw nna, jaw sha ma ai."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (n-gun ja ai nsen hte shi hpe shakram na n nden ai ni hpe shakram ai):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu ni, madu, madu, madu, madu, madu, madu, madu, madu, madu, madu, madu, madu,"
"LE BRET (désolé, redescendant, les bras au ciel):","LAWNG (Shaw, bai yu wa ai, lata hte lamu de):"
  Ah ! dans quels jolis draps.,Dai gaw grai tsawm ai hpun palawng re.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Nang gaw, nang gaw, nang gaw, nang hpe jahkrit na ra ai."
LE BRET:,Hkrung ai lam:
"  Enfin, tu conviendras",Ya na zawn re ai
"  Qu'assassiner toujours la chance passagère,","Dai hta kaga, dai hta n-ga,"
  Devient exagéré.,Dai gaw grai wa kaba ai.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Rai tim, ngai grai wa tsun ai."
LE BRET (triomphant):,LAWNG (Gawng Malai)
  Ah !,Ah!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Raitim, npawt tara hte kasi ningli hte maren,"
  Je trouve qu'il est bon d'exagérer ainsi.,Dai hku sha grau nna tsun shabrai ai gaw kaja ai ngu nna ngai mu ai.
LE BRET:,Hkrung ai lam:
"  Si tu laissais un peu ton âme mousquetaire,","Na a myit masin hpe loi mi naw ngam nga yang gaw,"
  La fortune et la gloire. . .,Sutgan hte arawng sadang . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Dai majaw hpa galaw ra ai kun?
"  Chercher un protecteur puissant, prendre un patron,","N-gun ja ai makawp maga ai wa hpe tam nna, madu wa hpe lata la nna,"
  Et comme un lierre obscur qui circonvient un tronc,"Dai gaw, nlung hpe grupyin e ka - up nga ai,"
"  Et s'en fait un tuteur en lui léchant l'écorce,","Dai hpe bau sin ai wa galaw nna, shi a nhkun hpe sha ai wa,"
  Grimper par ruse au lieu de s'élever par force ?,"Dai hpe n-gun hte n-gun hte n-gun hte n-gun ja ai sha, hkalem hkalau ai hku n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-gun ja ai sha n-ga ai sha n-ga ai sha-ga ai sha-ga ai sha-ga ai sha-ga ai sha-ga ai sha-ga ai sha-ga re."
"  Non, merci. Dédier, comme tous il le font,","N-ga, chyeju dum ai. Yawng galaw ai zawn,"
  Des vers aux financiers ? se changer en bouffon,"Gumhpraw Gumhpraw Hpung ni kaw nna, n hkru n hkra ai ni byin wa na"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Dai hpe mu lu na, myit mada ai hte, dai wa a n-gup hte,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Dai majaw, n hkru ai lachyum n lu ai masha ni hpe n san n mai ai."
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Dai majaw, shani shagu shat sha na matu, bainam nli sha ai kun?"
  Avoir un ventre usé par la marche ? une peau,"hkawm sa ai shaloi na kan nmai ai, shan nmai ai"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Kadai wa gaw, lahput de grau lawan nna awu asin byin wa ai kun?"
  Exécuter des tours de souplesse dorsale ?. . .,Hpang de n-gun jaw ai lam ni galaw na kun? . . .
"  Non, merci. D'une main flatter la chèvre au cou","N-ga, chyeju dum ai."
"  Cependant que, de l'autre, on arrose le chou,",Rai ti mung kaga maga na gawm hpe hka jaw ai shaloi
"  Et, donneur de séné par désir de rhubarbe,",N - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup n - gup
"  Avoir son encensoir, toujours, dans quelque barbe ?","Shi a manam pyaw ai baw hpe galoi mung, tinang a mun hta nga ai kun?"
"  Non, merci ! Se pousser de giron en giron,","N-ga, chyeju dum ai law."
"  Devenir un petit grand homme dans un rond,","Dai zawn re ai lam ni hpe galaw ai shaloi,"
"  Et naviguer, avec des madrigaux pour rames,","Hka lawng hte hka lawng ni hpe mung,"
  Et dans ses voiles des soupirs de vieilles dames ?,Shi a npu e dingla num ni a n-gun ja ai nsen ni nga ai kun?
"  Non, merci ! Chez le bon éditeur de Sercy","N, chyeju dum ai."
"  Faire éditer ses vers en payant ? Non, merci !",Shi a ga si hpe gumhpraw hte ka da na kun?
  S'aller faire nommer pape par les conciles,Hpungtau ni a Tara Ninghkap Hpung Ni Hpe Wa Sarabyin Hpe Shagrau Sha-a Na Matu
  Que dans des cabarets tiennent des imbéciles ?,Dai gawk ni hta myit n su ai ni nga ai kun?
"  Non, merci ! Travailler à se construire un nom","N-ga, chyeju dum ai law. Tinang a mying hpe galaw na matu shakut shaja"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Dai hta kaga, nsen langai mi hpe shalat na malai, nsen langai mi hpe shalat na kun?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Chyeju kaba hpe gaw, hkauna ni hta sha mu lu na kun?"
"  Être terrorisé par de vagues gazettes,","Dai majaw, shiga dap ni a majaw hkrit tsang ra ai."
"  Et se dire sans cesse: Oh, pourvu que je sois","""Ngai gaw Karai Kasang rai nga nngai rai yang gaw,"
  Dans les petits papiers du Mercure François ?. . .,Dai gaw Mercury Francis a laika buk kaji hta lawm ai. . . .
"  Non, merci ! Calculer, avoir peur, être blême,","N-ga, chyeju dum ai law."
"  Aimer mieux faire une visite qu'un poème,","Ga shagawp langai mi hta, sa du ai lam hpe grau ra sharawng ai."
"  Rédiger des placets, se faire présenter ?",Laika buk ni ka na kun?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","N, chyeju dum ai, n, chyeju dum ai, n, chyeju dum ai, n, chyeju dum ai, n, chyeju dum ai, n, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum ai, chyeju dum"
"  Rêver, rire, passer, être seul, être libre,","Sumla, mani, lai, hkrai sha, lawt,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","myi hte myi hpe asan sha mu lu na, nsen hte nsen hpe gari nga lu na,"
"  Mettre, quand il vous plaît, son feutre de travers,",Tinang ra ai aten hta tinang a myit masin hpe shayawm ya ai.
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Dai rai yang, n-re ngu ai hpe hkap gasat na matu, shing n rai, n-re ngu ai hpe hkap gasat na matu, n-re ngu ai hpe hkap gasat na matu, n-re ngu ai hpe hkap la na matu, n-re ngu ai hpe hkap la na matu, gasat na matu, shing n rai, n-re ngu ai hpe hkap la na matu, n-re ngu ai hpe hkap la na matu, gasat na matu, n-re ngu ai hpe, n-re ngu ai hpe, tsun dan na matu, n-re ngu ai."
"  Travailler sans souci de gloire ou de fortune,",Gumhpraw hte arawng sadang hpe myit n sawn ai sha bungli galaw
"  A tel voyage, auquel on pense, dans la lune !",Dai zawn re ai shata de sa ai lam hpe myit dum ai.
"  N'écrire jamais rien qui de soi ne sortît,",Tinang hkum tinang n chye ai lam hpe galoi mung n ka u ga
"  Et modeste d'ailleurs, se dire: mon petit,","Dai hta kaga, myit nem ai wa gaw, ""Ngai sha,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Lamu, asi, lap hte pyi hkru kat nga ai."
  Si c'est dans ton jardin à toi que tu les cueilles !,Na a sun kaw na nang shanhte hpe la ai rai yang gaw!
"  Puis, s'il advient d'un peu triompher, par hasard,","Dai hpang, shi gaw loi mi awng dang wa ai rai yang gaw,"
"  Ne pas être obligé d'en rien rendre à César,","Hkawseng Hkang hpe hpa mung n htang na ahkang n nga ai sha,"
"  Vis-à-vis de soi-même en garder le mérite,","Tinang hkum tinang a matu, dai hpe shagrau sha-a na matu,"
"  Bref, dédaignant d'être le lierre parasite,","Ga shadawn, maigan amyu ni a matu n ra sharawng ai,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Anhte gaw hpun nli hte hkauna n rai tim,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Dai gaw grai tsaw ai shara de n lung wa ai sha, langai sha rai nga ai."
LE BRET:,Hkrung ai lam:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Dai gaw langai sha rai tim, yawng hpe n hkap la ai sha re."
  As-tu donc contracté la manie effroyable,"Dai rai nna, nang gaw hkrit kajawng ai myit jasat lu ndai kun?"
"  De te faire toujours, partout, des ennemis ?",Gara shara shagu kaw hpyen ni hpe tut nawng galaw na kun?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Nanhte Jinghpaw ni byin wa ai hpe mu ai majaw,"
