Scène 2.VIII.,ದೃಶ್ಯ 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","ಸೈರಾನೊ, ಲೆ ಬ್ರೆಟ್, ಕಿರಿಯರು, ಬಲ ಮತ್ತು ಎಡಕ್ಕೆ ಕುಳಿತುಕೊಂಡರು"
et auxquels on sert à boire et à manger.,ಅವರಿಗೆ ಆಹಾರ ಮತ್ತು ಪಾನೀಯವನ್ನು ನೀಡಲಾಗುತ್ತದೆ.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,ಸಿರಾನ್ (ಅವನನ್ನು ಸ್ವಾಗತಿಸಲು ಧೈರ್ಯ ಮಾಡದೆ ಹೊರಡುವವರನ್ನು ಗೂಗಲ್ನ ಗಾಳಿಯಲ್ಲಿ ಸ್ವಾಗತಿಸುತ್ತಿದ್ದ):
  Messieurs. . .Messieurs. . .Messieurs. . .,"ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ, ಜನರೇ,"
"LE BRET (désolé, redescendant, les bras au ciel):","ಬ್ರೆಟ್ (ತಃಕ್ಷೆ, ಕೆಳಗೆ, ತೋಳುಗಳನ್ನು ಸ್ವರ್ಗಕ್ಕೆ):"
  Ah ! dans quels jolis draps.,"ಆಹ್, ಎಷ್ಟು ಸುಂದರವಾದ ಬಟ್ಟೆಗಳಲ್ಲಿ."
CYRANO:,ಸಿರಾನ್:
  Oh ! toi ! tu vas grogner !,"ಓಹ್, ನೀನೇ, ನೀನು ಗರ್ಜಿಸುವೆ!"
LE BRET:,ಬ್ರೆಟ್:
"  Enfin, tu conviendras","ಕೊನೆಗೆ, ನೀನು ಒಪ್ಪಿಕೊಳ್ಳುತ್ತೀ"
"  Qu'assassiner toujours la chance passagère,","ಯಾವಾಗಲೂ ಕಾದಂಬರಿ ಕೊಲೆ,"
  Devient exagéré.,ಅದು ತುಂಬಾ ದೊಡ್ಡದಾಗಿದೆ.
CYRANO:,ಸಿರಾನ್:
"  Hé bien oui, j'exagère !","ಹೌದು, ನಾನು ತುಂಬಾ ಉತ್ಸುಕನಾಗಿದ್ದೇನೆ!"
LE BRET (triomphant):,(ವಿಜಯದ) ಬ್ರೆಟ್:
  Ah !,ಆಹ್!
CYRANO:,ಸಿರಾನ್:
"  Mais pour le principe, et pour l'exemple aussi,","ಆದರೆ, ಮೂಲಭೂತವಾಗಿ, ಉದಾಹರಣೆಗಾಗಿ,"
  Je trouve qu'il est bon d'exagérer ainsi.,ನಾನು ಈ ರೀತಿ ಅತಿಯಾಗಿ ವರ್ತಿಸುವುದು ಒಳ್ಳೆಯದು ಎಂದು ಭಾವಿಸುತ್ತೇನೆ.
LE BRET:,ಬ್ರೆಟ್:
"  Si tu laissais un peu ton âme mousquetaire,",ನಿನ್ನ ಆತ್ಮವನ್ನು ಸ್ವಲ್ಪ ಮಸ್ಕೆಟ್ ಮಾಡಿಕೊಡುವೆ.
  La fortune et la gloire. . .,ಸಂಪತ್ತು ಮತ್ತು ವೈಭವ. . .
CYRANO:,ಸಿರಾನ್:
  Et que faudrait-il faire ?,ಹಾಗಾದರೆ ಏನು ಮಾಡಬೇಕು?
"  Chercher un protecteur puissant, prendre un patron,","ಬಲವಾದ ರಕ್ಷಕನನ್ನು ಹುಡುಕುವುದು, ಮಾಸ್ಟರ್ನನ್ನು ಆಯ್ಕೆ ಮಾಡುವುದು,"
  Et comme un lierre obscur qui circonvient un tronc,ಮತ್ತು ಒಂದು ಕೊಳಲು ಸುತ್ತಲೂ ಕತ್ತಲೆಯಾದ ಕೊಳಲು
"  Et s'en fait un tuteur en lui léchant l'écorce,",ಅವನು ಅದನ್ನು ರಕ್ಷಕನನ್ನಾಗಿ ಮಾಡುತ್ತಾನೆ. ಅವನು ಅದರ ಚರ್ಮವನ್ನು ನಯಗೊಳಿಸುತ್ತಾನೆ.
  Grimper par ruse au lieu de s'élever par force ?,ಬಲದಿಂದ ಏರಲು ಬದಲು ಕುಶಲತೆಯಿಂದ ಏರಲು?
"  Non, merci. Dédier, comme tous il le font,","ಇಲ್ಲ, ಧನ್ಯವಾದಗಳು. ಅವರು ಮಾಡುವಂತೆ,"
  Des vers aux financiers ? se changer en bouffon,'ಕಣಕಿನಿಂದ ಹಣಕಾಸು ವಲಯಕ್ಕೆ 'ಬೂಫಾಗಾಗಲು
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","ಒಂದು ಸಚಿವರ ಬಾಯಿಂದ ನೋಡುವ ಅವಮಾನಕರ ನಿರೀಕ್ಷೆಯಲ್ಲಿ,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","ಒಂದು ಹಾಸ್ಯವನ್ನು ಹುಟ್ಟಿಸುವುದು, ಅದು ದುಷ್ಟವಲ್ಲವೇ?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",ಪ್ರತಿದಿನವೂ ಒಂದು ಬೊಂಬೆಯೊಂದಿಗೆ ಊಟ ಮಾಡುವುದೇ?
  Avoir un ventre usé par la marche ? une peau,ಒಂದು ಹೊಟ್ಟೆ ಹಾಳಾದಾಗ ನಡೆಯುವುದು?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","ಯಾರು ಬೇಗನೆ, ಮೊಣಕಾಲುಗಳ ಬದಲಿಗೆ, ಕೊಳಕು ಆಗುತ್ತಾರೆ?"
