Scène 2.VIII.,منظر 2 ۔8 ۔
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",سائرانو، لی بریٹ، جینیئرز، یم دائیں تہٕ بائیں پیٹھ بَنٛگنہٕ آمت
et auxquels on sert à boire et à manger.,تہ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژھوٹۍ ژ
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سائرو (یُس گوٚگھہِرِتھ سَپدان چُھ یِمَن ہُنٛدیٖر نَسَلَمُت:
  Messieurs. . .Messieurs. . .Messieurs. . .,حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات حضرات
"LE BRET (désolé, redescendant, les bras au ciel):",برٹ (سُہٕ، پیٹھہٕ، پیٹھہٕ، آسمانس پیٹھ)
  Ah ! dans quels jolis draps.,ہا! یہٕ چُھ وَننہٕ وٲلۍ خوبصورت کتھہٕ۔
CYRANO:,سیراون:
  Oh ! toi ! tu vas grogner !,اوه، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو، تو،
LE BRET:,بیٚیہِ:
"  Enfin, tu conviendras",آخر کار، توہیہ چھہِ ونان
"  Qu'assassiner toujours la chance passagère,",تمۍ چھہِ ہمیشہٕ سٲری قسمتس قتل کران
  Devient exagéré.,زیادٕہ تر چُھ گژھان۔
CYRANO:,سیراون:
"  Hé bien oui, j'exagère !",بہٕ چھُس، بہٕ چھُس، بہٕ چھُس!
LE BRET (triomphant):,برٹ (تٲمِس پیٹھ):
  Ah !,ہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہہ
CYRANO:,سیراون:
"  Mais pour le principe, et pour l'exemple aussi,",مگر اصولس خاطرٕ، تہٕ مثالس خاطرٕ تہٕ،
  Je trouve qu'il est bon d'exagérer ainsi.,میہ چھِ یہٕ خیال زِ اتھ کتھہِ پیٹھ زیادٕہ غٲر توجہ مرکوز کرن چھِ اصل۔
LE BRET:,بیٚیہِ:
"  Si tu laissais un peu ton âme mousquetaire,",اگر تُہِ تہِ ہیکہِ پننِس دلس منز کُنہِ تہِ دلس منز روزان روزان روزان روزان روزان۔
  La fortune et la gloire. . .,دولت تہٕ شان۔ . . .
CYRANO:,سیراون:
  Et que faudrait-il faire ?,تہٕ کیاہ کرُن؟
"  Chercher un protecteur puissant, prendre un patron,",اکھ مضبوط محافظُک تلاش، اکھ باسُک انتخاب،
  Et comme un lierre obscur qui circonvient un tronc,تہٕ اکھ گۅڈٕ رنگٕچ چِھ اکھ ٹونس پیٹھ
"  Et s'en fait un tuteur en lui léchant l'écorce,",تہٕ اَتھ پیٹھ چُھ سُہٕ پننِس گُلُن ہُنٛد لَبٕچُک لَبٕچُک مَنٛز
  Grimper par ruse au lieu de s'élever par force ?,زورٕ سٕتۍ اَتھ پیٹھ چُھ نہٕ چڑھان بلکہ چال چلن سٕتۍ؟
"  Non, merci. Dédier, comme tous il le font,",نہٕ، تُہنزِ خاطرٕ۔ وقف، یتھ کٔنۍ تہِ تمام لوک چِھ کران،
  Des vers aux financiers ? se changer en bouffon,ورمن پیٹھہٕ مالیٲتی ادارن تام؟
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",تہٕ امہٕ کتھہِ ہندِس کمزوری ہندِس امیدس منز،
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",اکھ مسکراہٹ پیدٕ کرُن، آخر، یس غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غٲر غ
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",نہٕ، تُہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہنز تہ
  Avoir un ventre usé par la marche ? une peau,تمس پیٹھ چُھ اکھ پیٹہٕ چلتھ پٮ۪ٹھہٕ ناپسندی؟
"  Qui plus vite, à l'endroit des genoux, devient sale ?",کون چُھ زانو کُن جایہِ پیٹھ ژور گَنِتھ؟
  Exécuter des tours de souplesse dorsale ?. . .,پیٹھٕ لچکچ ٹورٕ چُھ کران؟ . . .
"  Non, merci. D'une main flatter la chèvre au cou",نہٕ، تُہنزِ تشکر۔ اکھ ہاتھ سۭتۍ گَژھس پیٹھ چُھس
"  Cependant que, de l'autre, on arrose le chou,",مگر ییلہِ بیاکھہِ پیٹھہٕ چُھ گوبھِ ہٲرِتھ
"  Et, donneur de séné par désir de rhubarbe,",تہٕ بَڑِس پیٹھ چُھ سُوٛ ناپسند کران
"  Avoir son encensoir, toujours, dans quelque barbe ?",کیا تمہٕ تہندِس بوہن ہنزِس کنہہ ڈانٹہِ منز روزان چِھ؟
"  Non, merci ! Se pousser de giron en giron,",نہٕ، تُہنزِ خاطرٕ۔ تِہِ چُھ اکھ وَتِ پیٹھ وَتِ
"  Devenir un petit grand homme dans un rond,",اکھ گولس منٛز اکھ لۄکُٹ بڑٕ انسان بنے،
"  Et naviguer, avec des madrigaux pour rames,",تہندِس جہازس پیٹھ چِھ جہاز آسان
  Et dans ses voiles des soupirs de vieilles dames ?,تہٕ پننہٕ ویلن منٛز چھ پران زنانن ہنز آہنگ؟
"  Non, merci ! Chez le bon éditeur de Sercy",نہٕ، شکریہ، سِرکس سٕتۍ سُہٕ سُہٕ سُہٕ سُہٕ سُہٕ سٕندِس سِرکس سِرکس سٕتۍ۔
"  Faire éditer ses vers en payant ? Non, merci !",تمہٕ کیٛنٛسہٕ کتھہٕ تہٕ کٲم کرن؟
