Scène 2.VIII.,სცენა 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","კირანო, ლე ბრეტი, ახალგაზრდები, რომლებიც მარჯვნივ და მარცხნივ დაჯდნენ"
et auxquels on sert à boire et à manger.,და მათთვის სასმელი და საჭმელი.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"ცირანო (მას ულოცავს, ვინც არ გაბედავს მის მილოცვას):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბატონებო, ბებო, ბებო, ბებო, ბებო, ბებო, ბებო, ბებო, ბებო, ბებო, ბებო,"
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (სამწუხაროდ, უკან, ხელები ცაში):"
  Ah ! dans quels jolis draps.,რა ლამაზი ლეპტოკები.
CYRANO:,კირანო:
  Oh ! toi ! tu vas grogner !,"ოჰ, შენ! შენ დაიბრაზებ!"
LE BRET:,- რა?
"  Enfin, tu conviendras","ბოლოს და ბოლოს, შენც დაგიჯერებ"
"  Qu'assassiner toujours la chance passagère,","რომ ყოველთვის მოკლავენ დროებით ბედნიერებას,"
  Devient exagéré.,- ეს ძალიან დიდია.
CYRANO:,კირანო:
"  Hé bien oui, j'exagère !","- ჰო, დიახ, მე ვჭამ!"
LE BRET (triomphant):,(გალობის მოპოვება):
  Ah !,აჰ!
CYRANO:,კირანო:
"  Mais pour le principe, et pour l'exemple aussi,","მაგრამ პრინციპით და მაგალითითაც,"
  Je trouve qu'il est bon d'exagérer ainsi.,"მე ვფიქრობ, რომ კარგია, რომ ასე გადამეტოთ."
LE BRET:,- რა?
"  Si tu laissais un peu ton âme mousquetaire,","თუ ცოტა მაინც დატოვებ შენს მუსკეტურ სულს,"
  La fortune et la gloire. . .,სიმდიდრე და დიდება. . .
CYRANO:,კირანო:
  Et que faudrait-il faire ?,და რა უნდა გავაკეთოთ?
"  Chercher un protecteur puissant, prendre un patron,","ძლიერი დამცველის ძებნა, უფროსი შერჩევა,"
  Et comme un lierre obscur qui circonvient un tronc,"და როგორც ბნელი ბალახი, რომელიც ტყავის გარშემო"
"  Et s'en fait un tuteur en lui léchant l'écorce,","და მასზე მფარველი იქცევა, მისი ქერქი კი იწვის,"
  Grimper par ruse au lieu de s'élever par force ?,სიზმარით და არა ძალით?
"  Non, merci. Dédier, comme tous il le font,","არა, მადლობა. დათმობა, როგორც ყველა,"
  Des vers aux financiers ? se changer en bouffon,"ფინანსური ფორმის ფერდებიდან, ფუფად გადაქცევა"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","ვიმედოვნებდი, რომ მინისტრის ტუჩებზე,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","რომ ღიმილი იბადოს, ვინც არ არის ცუდი?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","არა, მადლობა. სადილზე ყოველდღე კოშკით?"
  Avoir un ventre usé par la marche ? une peau,- მუცელი რომ დაფეთქდეს ფეხით?
