Scène 2.VIII.,2.VIII көрініс.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Сирано, Ле Брет, оң және сол жақта отырған кіші балалар"
et auxquels on sert à boire et à manger.,"Олар тамақ ішіп, құлшылық етеді."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,СИРАН (өзін сәлемдеуге батылысы келмегендерді шапалақпен сәлемдейтін):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Және, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар,"
"LE BRET (désolé, redescendant, les bras au ciel):","КӨНІР (жаным, төмендеп, аспанға қолдары):"
  Ah ! dans quels jolis draps.,"Ә, қандай әдемі киімдер."
CYRANO:,СИРАН:
  Oh ! toi ! tu vas grogner !,"О, сен, сен қаңырағың келеді!"
LE BRET:,Жігіт:
"  Enfin, tu conviendras","Ақырында, сен дұрыс боласың"
"  Qu'assassiner toujours la chance passagère,","Өткен кездері бақытты адам өлтіріп,"
  Devient exagéré.,Өте жоғары.
CYRANO:,СИРАН:
"  Hé bien oui, j'exagère !","- Иә, мен тым көп айтамын!"
LE BRET (triomphant):,БЕРТ (жүлдегер):
  Ah !,"А, ә!"
CYRANO:,СИРАН:
"  Mais pour le principe, et pour l'exemple aussi,","Бірақ принцип үшін, мысал үшін де,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Менің ойымша, мұндай шамадан тыс ойлану жақсы."
LE BRET:,Жігіт:
"  Si tu laissais un peu ton âme mousquetaire,","Егер сен бір аз ғана өз жан-дүнегіңді қалдырсаң,"
  La fortune et la gloire. . .,Байлық пен атақ. . .
CYRANO:,СИРАН:
  Et que faudrait-il faire ?,Ал не істеу керек?
"  Chercher un protecteur puissant, prendre un patron,","Көне қорғаушы іздеу, басшыны алу,"
