Scène 2.VIII.,Lɩmaɣzɩyɛ 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, piya cikpesi nzɩ sɩcaɣnɩnɩnɩ ɖogo nɛ ɖogo yɔ"
et auxquels on sert à boire et à manger.,Nɛ pakpaɣ-wɛ nɛ pɔñɔɔ nɛ pɔñɔɔ.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (Ɛkɛdaa se ɛsaŋ mba pɛɖɛɣ nɛ pataakpaɣ pa-tɩ nɛ pɛsɛɛ-ɩ yɔ nɛ ɛ-nɔɔ taa leleŋ siŋŋ):
  Messieurs. . .Messieurs. . .Messieurs. . .,Cɔnɩ ɖa-n̄ɩma ɖa-n̄ɩma nɛ ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma ɖa-n̄ɩma
"LE BRET (désolé, redescendant, les bras au ciel):","KƖNƆ (Paa weyi ɛ-laŋɩyɛ wɛɛkɩɣ yɔ, ɛ-nɩŋgbaaŋ wɛ ɛsɔdaa):"
  Ah ! dans quels jolis draps.,Pɩkɛ wondu kɩbandʋ ndʋ tɩ-taa.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Ŋkaɣ ñɔɔzʋʋ.
LE BRET:,Lɩmaɣza wena ŋwɛna yɔ:
"  Enfin, tu conviendras",Pɩkaɣ-ŋ wazʋʋ.
"  Qu'assassiner toujours la chance passagère,",Pɩwɛɛ se ŋla mbʋ nɛ ŋcaɣ se ŋhiɣ ña-tɩ yɔ.
