Scène 2.VIII.,Eskanu 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Sirano, Le Bret, kes mininu ki fika na direita i na izértu"
et auxquels on sert à boire et à manger.,Es ta kume i ta bebe.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,Siranu (ta fla ku un ar di goji pa ken ki ta sai sen xinti koraji di fla-l):
  Messieurs. . .Messieurs. . .Messieurs. . .,Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr.
"LE BRET (désolé, redescendant, les bras au ciel):","L'ARM (triste, ta bai, braços na séu):"
  Ah ! dans quels jolis draps.,Oh! na kes bedju bunitu.
CYRANO:,Siranu:
  Oh ! toi ! tu vas grogner !,"Oh, bo! Bu ta fika ta grita!"
LE BRET:,"Nton, N fla-l:"
"  Enfin, tu conviendras","Na fin, bu ta ben ser"
"  Qu'assassiner toujours la chance passagère,","Má, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês,"
  Devient exagéré.,N sta ta fika ta exageradu.
CYRANO:,Siranu:
"  Hé bien oui, j'exagère !",N ta exageradu!
LE BRET (triomphant):,TIZORUS DI PALAVRA DI DEUS
  Ah !,Ah! N ta xinti!
CYRANO:,Siranu:
"  Mais pour le principe, et pour l'exemple aussi,","Má, pa prinsípiu, i pa izénplu tanbê,"
  Je trouve qu'il est bon d'exagérer ainsi.,N ta atxa ma é dretu faze un kuza ki é más grandi di kel ki nu ta faze.
LE BRET:,"Nton, N fla-l:"
"  Si tu laissais un peu ton âme mousquetaire,","Si bu dexa bu alma di mosqueta un poku,"
  La fortune et la gloire. . .,Rijion i glória. . . .
CYRANO:,Siranu:
  Et que faudrait-il faire ?,Kuzê ki nu debe faze?
"  Chercher un protecteur puissant, prendre un patron,","Bu ta atxa un algen ki ta proteje-u, bu ta toma un algen ki ta manda-u."
  Et comme un lierre obscur qui circonvient un tronc,Sima un barku di ténpu ki ta fika ta txora un barku
"  Et s'en fait un tuteur en lui léchant l'écorce,","El ta faze-l un algen ki ta proteje-l, ta lésa-l na se korason."
  Grimper par ruse au lieu de s'élever par force ?,Bu ta kria na un lugar más altu pa bu kria na un lugar más altu?
"  Non, merci. Dédier, comme tous il le font,",N ka ta xinti medu.
  Des vers aux financiers ? se changer en bouffon,Di vermes pa finansas?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Na speransa di odja, na boka di un minis,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Pa faze un sonhu, ki ka ta ser sinplis?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Nhu ta kume un fraku tudu dia?
  Avoir un ventre usé par la marche ? une peau,Tudu algen ta xinti un barriga ki ta kai na kaminhu
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Kenha ki ta fika más rapidu na lugar di djintis?
  Exécuter des tours de souplesse dorsale ?. . .,Bu pode faze un sirkulason di retu? . . .
"  Non, merci. D'une main flatter la chèvre au cou",N ka ta agradesi-u.
"  Cependant que, de l'autre, on arrose le chou,","Má, na kel otu, nu ta da-l agu."
"  Et, donneur de séné par désir de rhubarbe,",I el ta da-s séna pa el krê bira barbu.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Má kel ki é un kuza ki ta kontise?
"  Non, merci ! Se pousser de giron en giron,",N ta da-u txeu txeu.
"  Devenir un petit grand homme dans un rond,","Pa bira un grandi ómi pikinoti na un rundu,"
"  Et naviguer, avec des madrigaux pour rames,","I ta anda na mar ku barku di barku,"
  Et dans ses voiles des soupirs de vieilles dames ?,"I na se velus, ki ta txomaba kel-li di kel mudjer di idadi?"
