Scène 2.VIII.,2.VIII үзэгдэл.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Сирано, Брэт, баруун болон зүүн талд сууж буй залуучууд"
et auxquels on sert à boire et à manger.,"Тэдэнд хоол, ус хэрэглэдэг."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,ЦИРАН (Хэрэгтээ гарч ирдэг хүмүүсийг халамжлахгүйгээр халамжлах)
  Messieurs. . .Messieurs. . .Messieurs. . .,"Та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар, та нар,"
"LE BRET (désolé, redescendant, les bras au ciel):","БЕРТ (эргэлж, унаад, гараа тэнгэрт):"
  Ah ! dans quels jolis draps.,Ямар сайхан хувцас.
CYRANO:,ЦИРАН:
  Oh ! toi ! tu vas grogner !,Та нар хөөх болно!
LE BRET:,ТАГ:
"  Enfin, tu conviendras",Эцэст нь та зөвлөж байна
"  Qu'assassiner toujours la chance passagère,",Энэ бол үргэлж хохирогтой мөрийтэй байх явдал юм.
  Devient exagéré.,Энэ нь хэтэрхий их.
CYRANO:,ЦИРАН:
"  Hé bien oui, j'exagère !","Тийм ээ, би хэтэрхий их."
LE BRET (triomphant):,ТОХТ:
  Ah !,-Эх!
CYRANO:,ЦИРАН:
"  Mais pour le principe, et pour l'exemple aussi,","Гэхдээ зарчмын хувьд, үлгэр жишээний хувьд ч"
  Je trouve qu'il est bon d'exagérer ainsi.,Би үүнийг хэтрүүлэн үзвэл сайн гэж бодож байна.
LE BRET:,ТАГ:
"  Si tu laissais un peu ton âme mousquetaire,",Хэрэв та өөрийн амьтандаа бага зэрэг үлдээсэн бол
  La fortune et la gloire. . .,"Баян, алдар. . ."
CYRANO:,ЦИРАН:
  Et que faudrait-il faire ?,Тэгээд юу хийх ёстой вэ?
"  Chercher un protecteur puissant, prendre un patron,","Хүчит хамгаалагч хайж, дарга авах,"
  Et comme un lierre obscur qui circonvient un tronc,"Төгсөгд оргилтай,"
"  Et s'en fait un tuteur en lui léchant l'écorce,","Тэр нь түүний хөшөөг нь угааж,"
  Grimper par ruse au lieu de s'élever par force ?,"Хүчтэй биш, хулгайтайгаар чанасан уу?"
"  Non, merci. Dédier, comme tous il le font,","Үүнд зориулж, бүгдээрээ зориулж,"
  Des vers aux financiers ? se changer en bouffon,"Хөрөнгө оруулагчдаас гүнзгийрч, хулгайч болж"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",Сайдынхаа үгээр би үүнийг харахыг хүсээд
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Ямар нэгэн муухай биш хүн бүрээ инээмсэглэлтэй болгоно.
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",-Өдөр бүр хоолой хоол иддэг үү?
  Avoir un ventre usé par la marche ? une peau,"Хөдөлмөрийнхээ дагуу хоолой нь хурааж,"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Хэн нь хамгийн хурдан, бөөний оронд, бохирддаг вэ?"
  Exécuter des tours de souplesse dorsale ?. . .,Хүрний эргэлт хийх үү? . . .
"  Non, merci. D'une main flatter la chèvre au cou","-Үгүй ээ, баярлалаа."
"  Cependant que, de l'autre, on arrose le chou,","Харин нөгөө талын цагаан буурсыг угааж,"
"  Et, donneur de séné par désir de rhubarbe,","Тэр нь хоолой, хоолой,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Тэр цагаан тулаан нь үргэлж ямар нэгэн хөхний дотор байх уу?
"  Non, merci ! Se pousser de giron en giron,","Үргэлжүүлэн, эргэлжүүлэн,"
"  Devenir un petit grand homme dans un rond,","Нэг удаа нэг том залуу болж,"
"  Et naviguer, avec des madrigaux pour rames,","Баярын хөлөг онгоцтой,"
  Et dans ses voiles des soupirs de vieilles dames ?,Тэр хаалтын доторх эгчдийн нухалт байдаг юм уу?
"  Non, merci ! Chez le bon éditeur de Sercy",-Эх сайн Sercy-ийн хэвлэгчдэд.
"  Faire éditer ses vers en payant ? Non, merci !",-Хэрэв та нар төлбөр төлөөд ч гэсэн түүний гүнсийг хэвлүүлэх юм уу?
  S'aller faire nommer pape par les conciles,Пад болж болохын тулд зөвлөлд
