Scène 2.VIII.,វីដេអូទី ២-៨
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, ក្មេងប្រុសតូចៗ ដែលបានអង្គុយនៅខាងស្តាំ និងខាងឆ្វេង"
et auxquels on sert à boire et à manger.,គេ នឹង ទទួលទាន និង ទទួលទាន។
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,លោក ស៊ីរ៉ានូ (បាន សរសើរ អ្នក ដែល ចេញ ទៅ ក្រៅ ដោយ មិន ហ៊ាន សរសើរ)
  Messieurs. . .Messieurs. . .Messieurs. . .,ឯកឧត្តម ឯកឧត្តម ឯកឧត្តម ឯកឧត្តម ឯកឧត្តម ឯកឧត្តម ឯកឧត្តម
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (អាណិត, ធ្លាក់ចុះ, ដៃដល់កណ្តាល):"
  Ah ! dans quels jolis draps.,អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អា! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ! អ
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,អូន! អូន! អូន នឹង ស្រែក!
LE BRET:,អ្នកស្រី:
"  Enfin, tu conviendras",ហើយ នៅ ទី បំផុត អ្នក នឹង ទទួល បាន
"  Qu'assassiner toujours la chance passagère,",ដែល តែងតែ សម្លាប់ សំណាង រលូន
  Devient exagéré.,វា ហួសហេតុ។
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",ខ្ញុំ និយាយ ច្រើន ពេក។
LE BRET (triomphant):,""" សត្វ ព្រៃ ឈ្នះ """
  Ah !,អា!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,",ប៉ុន្តែ សម្រាប់ គោលការណ៍ និង សម្រាប់ គំរូ ក៏ ដូច ជា
  Je trouve qu'il est bon d'exagérer ainsi.,ខ្ញុំ គិត ថា វា ជា ការ ល្អ ណាស់ ដែល យើង ពន្យល់ ច្រើន ពេក។
LE BRET:,អ្នកស្រី:
"  Si tu laissais un peu ton âme mousquetaire,",បើ អ្នក ទុក ចិត្ត អ្នក ឲ្យ មាន ភាព ស្រស់ ស្អាត បន្តិច
  La fortune et la gloire. . .,ទ្រព្យសម្បត្តិ និង សិរីរុងរឿង . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,តើ ត្រូវ ធ្វើ អ្វី?
"  Chercher un protecteur puissant, prendre un patron,",រក អ្នក ការពារ ដ៏ ខ្លាំងក្លា រក អ្នក គ្រប់គ្រង
  Et comme un lierre obscur qui circonvient un tronc,ដូច ជា ដុំ ក្រហម ដែល ព័ទ្ធ នឹង ដើម ឈើ
"  Et s'en fait un tuteur en lui léchant l'écorce,",គេ នឹង យក វា ទៅ រក្សា ទុក ដោយ យក ទៅ លាង ស្បែក របស់ វា
  Grimper par ruse au lieu de s'élever par force ?,តើ អ្នក អាច ឡើង ដោយ ចេតនា ជំនួស ឲ្យ ឡើង ដោយ កម្លាំង?
"  Non, merci. Dédier, comme tous il le font,",មិន មែន ទេ អរគុណ ទេ ការ បម្រើ ដូច មនុស្ស គ្រប់ គ្នា ធ្វើ
