Scène 2.VIII.,Kĩonereria gĩa kerĩ gĩa ikũmi na inyanya.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, arĩa ethĩ arĩa maikarĩte mwena wa ũrĩo na wa ũmotho"
et auxquels on sert à boire et à manger.,Na nĩmagakĩheagwo irio na kũnyua.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (nĩ aamũkayagĩra na mũgambo wa ũcamba arĩa moimaga na matekũgeria kũmũkĩra):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, athuri akwa, na athuri akwa, ath"
"LE BRET (désolé, redescendant, les bras au ciel):",ŨRĨA ŨRĨA KŨRĨA KŨRĨA KŨRĨA KŨRĨA KŨRĨA KŨRĨA KŨRĨA KŨRĨA KŨRĨA KŨRĨA KŨRĨA KŨRĨA KŨRĨA KŨRĨA KŨRĨA KŨRĨA KŨRĨA KŨRĨA:
  Ah ! dans quels jolis draps.,Nĩ wega mũno!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Wee-rĩ, ũgũgũthũka!"
LE BRET:,Ũrĩa Ũngĩka:
"  Enfin, tu conviendras",Nĩ ũgũgĩtĩkĩra
"  Qu'assassiner toujours la chance passagère,","Nĩ ũndũ wa ũrĩa ũragũthumbũra,"
  Devient exagéré.,Nĩ ũrarĩ na nganja mũno.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Nĩ wega, nĩ ngũkũhĩrĩria."
LE BRET (triomphant):,ŨRĨA ŨHINJĨ:
  Ah !,Nĩ wega mũno.
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","No nĩ ũndũ wa kĩonereria, na nĩ ũndũ wa kĩonereria,"
  Je trouve qu'il est bon d'exagérer ainsi.,Nĩ wega mũno kũringĩrĩria maũndũ ta macio.
LE BRET:,Ũrĩa Ũngĩka:
"  Si tu laissais un peu ton âme mousquetaire,","Ũngĩrekereria muoyo waku ũtuĩke ta mũnyũ,"
  La fortune et la gloire. . .,Ũtonga na riiri . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Na tũngĩka atĩa?
"  Chercher un protecteur puissant, prendre un patron,","Nĩguo ũmenye mũgitĩri ũrĩ hinya, na ũmenye ũrĩa ũramũtongoria,"
  Et comme un lierre obscur qui circonvient un tronc,Na ta rũthingo rwa nduma rũkinyĩte gĩthũri-inĩ kĩa mũtarakwa.
"  Et s'en fait un tuteur en lui léchant l'écorce,","Na nĩ ũndũ ũcio nĩũgũtũũra ũgĩciiragia, na ũgĩciiragia."
  Grimper par ruse au lieu de s'élever par force ?,Hihi nĩ ũrahota kũhaica na njĩra ya ũhinga handũ ha kũhaica na hinya?
"  Non, merci. Dédier, comme tous il le font,","No thanks. Ndĩrekeire, ta ũrĩa andũ othe mekaga,"
  Des vers aux financiers ? se changer en bouffon,Kũrĩkia kũgĩa na mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca cia mbeca
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Nĩ ũndũ wa kĩĩrĩgĩrĩro kĩa ũtugi gĩa kuona,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Nĩguo ũmenye atĩ nĩ ũrathekaga.
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",No thanks.Tũrĩaga irio cia mũthenya na ng'ombe?
  Avoir un ventre usé par la marche ? une peau,Gũthiĩ na mbere na rũgendo rũu rũrĩ na nda
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Nĩ mũndũ ũrĩkũ ũtarĩ mũkinyanĩru kũgĩa na thaahu mbere ya kũgũa?
  Exécuter des tours de souplesse dorsale ?. . .,Hihi nĩ ũrahota kũrũa na njĩra ya kũrũa na thutha? . . .
"  Non, merci. D'une main flatter la chèvre au cou",Ndĩrenda gũcokia ngʼondu ngʼondu-inĩ na guoko kamwe
"  Cependant que, de l'autre, on arrose le chou,","No rĩrĩ, rĩrĩa mũndũ angĩahurĩria ndigiri,"
"  Et, donneur de séné par désir de rhubarbe,","Na ũrĩa ũhaanaga nda na kĩrumi nĩ ũndũ wa kwenda kũhĩa na mĩromo,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Hihi no ũkorũo ũrĩ ũndũ mũhũthũ kũhũthĩra ũcuke wake wa ũbumba?
"  Non, merci ! Se pousser de giron en giron,","No thanks! Nĩngũgũkĩra na ngĩkũrũmĩrĩra,"
"  Devenir un petit grand homme dans un rond,","Gũtuĩka mũndũ mũnene na mũnini na njĩra ya gũtuĩkanĩria,"
"  Et naviguer, avec des madrigaux pour rames,","Na tũgathiaga na marikabu na tũgĩciara mĩrigo,"
  Et dans ses voiles des soupirs de vieilles dames ?,Na thĩinĩ wa ihũa ciake nĩ kũrĩ na mĩromo ya atumia akũrũ?
"  Non, merci ! Chez le bon éditeur de Sercy",Ndĩ na mũtabarĩri mwega wa Sercy.
"  Faire éditer ses vers en payant ? Non, merci !",Nĩguo ũmenye atĩ nĩ ũgũteithĩrĩria andũ arĩa angĩ.
  S'aller faire nommer pape par les conciles,Kũhingia Igoti rĩa Gũthondekwo Mũthamaki
  Que dans des cabarets tiennent des imbéciles ?,Hihi nĩ ũrona atĩ andũ arĩa matarĩ na ũũgĩ nĩ maraiga andũ arĩa matarĩ na ũũgĩ thĩinĩ wa nyũmba cia ũgeni?
"  Non, merci ! Travailler à se construire un nom",Ndĩ na wĩra wa gwaka rĩĩtwa.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Nĩ ũndũ wa kũigua mũgambo ũmwe handũ ha kũigua ũngĩ?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Nĩ wega, no kũmenyeria arĩa marĩ na kĩyo no kũmenyeria arĩa marĩ na kĩyo?"
"  Être terrorisé par de vagues gazettes,","Kũiyũrwo nĩ guoya nĩ ngathĩti cia ngathĩti,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Na ũkiuga atĩrĩ, 'Aca, ingĩkorwo nĩ niĩ"
  Dans les petits papiers du Mercure François ?. . .,"Nĩ ũndũ wa ũrĩa tũtaarĩirie ũhoro wa maũndũ marĩa marekĩka, nĩ tũrabatara kũhũthĩra ũhoti witũ."
"  Non, merci ! Calculer, avoir peur, être blême,","No thanks! Kũgĩa na ũmenyo, gwĩtigĩra, kũgĩa na ũmenyo,"
"  Aimer mieux faire une visite qu'un poème,",Nĩ wega gũceerera handũ ha kũceerera rwĩmbo.
"  Rédiger des placets, se faire présenter ?",Hihi nĩ ũraigua ta ũrathiĩ na mbere kwandĩka ũhoro wa andũ?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Aca, ngatho, ngatho, ngatho, no... ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho, ngatho"
"  Rêver, rire, passer, être seul, être libre,","Kũroota, gũtheka, gũtuĩkanĩra, gũikara ũrĩ wiki, gũikara ũrĩ mũkombo-inĩ,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Nĩguo ũmenye wega, na ũmenye wega,"
"  Mettre, quand il vous plaît, son feutre de travers,","Nĩ ũndũ ũcio, rĩrĩa rĩothe ũngĩenda, nĩũgũthiĩ na mbere kũhingia maũndũ macio."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Nĩ ũndũ wa ĩĩ, nĩ ũndũ wa kwaga kũrũa, kana kũrũa na tũcũmbĩrĩ!"
"  Travailler sans souci de gloire ou de fortune,","Gũthiĩ na mbere kũruta wĩra ũtarĩ na kĩyo kana ũtonga,"
"  A tel voyage, auquel on pense, dans la lune !",Nĩguo tũthiĩ rũgendo-inĩ rũrĩa tũcũranagia rũgendo-inĩ rwa mweri.
"  N'écrire jamais rien qui de soi ne sortît,","Ndũgacoke kwandĩka kĩndũ gĩtarĩ kĩa ma,"
"  Et modeste d'ailleurs, se dire: mon petit,","Na mũndũ mwĩnyihia oigaga ũũ: 'Mũriũ wakwa,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Nĩũgũtũũra ũiyũrĩtwo nĩ maruva, na maciaro, o na mathangũ,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Ũngĩenda gũciikũrũkia mũgũnda-inĩ waku!
"  Puis, s'il advient d'un peu triompher, par hasard,","Na angĩkorwo nĩagĩa na ũhootani mũnini,"
"  Ne pas être obligé d'en rien rendre à César,",Nĩ ũndũ ũcio ndwagĩrĩirwo nĩkũhe Kaisari kĩndũ o na kĩrĩkũ.
"  Vis-à-vis de soi-même en garder le mérite,","Nĩ ũndũ wa kwĩmenyerera,"
"  Bref, dédaignant d'être le lierre parasite,","Nĩ ũndũ wa kũmenera atĩ nĩ mũrori wa mũrimũ,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","O na gũtuĩka tũtiarĩ rũũĩ rwa mũkũyũ kana rũũĩ rwa gĩthaka,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","No kũhoteke ndũgatuĩke mũndũ ũrĩ igũrũ mũno, no wĩke ũguo wĩ wiki!"
LE BRET:,Ũrĩa Ũngĩka:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Nĩ wega, no ti andũ othe."
  As-tu donc contracté la manie effroyable,Nĩũgwatĩire ũrimũ wa gũcanjamũra?
