Scène 2.VIII.,Icyiciro cya 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, abahungu bato, bari ku ruhande rw'iburyo n'urw'ibumoso"
et auxquels on sert à boire et à manger.,Kandi bakajya babashoreramo ibyokurya n'ibyokunywa.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (yemera abamusohoka nta bwoba):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe, bavandimwe,"
"LE BRET (désolé, redescendant, les bras au ciel):","UMUHANUZI (Muri agahinda, aracika, amaboko mu ijuru):"
  Ah ! dans quels jolis draps.,Mbega imyenda myiza!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, wowe, uzarira!"
LE BRET:,Umutoni:
"  Enfin, tu conviendras",Amaherezo uzemera
"  Qu'assassiner toujours la chance passagère,","Buri gihe kwica amahirwe y'akanya gato,"
  Devient exagéré.,Birimo kurenze urugero.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Nibyo, ndumva ndenze!"
LE BRET (triomphant):,UMUHANUZI:
  Ah !,Ah! Bye bye!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ariko ku ihame, no ku rugero,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ntekereza ko ari byiza ko umuntu arenza urugero.
LE BRET:,Umutoni:
"  Si tu laissais un peu ton âme mousquetaire,","Niba waretse ubugingo bwawe bugakomeza gutya,"
  La fortune et la gloire. . .,Ubutunzi n'icyubahiro . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,None se ni iki twagombye gukora?
"  Chercher un protecteur puissant, prendre un patron,","Gushaka umurinzi ukomeye, gufata umutegetsi,"
  Et comme un lierre obscur qui circonvient un tronc,Kandi nk'umwenda w'umwijima uzenguruka igiti cy'umujura
"  Et s'en fait un tuteur en lui léchant l'écorce,","Nuko akagira umwungeri, akamuririra mu gicucu,"
  Grimper par ruse au lieu de s'élever par force ?,"Mbese, ni ukuzamuka mu buryo bw'amayeri aho kuzamuka mu buryo bw'imbaraga?"
"  Non, merci. Dédier, comme tous il le font,","Ntacyo, ndabashimira."
  Des vers aux financiers ? se changer en bouffon,Guhinduka imfubyi
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Mu byiringiro by'ibinyoma byo kubona, ku munwa w'umukozi,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Kwita ku muntu utari umwijima?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Ese buri munsi, mu gitondo, uzajya ufata igikapu?"
  Avoir un ventre usé par la marche ? une peau,"Kugira inda y'indwara mu nzira, cyangwa uruhu"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Ni nde uhita ahita ahinduka umwanda aho guhinduka amagufa?
  Exécuter des tours de souplesse dorsale ?. . .,Gukora imyitozo yo guhangana n'ibibazo by'umusaraba? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Oya, urakoze."
"  Cependant que, de l'autre, on arrose le chou,","Ariko iyo umuntu asutseho inkwi,"
"  Et, donneur de séné par désir de rhubarbe,","Kandi ni we utuma ibisebe by'ibishyimbo by'impuha bihinduka,"
"  Avoir son encensoir, toujours, dans quelque barbe ?","Mbese, buri gihe uba ufite umuriro we mu mugongo?"
"  Non, merci ! Se pousser de giron en giron,","Nibyo, ndabashimira!"
"  Devenir un petit grand homme dans un rond,","Guhinduka umuntu muto ukomeye mu gice,"
