Scène 2.VIII.,2-VIII көрүнүш.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Сирано, Ле Брет, жаш балдар, алар оңдо жана солдо отуруп калышты"
et auxquels on sert à boire et à manger.,Алар тамак-аш менен суусундуктарды ичишет.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"КИРАНО (башкага чыккандарды саламдашып, ага даба бербей учурашкан):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Урматтуу мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар, мырзалар,"
"LE BRET (désolé, redescendant, les bras au ciel):","КӨРҮҮҮ (жана, төмөндөп, колу асманга):"
  Ah ! dans quels jolis draps.,Кандай сонун беттерде!
CYRANO:,КИРАН:
  Oh ! toi ! tu vas grogner !,Сен да кыйкырдың!
LE BRET:,ЖЫЛ:
"  Enfin, tu conviendras","Акыры, сен туура болосуң"
"  Qu'assassiner toujours la chance passagère,","Ал эми ар дайым бактысын өлтүрүү,"
  Devient exagéré.,Бул өтө эле чоң.
CYRANO:,КИРАН:
"  Hé bien oui, j'exagère !","Ооба, мен өтө эле көп айтып жатам!"
LE BRET (triomphant):,ЖЫЛДЫК (жеңүүчү):
  Ah !,А!
CYRANO:,КИРАН:
"  Mais pour le principe, et pour l'exemple aussi,","Бирок принципке, мисалы да,"
  Je trouve qu'il est bon d'exagérer ainsi.,Мен мындай кырдаалды өтө эле жакшы деп эсептейм.
LE BRET:,ЖЫЛ:
"  Si tu laissais un peu ton âme mousquetaire,","Эгер сен бир азга жан дүйнөңдү калтырсаң,"
  La fortune et la gloire. . .,Байлык менен атак-даңкка ээ болуу . . .
CYRANO:,КИРАН:
  Et que faudrait-il faire ?,Анда эмне кылуу керек?
"  Chercher un protecteur puissant, prendre un patron,","Күчтүү коргоочу издеп, жетекчиси менен бирге,"
  Et comme un lierre obscur qui circonvient un tronc,"Жаман түстөгү камыш сыяктуу ,"
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ал аны коргоочу кылып, анын терисин жалмап алат."
  Grimper par ruse au lieu de s'élever par force ?,"Көч менен көтөрүлбөй, амалкөйлүк менен көтөрүлүш керекпи?"
"  Non, merci. Dédier, comme tous il le font,","Жок, рахмат. Ар бир адамдай эле,"
  Des vers aux financiers ? se changer en bouffon,"""Кыргызчалык"" деген сөздү ""Кыргызчалык"" деп айтууга болот"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Мен муну көрүп, бир министрдин оозунан үмүтүмө батып,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Ал эми күлкүсү жаман эмес.
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","- Жок, рахмат, күн сайын бака менен тамактанабы?"
  Avoir un ventre usé par la marche ? une peau,Жүргүнүнөн агып кеткен курсагыңдын териси
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Ким тез эле, тизелеринен кийин, ыплас болуп калат?"
  Exécuter des tours de souplesse dorsale ?. . .,Арткы боорунун ийкемдүүлүгүн өзгөртүү? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Жок, рахмат, бир колуң менен эчкини мойнуна сыйла"
"  Cependant que, de l'autre, on arrose le chou,","Бирок, экинчисинен капусты сугарып,"
"  Et, donneur de séné par désir de rhubarbe,","Ал эми ал - сулуулуктун кумарынан,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Анын чанагын ар дайым бир сакалдын ичинде сактап жүрөбү?
"  Non, merci ! Se pousser de giron en giron,","Жок, рахмат, айланып-ийилип,"
"  Devenir un petit grand homme dans un rond,","Бир топто чоң киши болуп,"
"  Et naviguer, avec des madrigaux pour rames,","Кайыздар менен кемелерди кыдырып,"
  Et dans ses voiles des soupirs de vieilles dames ?,Анын кайыктарынан эски аялдардын кыйкырыгы угулуп жатпайбы?
"  Non, merci ! Chez le bon éditeur de Sercy","Жок, рахмат, Серсинин туура редакциясына."
"  Faire éditer ses vers en payant ? Non, merci !",- Анын калемин акча менен чыгарууну каалайсыңбы?
  S'aller faire nommer pape par les conciles,Пап болуп дайындалууга байланыштуу кеңештер
  Que dans des cabarets tiennent des imbéciles ?,Алар кабиналардагы чоочун кишилерди кармап турушат деп ойлойсуңбу?
