Scène 2.VIII.,Çalakiya 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, zarokên biçûk, ku li rast û çep rûniştin"
et auxquels on sert à boire et à manger.,Û wan vexwarin û vexwarinê didin.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (bi dengekî qenc kesên ku dernakevin û bêyî ku bi xwe re silav bikin)
  Messieurs. . .Messieurs. . .Messieurs. . .,Bayê... bayê... bayê... bayê... bayê...
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (sorry, paşve, bi destê li ser ezmanê):"
  Ah ! dans quels jolis draps.,Ew şûşeyên xweş in.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,O! hûn ê qîr bikin!
LE BRET:,- Xwepêşandan:
"  Enfin, tu conviendras",Di dawiyê de hûn ê bifikirin
"  Qu'assassiner toujours la chance passagère,",Ji bo ku her tim bi awayekî zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû bi zû.
  Devient exagéré.,Bi xwe bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",- Ez bi xwe bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re bi xwe re.
LE BRET (triomphant):,BIRET (serfiraz):
  Ah !,Ah!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Lê ji bo prensîb û jî ji bo mînakê,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ez dibînim ku bi awayekî zêde bi awayekî baş e.
LE BRET:,- Xwepêşandan:
"  Si tu laissais un peu ton âme mousquetaire,","Heger tu ji xwe re hinekî bêdeng bikî,"
  La fortune et la gloire. . .,Zêde û rûmet . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Û çi divê bê kirin?
"  Chercher un protecteur puissant, prendre un patron,","Dixwazin xwedî parastinek bi hêz bibin, xwedî serok bin,"
  Et comme un lierre obscur qui circonvient un tronc,Wekî ku li dor çemê tirk e
"  Et s'en fait un tuteur en lui léchant l'écorce,",Û ewê ji xwe ra bi xwe ra bibe xwedî û bi xwe ra bi xwe ra bibe xwedî.
  Grimper par ruse au lieu de s'élever par force ?,Li ser qereqola xwe bi qereqola xwe bi ser bikevin?
"  Non, merci. Dédier, comme tous il le font,","Ne, ez spas dikim."
  Des vers aux financiers ? se changer en bouffon,"Ji qûçikî heta karsazî, ji bo ku bibe xetî"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Bi hêviya hovane, bi devê wezîrekî,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Ji bo ku bi xwe re bişkînin, ku ne xelet e?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Ne, ez spas dikim. Çarşemê her roj bi çopekî dixwînin?"
  Avoir un ventre usé par la marche ? une peau,Çavekî ku di rê de bixwe ye?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Kî di cihê dizên xwe de bi lez dibe qirêj?
  Exécuter des tours de souplesse dorsale ?. . .,Bi rêya şûnwarî ya pişta xwe ve? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Ne, ez spas dikim. Bi destê yekî berda bi qêrê"
