Scène 2.VIII.,المشهد الثاني ثمانية
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",كِيرَانُو وَلِيَبْرِيتَ، الْأَصْغَارُ، الَّذِينَ جَلَسُوا عَنِ الْيَمِينِ وَالْيَسَارِ
et auxquels on sert à boire et à manger.,وَيُسْتَخْدَمُونَهُمْ وَيَأْكُلُونَهُمْ.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سِيرَانُو (يُسَلِّمُ بِرُوحٍ مُتَعَارِفَةٍ لِلْخَارِجِينَ بِلَا جَرَاءَةٍ):
  Messieurs. . .Messieurs. . .Messieurs. . .,سَيِّدَيْنِ سَيِّدَيْنِ سَيِّدَيْنِ
"LE BRET (désolé, redescendant, les bras au ciel):",الْمُؤْتَمِنُ (تَنَزَّلَ، يَنْزِلُ، ذِرَاعَيْهِ إِلَى السَّمَاءِ):
  Ah ! dans quels jolis draps.,أَيْ مِنْ أَحْسَنِ الْمَنَافِضَاتِ.
CYRANO:,كِرَانُو:
  Oh ! toi ! tu vas grogner !,يَا أَيُّهَا الْمُغْرِقُ!
LE BRET:,الْبَرْدُ:
"  Enfin, tu conviendras",أخيراً، ستُوافق
"  Qu'assassiner toujours la chance passagère,",أَنْ يَقْتُلَ الْحَظَّ الْمُتَقَلِّلَ
  Devient exagéré.,يَكُونُ مُتَعَظِّمًا.
CYRANO:,كِرَانُو:
"  Hé bien oui, j'exagère !",بَلْ بَلْ أَعْجَمُ!
LE BRET (triomphant):,الْمُنْتَصِبُ:
  Ah !,آه!
CYRANO:,كِرَانُو:
"  Mais pour le principe, et pour l'exemple aussi,",وَلَكِنْ مِنْ قَبْلِهِ وَمِنْ قِبَلِهِ
  Je trouve qu'il est bon d'exagérer ainsi.,أَحْسَنُ أَنْ تَتَعَظَّمَ بِهَذَا.
LE BRET:,الْبَرْدُ:
"  Si tu laissais un peu ton âme mousquetaire,",لَوْ تَرَكْتَ نَفْسَكَ الْمُسْتَغْنِيَةَ قَلِيلًا
  La fortune et la gloire. . .,الثَّرْوَةُ وَالْمَجْدُ . . .
CYRANO:,كِرَانُو:
  Et que faudrait-il faire ?,وَمَاذَا يَجِبُ أَنْ يُجْرَى؟
"  Chercher un protecteur puissant, prendre un patron,",أَنْ أَتَمَكَّنَ مِنْ حَمَالٍ قَوِيٍّ، أَنْ أَتَمَكَّنَ مِنْ رَئِيسٍ،
  Et comme un lierre obscur qui circonvient un tronc,وَكَمَا يَكُونُ مِنْ غَيْرِ مُسْتَقِيمٍ مِنْ جَنْبٍ
"  Et s'en fait un tuteur en lui léchant l'écorce,",وَيَجْعَلُهُ مُرَاعِيًا يَلْحَسُ جَلْدَهُ ،
  Grimper par ruse au lieu de s'élever par force ?,أَتَصْعَدُ بِالْحَدِيثِ مِنْ أَجْلِ الْقُوَّةِ؟
