Scène 2.VIII.,2/8 장면
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","키라노, 브레트, 남북에 좌석에 앉은 어린"
et auxquels on sert à boire et à manger.,그리고 그들은 먹으며 마실 수 있게 되어
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,시라노 (출장신문에서 무자비하게 나오는 사람들을 기르며):
  Messieurs. . .Messieurs. . .Messieurs. . .,"여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분, 여러분,"
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (미안, 하향, 팔을 하늘로):"
  Ah ! dans quels jolis draps.,"아, 정말 멋진 옷이죠."
CYRANO:,키라노:
  Oh ! toi ! tu vas grogner !,"오, 넌 을 거야!"
LE BRET:,:
"  Enfin, tu conviendras","결국, 당신은 괜찮을 것입니다"
"  Qu'assassiner toujours la chance passagère,",항상 운의 간략한 암살을
  Devient exagéré.,너무 과장해
CYRANO:,키라노:
"  Hé bien oui, j'exagère !","- 그래, 너무 과장해!"
LE BRET (triomphant):, (승장):
  Ah !,"아, 아!"
CYRANO:,키라노:
"  Mais pour le principe, et pour l'exemple aussi,",하지만 원칙과 예시도 마찬가지입니다.
  Je trouve qu'il est bon d'exagérer ainsi.,저는 이런 식으로 과장하는 것이 좋다고 생각합니다.
LE BRET:,:
"  Si tu laissais un peu ton âme mousquetaire,",만약 당신이 당신의 무스켓 영혼을 조금만 남겨두면
  La fortune et la gloire. . .,부와 영광. . .
CYRANO:,키라노:
  Et que faudrait-il faire ?,어떻게 해야 할까요?
"  Chercher un protecteur puissant, prendre un patron,","강력한 보호자를 찾아, 보스를 잡으세요"
  Et comme un lierre obscur qui circonvient un tronc,둥지를 둘러싼 어두운 잎처럼
"  Et s'en fait un tuteur en lui léchant l'écorce,",그 나무의 껍질을 어 보호자가 되기도 하고
