Scène 2.VIII.,ສະພາບທີ 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, ພວກໄວຫນຸ່ມ, ຜູ້ທີ່ໄດ້ນັ່ງຢູ່ເບື້ອງຂວາແລະເບື້ອງຊ້າຍ"
et auxquels on sert à boire et à manger.,ພວກມັນກໍກິນ ແລະ ດື່ມ.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (ອວຍພອນດ້ວຍລົມຕື່ນເຕັ້ນຜູ້ທີ່ອອກໄປໂດຍບໍ່ກ້າອວຍພອນ):
  Messieurs. . .Messieurs. . .Messieurs. . .,ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ ບັນດາທ່ານ
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (ເສຍໃຈ, ລົງ, ມືຂຶ້ນກັບສະຫວັນ):"
  Ah ! dans quels jolis draps.,ອ້າຍ! ໃນຜ້າຜ້າທີ່ສວຍງາມ.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,ໂອ້ ເຈົ້າ! ເຈົ້າຈະຮ້ອງໄຫ້!
LE BRET:,ຜູ້ຊາຍ:
"  Enfin, tu conviendras","ໃນທີ່ສຸດ, ທ່ານຈະຖືກ"
"  Qu'assassiner toujours la chance passagère,",ທີ່ຂ້າໂຊກຊົ່ວຄາວ
  Devient exagéré.,ມັນຈະກາຍເປັນການໂຊກເສບ.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","ແມ່ນແລ້ວ, ຂ້ອຍເວົ້າເກີນໄປ!"
LE BRET (triomphant):,THE BRET (ຜູ້ຊະນະ):
  Ah !,ໂອ້!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","ແຕ່ສໍາລັບຫຼັກການ, ແລະສໍາລັບຕົວຢ່າງເຊັ່ນດຽວກັນ,"
  Je trouve qu'il est bon d'exagérer ainsi.,ຂ້ອຍຄິດວ່າ ມັນດີທີ່ຈະເກີນໄປແບບນີ້.
LE BRET:,ຜູ້ຊາຍ:
"  Si tu laissais un peu ton âme mousquetaire,",ຖ້າເຈົ້າໄດ້ປ່ອຍໃຫ້ຈິດໃຈຂອງເຈົ້າເປັນ Musketeer ພຽງເລັກນ້ອຍ
  La fortune et la gloire. . .,ຄວາມຮັ່ງມີ ແລະ ຄວາມສະຫງ່າລາສີ . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,ແລະ ຈະເຮັດແນວໃດ?
"  Chercher un protecteur puissant, prendre un patron,","ຊອກຫາຜູ້ປົກປ້ອງທີ່ມີຄວາມເຂັ້ມແຂງ, ເອົາຜູ້ປົກຄອງ,"
  Et comme un lierre obscur qui circonvient un tronc,ແລະ ເປັນເຫມືອນກັບຜ້າຫນຽວຫນາວໆ ທີ່ລ້ອມຮອບຕົ້ນໄມ້
"  Et s'en fait un tuteur en lui léchant l'écorce,","ແລະເຮັດໃຫ້ມັນເປັນຜູ້ປົກຄອງ, ລ້າງຮາກຂອງມັນ,"
  Grimper par ruse au lieu de s'élever par force ?,ຈະຂຶ້ນດ້ວຍຄວາມຮຸນແຮງແທນທີ່ຈະຂຶ້ນດ້ວຍຄວາມແຮງ?
"  Non, merci. Dédier, comme tous il le font,","ບໍ່ ຂອບໃຈ. ການອຸທິດຕົນ, ດັ່ງທີ່ທຸກຄົນເຮັດ,"
  Des vers aux financiers ? se changer en bouffon,"ຈາກຜັກເຂົ້າໄປຫາເງິນ, ກາຍເປັນຄົນໂຫດຮ້າຍ"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","ໃນຄວາມຫວັງທີ່ລໍາບາກທີ່ຈະເຫັນ, ໃນປາກຂອງລັດຖະມົນຕີ,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","ເພື່ອໃຫ້ມີໃບຕື່ນຕາ, ຫຼັງຈາກນັ້ນ, ຜູ້ທີ່ບໍ່ແມ່ນຄວາມຮ້າຍແຮງ?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","ບໍ່, ຂອບໃຈ. ກິນອາຫານທ່ຽງທຸກມື້ດ້ວຍຖົ່ວເຫຼືອງບໍ?"
  Avoir un ventre usé par la marche ? une peau,ມີທ້ອງເປື້ອນໃນເວລາຍ່າງ?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",ໃຜຈະລ້າງອ່ອນໄວກວ່າຫມາກຕີນ?
  Exécuter des tours de souplesse dorsale ?. . .,ການເຮັດການລວດລ້ອມດ້ານຫຼັງ? . . .
"  Non, merci. D'une main flatter la chèvre au cou","ບໍ່ ຂອບໃຈ, ແຕ່ດ້ວຍມືດຽວ, ຊົມເຊີຍແບ້"
"  Cependant que, de l'autre, on arrose le chou,",ແຕ່ຖ້າຫາກວ່າພວກເຮົາຍັງໄດ້ຊັກຜັກເຂົ້າໃນຫມາກກາບູ
"  Et, donneur de séné par désir de rhubarbe,",ແລະ ຜູ້ ທີ່ ຈະ ໃຫ້ ນົມ ປັງ ດ້ວຍ ຄວາມ ຮຽກຮ້ອງ
"  Avoir son encensoir, toujours, dans quelque barbe ?",ມີຫມໍ້ໄຟລາວຢູ່ຢູ່ຢູ່ເບື້ອງຂາບໍ?
"  Non, merci ! Se pousser de giron en giron,",ບໍ່ ຂອບໃຈ! ຂື້ນໄປເລື້ອຍໆ
"  Devenir un petit grand homme dans un rond,",ກາຍເປັນຜູ້ຊາຍຂະຫນາດນ້ອຍໃນວົງ
"  Et naviguer, avec des madrigaux pour rames,",ແລະຂັບຂີ່ເຮືອດ້ວຍເຮືອຂົນສົ່ງ
  Et dans ses voiles des soupirs de vieilles dames ?,ແລະໃນສາຍຕາຂອງນາງ ມີການຮ້ອງໄຫ້ຂອງຜູ້ຍິງເກົ່າ?
"  Non, merci ! Chez le bon éditeur de Sercy","ບໍ່, ຂອບໃຈ!"
"  Faire éditer ses vers en payant ? Non, merci !",- ຈະໃຫ້ຄົນຂຽນຂໍ້ຄວາມຂອງທ່ານໄດ້ໂດຍການຈ່າຍເງິນບໍ?
  S'aller faire nommer pape par les conciles,ຈະຖືກແຕ່ງຕັ້ງໃຫ້ເປັນປະທານາທິບໍດີ
  Que dans des cabarets tiennent des imbéciles ?,ວ່າພວກຄົນໂງ່ຄົນຢູ່ໃນຫ້ອງການ?
"  Non, merci ! Travailler à se construire un nom","ບໍ່ ຂອບໃຈ, ເຮັດວຽກເພື່ອສ້າງຊື່ສຽງ"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","ໃນສຽງເພງດຽວ, ແທນທີ່ຈະເຮັດສຽງເພງອື່ນໆ?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,ຂອບໃຈ! ແຕ່ວ່າການຄົ້ນພົບຂອງທັກສະໃນ mazes?
"  Être terrorisé par de vagues gazettes,",ການຢ້ານກົວຈາກ ຫນັງສືພິມທີ່ລໍາບາກ
"  Et se dire sans cesse: Oh, pourvu que je sois","ແລະເວົ້າຕໍ່ຕົນເອງວ່າ ""ໂອ, ຖ້າຂ້ອຍເປັນ"
  Dans les petits papiers du Mercure François ?. . .,ໃນບົດຂຽນຂອງ Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","ບໍ່, ຂອບໃຈ! ຄິດໄລ່, ຢ້ານ, ເປັນຄົນລໍາບາກ,"
"  Aimer mieux faire une visite qu'un poème,",ຮັກການຢ້ຽມຢາມຫຼາຍກວ່າການຈົດຫມາຍ
"  Rédiger des placets, se faire présenter ?","ຂຽນບົດຂຽນ, ສະແດງຕົວເອງ?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","ບໍ່ ຂອບໃຈ, ຂອບໃຈ, ຂອບໃຈ, ຂອບໃຈ, ແຕ່..."
"  Rêver, rire, passer, être seul, être libre,","ຝັນ, ລົມ, ຜ່ານ, ມີຄົນດຽວ, ມີອິດສະຫຼະ,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","ມີຕາເບິ່ງຢ່າງລະອຽດ, ສຽງລື່ນຢ້ານ,"
"  Mettre, quand il vous plaît, son feutre de travers,",ໃຫ້ທ່ານຮູ້ສຶກວ່າ ທ່ານມີຄວາມຜິດພາດໃນເວລາທີ່ທ່ານຕ້ອງການ
"  Pour un oui, pour un non, se battre,--ou faire un vers !","ເພື່ອໃຫ້ມີຄໍາວ່າ ແມ່ນ ຫຼື ບໍ່, ຕໍ່ສູ້, ຫຼືເຮັດເປັນ worm!"
"  Travailler sans souci de gloire ou de fortune,",ເຮັດວຽກໂດຍບໍ່ສົນໃຈຄວາມຍິ່ງໃຫຍ່ ຫຼືຄວາມລວຍ
"  A tel voyage, auquel on pense, dans la lune !",ໄປທ່ຽວດວງຈັນແບບນີ້ ທີ່ເຮົາຄິດໄດ້
"  N'écrire jamais rien qui de soi ne sortît,",ບໍ່ເຄີຍຂຽນຫຍັງທີ່ບໍ່ໄດ້ອອກມາຈາກຕົວເອງ
"  Et modeste d'ailleurs, se dire: mon petit,","ແລະຍັງມີສະຕິກ່ໍາອີກ, ເວົ້າກັບຕົວເອງວ່າ, ລູກນ້ອຍ,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","ມັນຈະພໍໃຈກັບດອກໄມ້, ຫມາກໄມ້, ໃບໄມ້,"
  Si c'est dans ton jardin à toi que tu les cueilles !,ຖ້າຫາກວ່າເຈົ້າໄດ້ເອົາມັນຢູ່ສວນຂອງເຈົ້າ!
"  Puis, s'il advient d'un peu triompher, par hasard,","ແລະຖ້າຫາກວ່າລາວໄດ້ຮັບໄຊຊະນະເລີດຢ່າງຫນ້ອຍ,"
"  Ne pas être obligé d'en rien rendre à César,",ບໍ່ ຈໍາ ເປັນ ຕ້ອງ ຊໍາ ລະ ເງິນ ໃຫ້ ແກ່ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ ກຸງ
"  Vis-à-vis de soi-même en garder le mérite,","ຕໍ່ກັບຕົນເອງ, ຮັກສາຄຸນຄ່າຂອງມັນ,"
"  Bref, dédaignant d'être le lierre parasite,","ໂດຍຫຍໍ້, ໂດຍບໍ່ສົນໃຈວ່າເປັນ lierre parasite,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","ເຖິງແມ່ນວ່າພວກເຮົາບໍ່ແມ່ນໄມ້ປ່າຫລືໄມ້ປ່າ,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","ບໍ່ສູງຂຶ້ນສູງ, ແຕ່ວ່າຢູ່ດ້ວຍຕົນເອງ!"
LE BRET:,ຜູ້ຊາຍ:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",ແຕ່ບໍ່ຕໍ່ຕ້ານທຸກຄົນ!
  As-tu donc contracté la manie effroyable,ທ່ານໄດ້ມີສະພາບການຈິດໃຈທີ່ ຫນ້າ ຢ້ານກົວ
"  De te faire toujours, partout, des ennemis ?",ເຮັດ ໃຫ້ ພວກ ເຈົ້າ ມີ ສັດຕູ ຢູ່ ທຸກ ບ່ອນ?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,",ຍ້ອນວ່າໄດ້ເຫັນທ່ານໄດ້ສ້າງ ຫມູ່ເພື່ອນ
"  Et rire à ces amis dont vous avez des foules,",ແລະ ລົມກັບ ຫມູ່ເພື່ອນ ທີ່ທ່ານມີຄົນຫຼາຍຄົນ
  D'une bouche empruntée au derrière des poules !,ດ້ວຍປາກທີ່ຖັກໄວ້ຢູ່ເບື້ອງຫລັງຂອງໄກ່!
"  J'aime raréfier sur mes pas les saluts,",ຂ້ອຍມັກຈະຂັບຂີ່ການອວຍພອນໃນຕີນຂອງຂ້ອຍ
  Et m'écrie avec joie: un ennemi de plus !,ແລະຮ້ອງໄຫ້ໃຫ້ຂ້ອຍມີຄວາມສຸກ: ອີກສັດຕູ!
LE BRET:,ຜູ້ຊາຍ:
  Quelle aberration !,ມັນເປັນການຜິດພາດແທ້ໆ!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","ແມ່ນແລ້ວ, ມັນເປັນບົນພາວະຂອງຂ້ອຍ."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"ຂ້ອຍມັກຈະອອກໄປ, ຂ້ອຍມັກຄົນມັກຈະກຽດຊັງຂ້ອຍ."
"  Mon cher, si tu savais comme l'on marche mieux",ລູກເອີຍ ຖ້າເຈົ້າຮູ້ວິທີແລ່ນໄດ້ດີກວ່າ
  Sous la pistolétade excitante des yeux !,ໃນຖານະເປັນຕາຕະລາງທີ່ ຫນ້າ ຕື່ນເຕັ້ນ!
"  Comme, sur les pourpoints, font d'amusantes taches","ໃນຖານະເປັນ, ກ່ຽວກັບຈຸດ, ເຮັດໃຫ້ມີຈຸດມ່ວນ"
  Le fiel des envieux et la bave des lâches !,ຄວາມຮຸນແຮງຂອງຄົນມີອິດສາ ແລະຄວາມຮຸນແຮງຂອງຄົນຢ້ານ!
"  --Vous, la molle amitié dont vous vous entourez,","- ເຈົ້າ, ຫມູ່ເພື່ອນທີ່ອ່ອນແອ ທີ່ຢູ່ອ້ອມຂ້າງ"
"  Ressemble à ces grands cols d'Italie, ajourés","ເບິ່ງຄືວ່າຄໍໃຫຍ່ຂອງອິຕາລີ, ໂຈະ"
"  Et flottants, dans lesquels votre cou s'effémine:",ແລະ ນ້ໍາລໍາລໍາ ທີ່ຄໍຂອງເຈົ້າຈະສັ່ນສະເທືອນ
"  On y est plus à l'aise. . .et de moins haute mine,","ພວກເຮົາມີຄວາມສະບາຍກວ່າ. . . ແລະມີລະດັບສູງຕ່ໍາກວ່າ,"
"  Car le front n'ayant pas de maintien ni de loi,",ເພາະຫນ້າຕາບໍ່ມີການປະຕິບັດຕາມກົດ ຫມາຍ ແລະກົດ ຫມາຍ
"  S'abandonne à pencher dans tous les sens. Mais moi,",ແຕ່ຂ້ອຍກໍບໍ່ຮູ້
