Scène 2.VIII.,Scena 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, i zeneixi, che se son posciûi à dritta e à scîve"
et auxquels on sert à boire et à manger.,E se ghe serve à beve e à mangiâ.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CIRANO (saluando con un âto de scîto quelli che se ne van sensa oûsan a salutâlo):
  Messieurs. . .Messieurs. . .Messieurs. . .,Sæ signori... sæ signori... sæ signori...
"LE BRET (désolé, redescendant, les bras au ciel):","O BRET (Sorry, scende, braçie in sciâ scê):"
  Ah ! dans quels jolis draps.,Ah! che belle lendi.
CYRANO:,CIRANO:
  Oh ! toi ! tu vas grogner !,"Oh, ti! ti ghe ghe ghe dixe!"
LE BRET:,O BREAT:
"  Enfin, tu conviendras",E pe-a fin ti ti ti tiæ
"  Qu'assassiner toujours la chance passagère,","che ti tiâ sempre a-a fortuna passâ,"
  Devient exagéré.,A l'é un exagero.
CYRANO:,CIRANO:
"  Hé bien oui, j'exagère !","- No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no"
LE BRET (triomphant):,O BROTT (triomfante):
  Ah !,"Ah, comme se fa!"
CYRANO:,CIRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ma pe-o prinçippio, e pe-o dæto de dæto ascì,"
  Je trouve qu'il est bon d'exagérer ainsi.,Mi penso che l'é bon de exaggerâ coscì.
LE BRET:,O BREAT:
"  Si tu laissais un peu ton âme mousquetaire,","Se ti lasciâ un pö a teu anima mosqueta,"
  La fortune et la gloire. . .,A ricchezza e a glöia. . . .
CYRANO:,CIRANO:
  Et que faudrait-il faire ?,E coscì o l'é stæto fæto?
"  Chercher un protecteur puissant, prendre un patron,","Pe çercâ un protetô forte, pe piggiâ un patron,"
  Et comme un lierre obscur qui circonvient un tronc,E comme un scuro scîto che o l'à da fâ un tronco
"  Et s'en fait un tuteur en lui léchant l'écorce,","E o se fa un guæi, e o se fa un guæi, e o se fa un guæi,"
  Grimper par ruse au lieu de s'élever par force ?,"A scampâ pe-a truggia, invece de ascî pe-a forza?"
"  Non, merci. Dédier, comme tous il le font,","No, grazie. Dedicâ, comme tutti,"
  Des vers aux financiers ? se changer en bouffon,Da versæ à finanziæ?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Pe vedde, pe-o bocca de un ministro,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Nâ un sorriso, pe-o resto, che no l'é sinistro?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","No, grazie. Ti ghe mangiæ un pö de scigno?"
  Avoir un ventre usé par la marche ? une peau,Un ventre sposo pe camminâ?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Chi o l'é ciù veloce, in sciâ quæ o l'é in sciâ ggiù?"
  Exécuter des tours de souplesse dorsale ?. . .,Fâse di torni de flescibilitæ d'orlo? . . .
"  Non, merci. D'une main flatter la chèvre au cou","No, grazie, con unna man, a-a coæ a-a capra"
"  Cependant que, de l'autre, on arrose le chou,","Pe quello che se peu fâ, se o l'é un pittin de cavolo,"
"  Et, donneur de séné par désir de rhubarbe,","E che a-o mâ a l'é a-a pòrta da-a pòrta da-a pòrta,"
"  Avoir son encensoir, toujours, dans quelque barbe ?","T'æ a-a seu scenaia, sempre, in quarche barba?"
