Scène 2.VIII.,Scenie 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, de jongere, die zich aan de rechter en links zitte"
et auxquels on sert à boire et à manger.,En ze zien gediend en gedronken.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (die de oetgangers oonder de groet durfde groete:
  Messieurs. . .Messieurs. . .Messieurs. . .,Heren. Heren. Heren. Heren.
"LE BRET (désolé, redescendant, les bras au ciel):","DE BRET (gezoen, neerdaag, arms in de hemel):"
  Ah ! dans quels jolis draps.,"Ach, in wat 'n mooie doek."
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, jij, je zult gronkelen!"
LE BRET:,De sjrief:
"  Enfin, tu conviendras",Eindelik gaon weej wel
"  Qu'assassiner toujours la chance passagère,","Dat 't altied 't passend geluk vermoordt,"
  Devient exagéré.,Dat is te ver.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Wel, ja, ich höb 't te ver."
LE BRET (triomphant):,De triomfante:
  Ah !,"Ach, waor!"
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Want veur 't beginsel en veur 't voorbeeld,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ich vind 't good om zo te overdreven.
LE BRET:,De sjrief:
"  Si tu laissais un peu ton âme mousquetaire,","Als je 'n beetje van je moskeetgezel laat,"
  La fortune et la gloire. . .,Rijkdom en roem. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,En wat zouw we daonao doen?
"  Chercher un protecteur puissant, prendre un patron,","'t Is 'n krachtig beschermder, 'n baas."
  Et comme un lierre obscur qui circonvient un tronc,En 'n duister lier die 'n stam omringt
"  Et s'en fait un tuteur en lui léchant l'écorce,","En zeej maak zich tot e voogd, en liekt d'r sjkel,"
  Grimper par ruse au lieu de s'élever par force ?,Klimme door middel van verrader in plaats van door middel van geweld?
"  Non, merci. Dédier, comme tous il le font,","Neet, bedankt."
  Des vers aux financiers ? se changer en bouffon,Van worms tot financiers?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","In de sjieke hoop te zien, op de lippen van 'n minister,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","'n Laek te kriege, wie is neet zónder?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Neet, dankjewel."
  Avoir un ventre usé par la marche ? une peau,'n Baak versjleegd door 't gaon? 'n huid
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Wie kump de snelste, in plaats van de knieën, vuil?"
  Exécuter des tours de souplesse dorsale ?. . .,'n Rökverflakkering? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Neet, dankjewel. 'n Handje mit de bok op de nek"
"  Cependant que, de l'autre, on arrose le chou,",Want van de ander sjtaon de kool.
"  Et, donneur de séné par désir de rhubarbe,","En die de zaag van de zaag van de haer vergaet,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Z'n wietker in 'n baard?
"  Non, merci ! Se pousser de giron en giron,","Neet, dankjewel."
"  Devenir un petit grand homme dans un rond,","'t Is 'n klein groot man in 'n ronde,"
"  Et naviguer, avec des madrigaux pour rames,","En zeej zeen mit sjtappe,"
  Et dans ses voiles des soupirs de vieilles dames ?,En in zien veilen de zuug van ouwe dames?
"  Non, merci ! Chez le bon éditeur de Sercy","Neet, dankjewel, bij de echte Sercy-verdachter."
"  Faire éditer ses vers en payant ? Non, merci !",Z'n versjèlle te beejgeve?
  S'aller faire nommer pape par les conciles,'n Papsvergunning door de gemeenten
  Que dans des cabarets tiennent des imbéciles ?,Dat in kabbatten idioten zitten?
"  Non, merci ! Travailler à se construire un nom","Neet, dank je! 't Werk um 'n naam te make"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Op 'n sonnet, in plaats van 'n ander?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Dank, allein in de kelders zien talent?"
"  Être terrorisé par de vagues gazettes,","Geer waeggeveurd te zien door de kranten,"
"  Et se dire sans cesse: Oh, pourvu que je sois","En zeen altied: 'Oh, as ich dan waor"
  Dans les petits papiers du Mercure François ?. . .,In de papieren van de Mercurius Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Neet, dank je! Waereld, bang, zwoer,"
"  Aimer mieux faire une visite qu'un poème,","Liever 'n bezoekje dan 'n gedich,"
"  Rédiger des placets, se faire présenter ?","'t Zunt 'n plaatje, 'n presentatie?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Neet, bedank, bedank, bedank, maar... zing,"
"  Rêver, rire, passer, être seul, être libre,","Droom, lache, gaon, allein, vrij,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","'n Oog die goed ziet, 'n stem die trilt,"
"  Mettre, quand il vous plaît, son feutre de travers,","Doe, waat geer wilt, z'n gevoel van verdrieve,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Veur 't ja, veur 't nee, veuge of 'n worm maak!"
"  Travailler sans souci de gloire ou de fortune,","Werk ónger roem of rijkdom,"
"  A tel voyage, auquel on pense, dans la lune !","Op zo'n reis, die we aan de maan denken!"
"  N'écrire jamais rien qui de soi ne sortît,","Neet te sjrieve wat neet vanzelf komt,"
"  Et modeste d'ailleurs, se dire: mon petit,","En bescheiden, en zegge: 'Mijn klein,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Of 't zich verzadigt mit bloemen, vruchten, zelfs bladeren,"
  Si c'est dans ton jardin à toi que tu les cueilles !,As dat in d'n eigen tuin is.
"  Puis, s'il advient d'un peu triompher, par hasard,","En es 't dan ein klein triomf is,"
"  Ne pas être obligé d'en rien rendre à César,","Ich höb niks aan keizer te doon,"
"  Vis-à-vis de soi-même en garder le mérite,","Waat 't zelf de merite van 't waert,"
"  Bref, dédaignant d'être le lierre parasite,","In kort, verwerpelik um de parasiete lierre te zijn,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Al waere we ne eik of ne tille,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Neet heel hoog, misschien, maar allein!"
LE BRET:,De sjrief:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Eén of allein, maar neet tegen allemaol."
  As-tu donc contracté la manie effroyable,Daor hebbe geer de gruusele mania?
"  De te faire toujours, partout, des ennemis ?","Dat je altied, overal, vijanden maak?"
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Door te zien hoe je vrienden maak,"
"  Et rire à ces amis dont vous avez des foules,","En lach op die vrunne die je in de menigte hebt,"
  D'une bouche empruntée au derrière des poules !,Mit 'n mond die achter de kippen is!
"  J'aime raréfier sur mes pas les saluts,","Ik hou van groete op mien voeten,"
  Et m'écrie avec joie: un ennemi de plus !,En roept mich met vreugheid: 'N Aander vijande!
LE BRET:,De sjrief:
  Quelle aberration !,Wat 'n aberratie!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Wel, ja, dat is mien vicie."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Ich höb 't leuk om te vloeje.
"  Mon cher, si tu savais comme l'on marche mieux","Lieve, as je wist hoe we beter lopen"
