Scène 2.VIII.,Likambo 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, bilenge oyo batɛlɛmaki na lobɔkɔ ya mobali mpe na lobɔkɔ ya mwasi"
et auxquels on sert à boire et à manger.,Mpe bazalaki kosalela bango biloko ya kolya mpe ya komɛla.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (akumisaki na mongongo ya nsɔni baoyo bazalaki kobima kozanga ete básala yango):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Bayengebene, bayengebene, mpe bato oyo balingaka Nzambe."
"LE BRET (désolé, redescendant, les bras au ciel):","L'OR (na mawa, na kokita, maboko na likoló):"
  Ah ! dans quels jolis draps.,Ah! na bilamba kitoko boni.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Oh ! yo ! okolela !
LE BRET:,MOKOLO YA MOBU:
"  Enfin, tu conviendras","Nsukansuka, okosepela"
"  Qu'assassiner toujours la chance passagère,",Na ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko ko
  Devient exagéré.,Ezali kolekisa ndelo.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ɛɛ, nazali kolekisa ndelo!"
LE BRET (triomphant):,MOKONZI:
  Ah !,Ah! Nazali na mawa!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Kasi mpo na likambo ya ebandeli, mpe ndakisa,"
  Je trouve qu'il est bon d'exagérer ainsi.,Namoni ete ezali malamu kokumisa yango koleka ndelo.
LE BRET:,MOKOLO YA MOBU:
"  Si tu laissais un peu ton âme mousquetaire,","Soki otiki mwa moke molimo na yo ya moyibi,"
  La fortune et la gloire. . .,Bomɛngo mpe lokumu . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,"Bongo, tosengeli kosala nini?"
"  Chercher un protecteur puissant, prendre un patron,","Koluka mobateli ya nguya, kozwa mokonzi,"
  Et comme un lierre obscur qui circonvient un tronc,Na molili lokola libanga oyo ezingi nzete
"  Et s'en fait un tuteur en lui léchant l'écorce,","Mpe akómaka mobateli na yango, mpe azali kosanza yango na mposo ya nyama."
  Grimper par ruse au lieu de s'élever par force ?,Kobuta na mayele na esika ya komata na makasi?
"  Non, merci. Dédier, comme tous il le font,","Te, matondi. Kokumisa, lokola bato nyonso basalaka,"
  Des vers aux financiers ? se changer en bouffon,Na ba verres na ba financiers?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Na elikya ya komona, na minoko ya ministre,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Kobota mwa kosɛka, na nsuka, oyo ezali mabe te?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Te, nabondeli yo."
  Avoir un ventre usé par la marche ? une peau,Kozala na libumu ya kopola na nzela ?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Nani akómaka mbindo nokinoki koleka mabɔlɔngɔ?
  Exécuter des tours de souplesse dorsale ?. . .,Kozala na likoki ya kosala mibembo ya kozonga nsima? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Te, nabondeli yo, na loboko moko, kokumisa ntaba na nkingo"
"  Cependant que, de l'autre, on arrose le chou,","Kasi, soki tozwi yango na nsima, tokotondisa yango na mai."
"  Et, donneur de séné par désir de rhubarbe,","Mpe oyo apesaka nzoto na ye na mposa ya nsuki ya nsuki,"
"  Avoir son encensoir, toujours, dans quelque barbe ?","Kozala na ndunda na ye ya malasi, ntango nyonso na monoko moko?"
"  Non, merci ! Se pousser de giron en giron,","Te, matondi! Kozala na bopusi ya kopumbwa,"
"  Devenir un petit grand homme dans un rond,","Kozala moto monene moke na katikati ya mbonge,"
"  Et naviguer, avec des madrigaux pour rames,","Mpe na masuwa, na mabongo ya masuwa,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Mpe na kati ya bilamba na ye, ba vieux basi bazali koimaima?"
"  Non, merci ! Chez le bon éditeur de Sercy",Na esika ya malamu ya Sercy
"  Faire éditer ses vers en payant ? Non, merci !",Kofuta mpo na kobongisa ba vers na ye?
  S'aller faire nommer pape par les conciles,Bakonzi ya mangomba bakotya bango na esika ya Pápa
  Que dans des cabarets tiennent des imbéciles ?,Bazoba babatelaka na ba cabarets ?
"  Non, merci ! Travailler à se construire un nom","Te, nabondeli yo, kosala makasi mpo na komisalela nkombo"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Na sonnet moko, na esika ya kosala mosusu?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Matondi, kasi kaka na ba mazette nde okoki koyeba talanta?"
"  Être terrorisé par de vagues gazettes,","Kozala na nsɔmɔ na bazulunalo ya lokuta,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Mpe ozali koloba ntango nyonso: ""Ah, soki nazali"
  Dans les petits papiers du Mercure François ?. . .,Na mikanda ya mike ya François Mercure? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Te, matondi! Kotánga, kobanga, kozala na mawa,"
"  Aimer mieux faire une visite qu'un poème,","Kolinga kokende kotala koleka kokoma poème,"
"  Rédiger des placets, se faire présenter ?","Kokoma ba plaquettes, kolakisa yo?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Te, matondi te, matondi te, matondi te, kasi... koyemba,"
"  Rêver, rire, passer, être seul, être libre,","Kolela, koseka, koleka, kozala yo moko, kozala na bonsomi,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Kozala na liso oyo ezali kotala malamu, mongongo oyo ezali kolɛnga,"
"  Mettre, quand il vous plaît, son feutre de travers,","Soki olingi, okoki kokitisa motema,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Mpo na ee, mpo na te, kobunda, to kosala ndɛkɛ!"
"  Travailler sans souci de gloire ou de fortune,",Kosala mosala kozanga koluka lokumu to bozwi
"  A tel voyage, auquel on pense, dans la lune !","Na mobembo motindo wana, oyo tokanisaka, na sanza!"
"  N'écrire jamais rien qui de soi ne sortît,","Komaka ata eloko moko te oyo ebimaka na motema na yo moko te,"
"  Et modeste d'ailleurs, se dire: mon petit,","Mpe na komikitisa nyonso, alobi na ye moko ete: ""Mwana na ngai,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ekoki kozala ete basepelaka na bafololo, mbuma, ata mpe nkasa,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Soki ozali kolɔkɔta yango na elanga na yo!
"  Puis, s'il advient d'un peu triompher, par hasard,","Na nsima, soki akolonga mwa moke,"
"  Ne pas être obligé d'en rien rendre à César,",Mpo na nini te kopesa Kaisala eloko?
"  Vis-à-vis de soi-même en garder le mérite,","Mpo na komibatela na lokumu,"
"  Bref, dédaignant d'être le lierre parasite,","Na mokuse, na kowangana kozala liboma oyo ebomaka bato,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Ata soki tozali te nzete ya mbila to ya nzete ya lima,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ekoki kozala ete okotɛlɛma te na likoló, kasi yo moko!"
LE BRET:,MOKOLO YA MOBU:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Soki ezali ye moko, kasi te na bato nyonso."
  As-tu donc contracté la manie effroyable,Bongo yo okomi na mania ya somo
"  De te faire toujours, partout, des ennemis ?",Kozala ntango nyonso na banguna na bisika nyonso?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Na komona yo ozwa baninga,"
"  Et rire à ces amis dont vous avez des foules,","Mpe kosɛka baninga oyo ozali na bango na ebele,"
  D'une bouche empruntée au derrière des poules !,Na monɔkɔ oyo ezwi yango na nsima ya nsoso!
"  J'aime raréfier sur mes pas les saluts,","Nazali kosepela na kopesa mbote na makolo na ngai,"
  Et m'écrie avec joie: un ennemi de plus !,"Mpe na esengo nyonso, obengaka ngai: ""Monguna mosusu!"""
LE BRET:,MOKOLO YA MOBU:
  Quelle aberration !,Oyo nde libunga!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Ɛɛ, ezali ezaleli na ngai."
