Scène 2.VIII.,2.VIII scena.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, jaunesni, kurie sėdėjo dešinėje ir kairėje"
et auxquels on sert à boire et à manger.,"Ir jiems tarnauja, geria ir valgo."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (išginkliai sveikino tuos, kurie išėjo be drąsos jį pasveikinti):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Poniai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai, ponai"
"LE BRET (désolé, redescendant, les bras au ciel):","PATAS (sūdingai, žemyn, rankomis į dangų):"
  Ah ! dans quels jolis draps.,Kaip gražiai uždaryti.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"O tu, tu grogsi!"
LE BRET:,- Gerai.
"  Enfin, tu conviendras","Galiausiai, tu patiks"
"  Qu'assassiner toujours la chance passagère,","Kad visada žudykime laikiną laimę,"
  Devient exagéré.,Tai jau per daug.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Taip, aš per daug peržengiau."
LE BRET (triomphant):,"""VINKINĖ"""
  Ah !,"- O, taip."
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Bet principui ir pavyzdžiui,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Man atrodo, kad taip per daug pasidaryti yra gerai."
LE BRET:,- Gerai.
"  Si tu laissais un peu ton âme mousquetaire,","Jei tu paliktum savo musketinę sielą,"
  La fortune et la gloire. . .,Turtas ir garbė.
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,O ką daryti?
"  Chercher un protecteur puissant, prendre un patron,","Ieškoti galingo apsaugos, paimti šeimininką,"
  Et comme un lierre obscur qui circonvient un tronc,"Kaip tamsią lizdą, apkręstančią krūvą"
"  Et s'en fait un tuteur en lui léchant l'écorce,","Jis pasidarė jos saugytoju, išliudydamas jos kailiuką,"
  Grimper par ruse au lieu de s'élever par force ?,"Išmanoma pakilti, o ne jėga?"
"  Non, merci. Dédier, comme tous il le font,","Ne, ačiū."
  Des vers aux financiers ? se changer en bouffon,"Iš vermių iki finansinių, o iš jų - iš šlapimo."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Žvilgsniu viltimi pamatyti, ministrų lūpomis,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Iš gimti šypseną, kuris nėra žiaurus?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Ne, ačiū."
  Avoir un ventre usé par la marche ? une peau,"- Kaip žolė, kaip vaikščiojimas?"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Kas greičiau už savo knieles tampa prasta?
  Exécuter des tours de souplesse dorsale ?. . .,Ar galima atlikti plečio lankstumo rotacijas?
"  Non, merci. D'une main flatter la chèvre au cou","Ne, ačiū, viena ranka gerbėk ožką kakle"
"  Cependant que, de l'autre, on arrose le chou,","Tačiau, jei kitam užpildyti kaulius,"
"  Et, donneur de séné par désir de rhubarbe,","Ir išmesti švelnus, norėdamas būti švelnus,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Ar visada turi savo kvepalą kažkokioje žolėje?
"  Non, merci ! Se pousser de giron en giron,","Ne, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū,"
"  Devenir un petit grand homme dans un rond,","Būti mažu vyruku per vieną ratą,"
"  Et naviguer, avec des madrigaux pour rames,","Ir plaukti, su reminių tinklaraštais,"
  Et dans ses voiles des soupirs de vieilles dames ?,O jo lazdose - senatvės gelsinėjimai?
"  Non, merci ! Chez le bon éditeur de Sercy","Ne, ačiū, pas tinkamą Sercy leidiką."
"  Faire éditer ses vers en payant ? Non, merci !","- Ar mokėti, kad jo žolės būtų išdabinamos?"
  S'aller faire nommer pape par les conciles,Pasirinkti popiežu
  Que dans des cabarets tiennent des imbéciles ?,Kad kabeliuose yra kvailių?
"  Non, merci ! Travailler à se construire un nom","Ne, ačiū, dirbdamas, kad taptum žinomu."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","- Vieną sonetą, o ne kitus?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Ar tik išmoksime talentą iš žolinių?
"  Être terrorisé par de vagues gazettes,","Būti išgąsdintas laikraščiuose,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ir nuolat sakydamas: ""O, jei aš būsiu"
  Dans les petits papiers du Mercure François ?. . .,"""Francisas Merkuro"" knygoje?"
"  Non, merci ! Calculer, avoir peur, être blême,","Ne, ačiū, skaičiuoti, bijoti, būti švelni,"
"  Aimer mieux faire une visite qu'un poème,","Geriau mėgstama apsilankyti nei eilėraštis,"
"  Rédiger des placets, se faire présenter ?","- Pasirašyti plakatus, pasistatyti?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ne, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū, ačiū,"
"  Rêver, rire, passer, être seul, être libre,","Sapnauti, juoktis, praleisti, būti vienišui, būti laisvam,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Turiu akis, kuri gerai matytų, balsą, kuris drambytų,"
"  Mettre, quand il vous plaît, son feutre de travers,","Įvesti, kai norite, savo jausmą į kreipštį,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Už tai, kad ""taip"" ar ""ne"", kovoti ar padaryti virą!"
"  Travailler sans souci de gloire ou de fortune,","Darbuokite ne dėl garbės ar turtų,"
"  A tel voyage, auquel on pense, dans la lune !","Tokiam kelionei į mėnulį, apie kurią galvojame!"
"  N'écrire jamais rien qui de soi ne sortît,","Niekada nerašyti nieko, kas neprieštarauja sau,"
"  Et modeste d'ailleurs, se dire: mon petit,","Ir išvis sklandžiai, sakydamas: ""Mano mažasis,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Arba gėlių, vaisių, net lapų,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"Jei tai tavo sode, tu juos išnyk!"
"  Puis, s'il advient d'un peu triompher, par hasard,","Jei jis netrukus laimės,"
"  Ne pas être obligé d'en rien rendre à César,","Ir aš negaliu būti įpareigotas mokėti keisrui,"
"  Vis-à-vis de soi-même en garder le mérite,","Savo atžvilgiu, išlaikyti savo vertę,"
"  Bref, dédaignant d'être le lierre parasite,","Taigi, nepažįstant būti parasitine lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Net jei mes ne olė ar šlapimas,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Gal ne aukštyn, bet vienas!"
LE BRET:,- Gerai.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Gali būti, kad jis vienas, bet ne prieš visus."
  As-tu donc contracté la manie effroyable,Ar tu susikūręs į siaubingą maniją?
"  De te faire toujours, partout, des ennemis ?","Visada, visur, daryti priešus?"
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Kai matote, kaip susitikinate,"
"  Et rire à ces amis dont vous avez des foules,","Ir juokitės iš tų draugų, kurių turi daugybę,"
  D'une bouche empruntée au derrière des poules !,Iš užkandytos galvijų burnos!
"  J'aime raréfier sur mes pas les saluts,","Aš mėgstu retai pasveikinti savo pėdomis,"
  Et m'écrie avec joie: un ennemi de plus !,Ir šauki man džiaugsmo: dar vienas priešas!
LE BRET:,- Gerai.
  Quelle aberration !,Koks aberragas!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Na, taip, tai mano piktnaudžiavimas."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Man patinka, kai žmonės manęs nekenčia."
"  Mon cher, si tu savais comme l'on marche mieux","Mano brangusis, jei žinotum, kaip geriau vaikščioti"
  Sous la pistolétade excitante des yeux !,"Įdomu, kad jis yra šaudomas!"
"  Comme, sur les pourpoints, font d'amusantes taches","Kaip, dėl nuorodais, daro linksmų taškų"
  Le fiel des envieux et la bave des lâches !,Žavų žvėris ir bailų žvėris!
"  --Vous, la molle amitié dont vous vous entourez,","- Tu, švelnus draugystė, kurią tu žiūri,"
"  Ressemble à ces grands cols d'Italie, ajourés","Panašiai kaip tie didieji Italijos kraštiniai, ištraukti"
"  Et flottants, dans lesquels votre cou s'effémine:","Ir plaukiojantiems, kuriuose jūsų kaklas išsigandamas:"
"  On y est plus à l'aise. . .et de moins haute mine,","Mes esame patogesni. ... ir mažesni,"
"  Car le front n'ayant pas de maintien ni de loi,","Nes švelniai neturi tvarkos ir įstatymo,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Jis atsisako visokių krypčių.
"  La Haine, chaque jour, me tuyaute et m'apprête",Neapykanta kiekvieną dieną mane išsigandina ir išsigandina
  La fraise dont l'empois force à lever la tête;,"Šaibių, kurių nuodėmė verčia pakelti galvą,"
  Chaque ennemi de plus est un nouveau godron,Kiekvienas kitas priešas yra naujas šlapimas.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Jis pridedė man gėdos ir darė man šviesą.
"  Car, pareille en tous points à la fraise espagnole,","Nes, kaip ir viskuo, kaip Ispanijos frazai,"
"  La Haine est un carcan, mais c'est une auréole !","Neapykanta yra šlapimas, bet tai yra aurelis!"
"LE BRET (après un silence, passant son bras sous le sien):","PAMUGAS (po tylos, praleidžiant savo ranką po savo):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Aukštus ir piktas didvyris, bet žemus"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Papasakok man, kad ji tavęs nemyli!"
CYRANO (vivement):,CYRANO (gyvenimas):
  Tais-toi !,- Užsičiaupk!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Prieš kurį laiką, Kristonas įėjo, įsitraukė į jaunus žmones; jie"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Jie nesikalbėjo su juo, jis galiausiai sėdėjo vienas"
