Scène 2.VIII.,Scène 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, d'Jünger, déi sech op der rietser an der lénkerer Säit gesat hunn"
et auxquels on sert à boire et à manger.,Si ginn opgehalen a giess.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (mat engem schéinem Aarde begréisst déi, déi aus dem Haus kommen ouni ze waarden):"
  Messieurs. . .Messieurs. . .Messieurs. . .,Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här a Här.
"LE BRET (désolé, redescendant, les bras au ciel):","D'BREET (Beleidegung, zréck, Arméi op den Himmel):"
  Ah ! dans quels jolis draps.,Wat eng schéin Lëscht!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, du, du géifs schrëmmen!"
LE BRET:,D'Bret:
"  Enfin, tu conviendras",Endlech kënnt Dir et maachen
"  Qu'assassiner toujours la chance passagère,","Dat ëmmer d'Verletzung vum passanten Glück,"
  Devient exagéré.,Et gëtt iwwerzeegt.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Jo, ech iwwerdreie!"
LE BRET (triomphant):,D'BREET (triomféierend):
  Ah !,Ah !
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Awer fir de Prinzip, an och fir d'Beispiller,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Ech fannen et gutt, esou ze iwwerzeegen."
LE BRET:,D'Bret:
"  Si tu laissais un peu ton âme mousquetaire,","Wann Dir e bësse vun Ärer Musket-Séil verlooss hätt,"
  La fortune et la gloire. . .,Reichtum a Ruhm. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Wat soll een dann maachen?
"  Chercher un protecteur puissant, prendre un patron,","Sich e mächtege Schutz, huelen e Patron,"
  Et comme un lierre obscur qui circonvient un tronc,"Wéi eng däischter Liicht, déi eng Träsch ëmbréngt"
"  Et s'en fait un tuteur en lui léchant l'écorce,","Si mécht sech e Betreier, deen hir Schädel liess,"
  Grimper par ruse au lieu de s'élever par force ?,Sich duerch Trick anstatt duerch Gewalt ze stierwen?
"  Non, merci. Dédier, comme tous il le font,","Nee, merci. D'Deditioun, wéi jiddereen et mécht,"
  Des vers aux financiers ? se changer en bouffon,Vun de Wärmer un d ' Finanzinstanz ?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","An der schändlecher Hoffnung ze gesinn, op de Lippen vun engem Minister,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","E Lächeln ze bréngen, well dat net schlecht ass?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","No, Merci, all Dag fréi mat engem Schrauch?"
  Avoir un ventre usé par la marche ? une peau,"E Bauch ze hunn, deen duerch d'Gewandlung verbraucht gëtt?"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Wien ass méi séier, wéi d'Knie, schmutzlech?"
  Exécuter des tours de souplesse dorsale ?. . .,Rüstungsplazen? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Nee, merci, mat enger Hand schmeichelen d'Gott um Hals"
"  Cependant que, de l'autre, on arrose le chou,","Awer wann mir d'Käppel vun der anerer wäschen,"
"  Et, donneur de séné par désir de rhubarbe,",An d'Sähn vun der Schéi vun der Schéi
"  Avoir son encensoir, toujours, dans quelque barbe ?",Hutt hien ëmmer säi Baksch an engem Bart?
"  Non, merci ! Se pousser de giron en giron,","Nee, merci!"
"  Devenir un petit grand homme dans un rond,","E grousse klenge Mann an enger Ronn ginn,"
"  Et naviguer, avec des madrigaux pour rames,","An d'Schiffe mat Schlaangen fir d'Ramen,"
  Et dans ses voiles des soupirs de vieilles dames ?,A wéi ass dat mat de Schlof vun de Fraen?
"  Non, merci ! Chez le bon éditeur de Sercy","Nee, Merci, bei de gudde Sercy Verlag."
"  Faire éditer ses vers en payant ? Non, merci !",- Huet hien seng Vermeeder ze redigéieren?
  S'aller faire nommer pape par les conciles,Si ginn vum Konzil zum Papp ernannt
  Que dans des cabarets tiennent des imbéciles ?,"Wat ass et, datt an enger Kabareen Idioten halen?"
"  Non, merci ! Travailler à se construire un nom","Nee, merci, ech schaffen op e Numm ze bauen."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Op engem Sonnet, anstatt aner ze maachen?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Dir kënnt Talent nëmmen an de Schlaangen entdecken?
"  Être terrorisé par de vagues gazettes,","Angeschreckt ze ginn duerch d'Wafen vun der Zeitung,"
"  Et se dire sans cesse: Oh, pourvu que je sois","An ëmmer soen: ""Oh, wann ech sinn"
  Dans les petits papiers du Mercure François ?. . .,An de klengen Artikelen vum Mercure François? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Nee, merci! Berechent, Angscht, Bléie,"
"  Aimer mieux faire une visite qu'un poème,","Méi gär e Besuch wéi e Gedicht,"
"  Rédiger des placets, se faire présenter ?","Schreift Plattformen, presentéiert sech?"
