Scène 2.VIII.,Tshiena-bualu 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, bana betu ba balume bavua basombele ku tshianza tshia balume ne tshia bakaji"
et auxquels on sert à boire et à manger.,ne badi badia ne banua.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (uvua upesha bantu bavua bafumina pambelu muoyo ne dîyi dia bushuwa):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Balua kua kunaya ne: ""Bakalua ku luseke lua ku Nord""."
"LE BRET (désolé, redescendant, les bras au ciel):",BANTU badi ne muoyo badi ne bua kuikala ne disanka bua mudibu ne muoyo muimpe.
  Ah ! dans quels jolis draps.,A! Mu bilamba bimpe bia mushindu eu.
CYRANO:,CYRANO: Ndi ne bua kuakula ne bantu bakuabu.
  Oh ! toi ! tu vas grogner !,"Wewe, udi mua kulamba!"
LE BRET:,BANTU badi ne bua kuikala ne disanka.
"  Enfin, tu conviendras","Ndekelu wa bionso, udi mua kuenza mudimu bimpe"
"  Qu'assassiner toujours la chance passagère,","Ne udi ushipa misangu yonso diakalenga dia matuku makese,"
  Devient exagéré.,Udi wenza malu a bungi.
CYRANO:,CYRANO: Ndi ne bua kuakula ne bantu bakuabu.
"  Hé bien oui, j'exagère !","Bushuwa, ndi ngenza malu a bungi."
LE BRET (triomphant):,MUANTU udi utshimuna:
  Ah !,Ah ! Mmuaba eu !
CYRANO:,CYRANO: Ndi ne bua kuakula ne bantu bakuabu.
"  Mais pour le principe, et pour l'exemple aussi,","Kadi bua mêyi manene ne bua tshilejilu,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ndi ngela meji ne: bidi bimpe bua kupita ku mutu mushindu eu.
LE BRET:,BANTU badi ne bua kuikala ne disanka.
"  Si tu laissais un peu ton âme mousquetaire,","Wewe mulekele nyuma webe wa tshikisu,"
  La fortune et la gloire. . .,Bupeta ne butumbi . . .
CYRANO:,CYRANO: Ndi ne bua kuakula ne bantu bakuabu.
  Et que faudrait-il faire ?,Kadi ntshinyi tshiudi mua kuenza?
"  Chercher un protecteur puissant, prendre un patron,","Bua kupeta muntu wa bukole wa kulama, bua kuangata mfumuende,"
  Et comme un lierre obscur qui circonvient un tronc,Bu mupuya wa mu mîdima udi ujika mu tshina tshia mutshi
"  Et s'en fait un tuteur en lui léchant l'écorce,",Udi wenza bua muntu amukuate ne udi umuma mu tshina tshia nyama.
  Grimper par ruse au lieu de s'élever par force ?,Kubanda ku bukole pamutu pa kubanda ku bukole anyi?
"  Non, merci. Dédier, comme tous il le font,","Tshiena ne bua kuenza to, kadi ndi ne bua kudifila anu bu bantu bakuabu."
  Des vers aux financiers ? se changer en bouffon,"Ku biuma ne ku bintu bia ku mubidi, ku dienza bu mponda"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Mu ditekemena dia kumona, ku mishiku ya muena mudimu,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Bua kuikala ne disanka, kadi kayi ne malu mabi?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Kuenza mudimu ne nyama wa nyama dituku dionso anyi?
  Avoir un ventre usé par la marche ? une peau,Kuikala ne difu didi diuma pa kutambuka anyi?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Nnganyi udi ulua muena bundu diakamue?
  Exécuter des tours de souplesse dorsale ?. . .,Kuenza mashinyi a ku luseke lua nyuma anyi? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Tshiena ne bua kuenza nanku to, kadi ndi ne bua kuenzela mbuji mudimu ne tshianza tshimue"
"  Cependant que, de l'autre, on arrose le chou,","Kadi, padi muntu mukuabu utangila, udi uteka kapia."
"  Et, donneur de séné par désir de rhubarbe,",Ne udi upesha bantu majinga a bungi bua kuikala ne nsuki ya bule.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Kuikala ne tshiamu tshia kapia tshia kapia mu tshiamu tshia muntu anyi?
"  Non, merci ! Se pousser de giron en giron,",Tshivua mua kuikala tshikole bua tuetu kuditatshisha bua kupeta diambuluisha dia mu nyuma.
"  Devenir un petit grand homme dans un rond,","Kuikala muntu munene mu tshikoso,"
"  Et naviguer, avec des madrigaux pour rames,","Ne balue ne mazuwa a mâyi a ku mazuwa a mâyi,"
  Et dans ses voiles des soupirs de vieilles dames ?,Ne mu bilamba biende mudi bikulakaje binena?
"  Non, merci ! Chez le bon éditeur de Sercy","Tshiena ne bua kuenza nanku to, ndi ne bua kuya kudi mupatula wa mikanda wa Sercy"
"  Faire éditer ses vers en payant ? Non, merci !",Bua kufuta makuta bua kufundamu mikanda?
  S'aller faire nommer pape par les conciles,Bua kujadikabu ne: mbamubikile mu mpuilu wa tshijila
  Que dans des cabarets tiennent des imbéciles ?,Ne: mu nzubu ya bantu badi ne bapote?
"  Non, merci ! Travailler à se construire un nom",Kuenza mudimu bua kudivuija muntu muimpe
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Ku tshikoso tshia tshikoso, pamutu pa kuenza tshikoso tshia tshikoso?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Ndi ne disanka bua mumvua muambe ne: anu mu miaba ya ku masanka ke mudi bantu bapeta dimanya dia bungi anyi?
"  Être terrorisé par de vagues gazettes,","Kuikala ne buôwa bua mikanda ya tshianana ya tshianana,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ne udi udiebeja misangu yonso ne: 'O, bu mundi"
  Dans les petits papiers du Mercure François ?. . .,Mu mikanda mikese ya mu mukanda wa François Mercure? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Tshiena ne bua kuenza nanku to, tuasakidila."
"  Aimer mieux faire une visite qu'un poème,",Ndi musue kutangila muntu kupita kuakula ne mufundi wa musambu.
"  Rédiger des placets, se faire présenter ?","Kufundila bantu mikanda ya ku dibala, kudisungula?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Tòo, tuasakidila, tuasakidila, kadi tuimba misambu."
"  Rêver, rire, passer, être seul, être libre,","Kuela tulu, kuseka, kupitshisha, kuikala nkayebe, kuikala ne budikadidi,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Bua kumona bimpe, bua kumvua bimpe, bua kumvua bimpe,"
"  Mettre, quand il vous plaît, son feutre de travers,",Udi mua kuimanyina pa malu adiye musue.
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Bua 'Eyowa' anyi 'Tòo' to, kuluangana anyi kuenza tshinyangu!"
"  Travailler sans souci de gloire ou de fortune,","Kuenza mudimu kakuyi dijinga dia kuikala ne butumbi anyi bubanji to,"
"  A tel voyage, auquel on pense, dans la lune !",Luendu lua mushindu eu ludi luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda luenda
"  N'écrire jamais rien qui de soi ne sortît,",Kufundila muntu nansha umue bualu budi kabuyi bufumina kudiye to.
"  Et modeste d'ailleurs, se dire: mon petit,","Kadi udi ne budipuekeshi, udi udiebeja ne: 'Muananyi,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Udi mua kuikala ne disanka bua maluba, bimuma, nansha mapa,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Wewe ubala bintu ebi mu budimi buebe!
"  Puis, s'il advient d'un peu triompher, par hasard,","Yeye yeye mupeteshe bukole bua bungi,"
"  Ne pas être obligé d'en rien rendre à César,","Nunku, kuena ne bua kufuta Kaisa tshintu nansha tshimue to."
