Scène 2.VIII.,Ekitundu 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, abavubuka, abaatuula ku ddyo ne ku kkono"
et auxquels on sert à boire et à manger.,era ne babayambako okulya n'okunywa.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (yakuba akamwenyumwenyu ng'awa omukisa abo abafuluma nga tebamubuuza):
  Messieurs. . .Messieurs. . .Messieurs. . .,Balangira...Balangira...Balangira...Balangira...
"LE BRET (désolé, redescendant, les bras au ciel):","OMUGANDA (mu nnaku, ng'abulako emikono gy'ali):"
  Ah ! dans quels jolis draps.,Nga bali mu bifo ebirungi!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, ggwe, oliruma!"
LE BRET:,OMUWALA:
"  Enfin, tu conviendras","Mu nkomerero, ojja kusobola"
"  Qu'assassiner toujours la chance passagère,","Okuba nti bulijjo okutta omukisa ogw'akaseera obuseera,"
  Devient exagéré.,Kino kivudde ku kuba nti waliwo ebintu bingi bye twetaaga okukola.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Yee, nnayita mu mbeera eyo!"
LE BRET (triomphant):,OMUWALA:
  Ah !,Oh! Bye bye!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Naye okusinziira ku musingi, era n'ekyokulabirako,"
  Je trouve qu'il est bon d'exagérer ainsi.,Njagala nnyo okukyusa endowooza yange.
LE BRET:,OMUWALA:
"  Si tu laissais un peu ton âme mousquetaire,","Singa waleka emmeeme yo ekutte omuzira,"
  La fortune et la gloire. . .,Obugagga n'ekitiibwa . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Kiki kye tusaanidde okukola?
"  Chercher un protecteur puissant, prendre un patron,","Okunoonya omukuumi ow'amaanyi, okutwala omukulembeze,"
  Et comme un lierre obscur qui circonvient un tronc,Era ng'ekizikiza ekikutte omuzira
"  Et s'en fait un tuteur en lui léchant l'écorce,",Era n'afuuka omukuumi we ng'amumalako envuumuulo.
  Grimper par ruse au lieu de s'élever par force ?,Okukwata omuzira mu kifo ky'okukuuka mu maanyi?
"  Non, merci. Dédier, comme tous il le font,","N'olwekyo, bwe tuba tubuulira, tusaanidde okukijjukira nti Yakuwa atuwa ekitiibwa."
  Des vers aux financiers ? se changer en bouffon,Okuva ku nsolo okutuuka ku ba ssentebe?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Mu kusuubira okw'obutaba na ssanyu okulaba, ku mimwa gy'omu minisita,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Okuzaala akamwenyumwenyu, era nga si k'akabi?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Okumala olunaku lumu ku ssaawa ez'ekiro, olina okulya ku ssenga?"
  Avoir un ventre usé par la marche ? une peau,Okuba n'omubiri ogukoleddwa olw'okutambula
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Ani asukka mu b'aba ng'afuuse omubi mu makubo?
  Exécuter des tours de souplesse dorsale ?. . .,Okuyingiza mu byuma ebikakasa ennyuma? . . .
"  Non, merci. D'une main flatter la chèvre au cou","N'omukono gumu gw'ojjudde, okusaasira mbuzi ku bulago"
"  Cependant que, de l'autre, on arrose le chou,","Kyokka, ku luuyi olulala, tuyiwa akavuyo,"
"  Et, donneur de séné par désir de rhubarbe,","Era n'oyo awa amaziga olw'okwegomba kwe,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Okuba n'ekibonyoobonyo kye mu bulumi bwonna?
"  Non, merci ! Se pousser de giron en giron,",Okukolagana obulungi n'abalala.
"  Devenir un petit grand homme dans un rond,","Okufuuka omusajja omuto omukulu mu kkubo,"
"  Et naviguer, avec des madrigaux pour rames,","Era ne batambulira mu mayengo ag'ebidduka,"
  Et dans ses voiles des soupirs de vieilles dames ?,Era mu bitooke bye mwalimu okubuubuuka kw'abakyala abakaddiye?
"  Non, merci ! Chez le bon éditeur de Sercy","Te, weebale, mu kiwandiiko kya Sercy ekituufu."
"  Faire éditer ses vers en payant ? Non, merci !",Okuba nti n'ebitabo bye by'owandiika bifulumya nga weebiriisa?
  S'aller faire nommer pape par les conciles,Okuyitibwa Paapa mu Bukiiko
