Scène 2.VIII.,2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, naupangte, ding lamah leh ding lamah an ṭhu"
et auxquels on sert à boire et à manger.,"Tin, ei leh in tûr an awm ṭhîn a."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (a rawn kal chhuakte chu a lo bûk a, a lo bûk a):"
  Messieurs. . .Messieurs. . .Messieurs. . .,Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu Pu
"LE BRET (désolé, redescendant, les bras au ciel):","HM (a lungngai, a chhuk leh a, a kut chu van lam a ni):"
  Ah ! dans quels jolis draps.,"A, a puan mawi tak tak tak chu."
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Aw, i va nuihzawk dawn em!"
LE BRET:,A hrisel:
"  Enfin, tu conviendras",A tawpnaah chuan i lo intihhlim ang
"  Qu'assassiner toujours la chance passagère,",Hlim taka lo awm reng chu a thatna a ni tih chu
  Devient exagéré.,A sawi lutuk.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","A ni, ka sawi lutuk!"
