Scène 2.VIII.,2.VIII skena.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, jaunākie, kas sēdēja uz kreisi un pa kreisi"
et auxquels on sert à boire et à manger.,Un viņiem tiek darīts ēdināšana un dzeršana.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (sveicinot ar smagiem slīpumiem tos, kas aizbraukuši, bet neiecinās):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunieši, jaunie"
"LE BRET (désolé, redescendant, les bras au ciel):","BREET (sorgs, lejup, ar roku uz debesīm):"
  Ah ! dans quels jolis draps.,- Kā tu esi?
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Vai tu gribi?
LE BRET:,KNAB:
"  Enfin, tu conviendras","Visbeidzot, tev ir jāpielāgo"
"  Qu'assassiner toujours la chance passagère,","Kas vienmēr aizmugurē brīnišķīgu laimi,"
  Devient exagéré.,Tas ir pārsteigums.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",Esmu pārsteigusi!
LE BRET (triomphant):,BREET (trīsmalā):
  Ah !,- Vai tu to domā?
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Bet principā, un arī piemēru dēļ,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Es domāju, ka ir labi, ja tā ir pārdomāta."
LE BRET:,KNAB:
"  Si tu laissais un peu ton âme mousquetaire,","Ja tu paliktu savu musketējošu dvēseli,"
  La fortune et la gloire. . .,Laiks un slava.
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Un ko darīt?
"  Chercher un protecteur puissant, prendre un patron,","Izmantot spēcīgu aizstāvju, ieņemt priekšnieka,"
  Et comme un lierre obscur qui circonvient un tronc,"Un kā tumša liera, kas apgrūž trombocītu"
"  Et s'en fait un tuteur en lui léchant l'écorce,","Un tad viņš to uzliek kā aizturētāju, un to krastu izsludina,"
  Grimper par ruse au lieu de s'élever par force ?,"Vai jūs to iecelsiet ar smadzeņu, nevis ar spēku?"
"  Non, merci. Dédier, comme tous il le font,","Ne, paldies."
  Des vers aux financiers ? se changer en bouffon,"No vermiem līdz finansiāriem, pārvērsties par bumbus."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Lai redzētu, ka, pēc ministra lūpu,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Lai radītu smaidu, kas nav grūts?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Ne, paldies."
  Avoir un ventre usé par la marche ? une peau,"Vai jūs esat tikpat apdzīvojies, ka jūs esat apdzīvojies?"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Kas drīzāk, nevis kolnas, kļūst nejauši?"
  Exécuter des tours de souplesse dorsale ?. . .,Vai es varu veikt spīduma apgriezienu?
