Scène 2.VIII.,दृश्य २.८.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","सिरानो, ले ब्रेट, किडनी, जे दहिना और बायाँ पर बइठ गेलई"
et auxquels on sert à boire et à manger.,जेकरा पर खइले-पीले के सेवा कइल जा हइ ।
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,साइरो (जो लोग बाहर निकसते हल ओकरा बिना सलाम करे के हिम्मत नयँ कर रहले हल):
  Messieurs. . .Messieurs. . .Messieurs. . .,"सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन लोग, सज्जन"
"LE BRET (désolé, redescendant, les bras au ciel):",""" (आवेसी, आउ हाथ में हाथ लेके)"
  Ah ! dans quels jolis draps.,"आह, कइसन सुंदर कपड़ा हइ !"
CYRANO:,साइरोनो:
  Oh ! toi ! tu vas grogner !,"अरे, तूँ ! तूँ बड़गो-बड़गो गलावे लगी जा रहलँऽ हँ !"
LE BRET:,"""ई केकरा बारे बात कर रहलथिन हँ ?"
"  Enfin, tu conviendras","आखिरकार, तूँ अपन काम के ठीक कर लेबऽ"
"  Qu'assassiner toujours la chance passagère,","कि हमेशा संक्षिप्त भाग्य के हत्या करे के,"
  Devient exagéré.,ई बहुत अधिक हो रहल हई।
CYRANO:,साइरोनो:
"  Hé bien oui, j'exagère !","आउ हाँ, हम बहुत जादे बोलऽ हिअइ !"
LE BRET (triomphant):,"""ई तो एगो गिलास हइ ."
  Ah !,"आह, हा हा!"
CYRANO:,साइरोनो:
"  Mais pour le principe, et pour l'exemple aussi,","लेकिन सिद्धांत के लिए, और उदाहरण के लिए भी,"
  Je trouve qu'il est bon d'exagérer ainsi.,हमरा लगऽ हइ कि अइसन अतिरंजित करनाइ अच्छा हइ ।
LE BRET:,"""ई केकरा बारे बात कर रहलथिन हँ ?"
"  Si tu laissais un peu ton âme mousquetaire,","अगर तूँ अपन आत्मा के एगो छोटगर मोसकिल से छोड़े देथुन,"
  La fortune et la gloire. . .,धन आउ महिमा . . .
CYRANO:,साइरोनो:
  Et que faudrait-il faire ?,आउ की करे के चाही ?
"  Chercher un protecteur puissant, prendre un patron,","एगो शक्तिशाली संरक्षक के खोज, एगो मालिक के खोज,"
  Et comme un lierre obscur qui circonvient un tronc,जइसे अँधेरा में एगो झाड़ी के छाँट के
"  Et s'en fait un tuteur en lui léchant l'écorce,","ओकरा में से एगो ओकरा परवाह करे वाला बनऽ हइ, ओकर छाला लसावे के ।"
  Grimper par ruse au lieu de s'élever par force ?,बल से चढ़े के बजाय चालाक रूप से चढ़े के?
"  Non, merci. Dédier, comme tous il le font,","नयँ, धन्यवाद, सब लोग के तरह, समर्पित होवे के चाही,"
  Des vers aux financiers ? se changer en bouffon,"कीड़ा से वित्तिय तक, बदनाम हो गेलइ"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","एगो मंत्री के मुँह से देखके, ऊ खाली आशा में,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","हँस के पैदा करे के, आखिरकार, जे बुरा नयँ हइ?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","- न, धन्यवाद, लेकिन, दरअसल, हम अपने के सामने एगो गड्ढा से भोजन कर सकऽ हिअइ, जे दिन-प्रतिदिन हमरा लगी उपयोगी होवऽ हइ ।"
  Avoir un ventre usé par la marche ? une peau,एगो पेट चलइत-चलइत सूख गेल हल ?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","कौन तेजी से, घुटन के स्थान पर, गंदा हो जाता है?"
  Exécuter des tours de souplesse dorsale ?. . .,पीठ के लचीलापन के टक्कर लगावे के? . . .
"  Non, merci. D'une main flatter la chèvre au cou","""नयँ, धन्यवाद, एक हाथ से बकरी के गले में मिलाके"
"  Cependant que, de l'autre, on arrose le chou,","लेकिन, दोसरा के से, हम काबूल के पानी दे हिअइ,"
"  Et, donneur de séné par désir de rhubarbe,",चाहे ऊ अपन कमजोरी के कारण अपन कमजोरी के कमजोरी के कम करऽ ।
"  Avoir son encensoir, toujours, dans quelque barbe ?",अपने के ईंधन के दाढ़ी में हमेशा ईंधन के चीज के रखल जाय ?
"  Non, merci ! Se pousser de giron en giron,","नयँ, धन्यवाद, एक-एक करके बढ़ते जा रहलथिन हँ,"
"  Devenir un petit grand homme dans un rond,","एक गोल में एगो छोट बड़ आदमी बन जा,"
"  Et naviguer, avec des madrigaux pour rames,",अउर रस्ते के नाई जहाज सवार होलन ।
  Et dans ses voiles des soupirs de vieilles dames ?,आउ ओकर साड़ी में बूढ़ी औरत के सोनिया हइ ?
"  Non, merci ! Chez le bon éditeur de Sercy","नयँ, धन्यवाद, सरसी के उचित संपादक के पास !"
"  Faire éditer ses vers en payant ? Non, merci !",अपने के ई काम के पैसा से सम्पादन करे के चाही ?
  S'aller faire nommer pape par les conciles,पप के नाम पर जाए के लेल परिषद
  Que dans des cabarets tiennent des imbéciles ?,कि कक्ष में बेवकूफ लोग के रखल जा हइ ?
"  Non, merci ! Travailler à se construire un nom","नयँ, धन्यवाद, अपन नाम बनवऽ हइ !"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","एक सोनवा पर, दोसर के बजाये?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"धन्यवाद, लेकिन हम खाली गली में प्रतिभा के खोज करबइ?"
"  Être terrorisé par de vagues gazettes,","अखबार के लहर से भयभीत होना,"
"  Et se dire sans cesse: Oh, pourvu que je sois","आउ अपन मन में सोचऽ हथिन, ""ओह, हम तो ..."
  Dans les petits papiers du Mercure François ?. . .,बुध फ्रांसिस के छोटे-छोटे कागजात में? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","ना, धन्यवाद! गणना, भय, उदासीनता,"
"  Aimer mieux faire une visite qu'un poème,","एगो कविता से जादे एगो यात्रा के प्यार करऽ हियो,"
"  Rédiger des placets, se faire présenter ?",अपन परिचय देवे के लेल?
