Scène 2.VIII.,സ്കെയിൻ 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","സിറാനോ, ലെ ബ്രെറ്റ്, വലത്തോട്ടും ഇടത്തോട്ടും ഇരിക്കുന്ന ചെറുപ്പക്കാർ"
et auxquels on sert à boire et à manger.,"അവര് ക്ക് ഭക്ഷണം, കുടിക്കൽ എന്നിവ നല് കുന്നു."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,സിറാനോ (അവനെ അഭിവാദ്യം ചെയ്യാൻ തുനിഞ്ഞില്ലാതെ പുറത്തു വരുന്നവരെ ചൊല്ലി അഭിവാദ്യം ചെയ്യുന്നു):
  Messieurs. . .Messieurs. . .Messieurs. . .,"മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യരേ, മാന്യര"
"LE BRET (désolé, redescendant, les bras au ciel):","ബ്രെറ്റ് (അപാകം, താഴേക്ക്, കൈകൾ ആകാശത്തേക്ക്):"
  Ah ! dans quels jolis draps.,എത്ര മനോഹരമായ തുണിത്തരങ്ങൾ.
CYRANO:,സിറാനോ:
  Oh ! toi ! tu vas grogner !,"ഓ, നീ, നീ മുറിക്കും!"
LE BRET:,- ഒരു കറുത്തവൾ.
"  Enfin, tu conviendras","ഒടുവിൽ, നീ സമ്മതിക്കും"
"  Qu'assassiner toujours la chance passagère,",എപ്പോഴും ഒരു ചെറിയ ഭാഗ്യം കൊലപ്പെടുത്തുന്നതിനെക്കുറിച്ച്.
  Devient exagéré.,അത് വളരെ വലുതായിരിക്കുന്നു.
CYRANO:,സിറാനോ:
"  Hé bien oui, j'exagère !","അതെ, ഞാൻ അതിശയത്തോടെയാണ് പറയുന്നത്."
LE BRET (triomphant):,വിജയിക്കുന്നവൻ:
  Ah !,അയ്യോ!
CYRANO:,സിറാനോ:
"  Mais pour le principe, et pour l'exemple aussi,","എന്നാൽ, പ്രിൻസിപ്പിലും ഉദാഹരണത്തിലും,"
  Je trouve qu'il est bon d'exagérer ainsi.,അത്തരത്തിൽ അതിശയപ്പെടുത്തുന്നത് നല്ലതാണെന്ന് തോന്നുന്നു.
LE BRET:,- ഒരു കറുത്തവൾ.
"  Si tu laissais un peu ton âme mousquetaire,","നിന്റെ ആത്മാവിനെ അല്പം കൂടി നീ വിട്ടുകൊടുക്കുകയാണെങ്കിൽ,"
  La fortune et la gloire. . .,സമ്പത്തും മഹത്വവും . . .
CYRANO:,സിറാനോ:
  Et que faudrait-il faire ?,പിന്നെ എന്തു ചെയ്യണം?
"  Chercher un protecteur puissant, prendre un patron,","ശക്തനായ ഒരു സംരക്ഷകനെ തേടുക, ഒരു ബോസിനെ എടുക്കുക,"
  Et comme un lierre obscur qui circonvient un tronc,ഒരു മുടി ചുറ്റും ഒരു ഇരുണ്ട ചുവപ്പ് പോലെ
"  Et s'en fait un tuteur en lui léchant l'écorce,",അവയുടെ ചർമ്മം ചീത്തയാക്കിക്കൊണ്ട് അവയെ സംരക്ഷിക്കുന്ന ഒരു കാവൽക്കാരനായിത്തീരുന്നു.
  Grimper par ruse au lieu de s'élever par force ?,ബലമായി കയറുന്നതിനു പകരം കൌശലത്തോടെ കയറണോ?
"  Non, merci. Dédier, comme tous il le font,","ഇല്ല, നന്ദി. എല്ലാവരും ചെയ്യുന്നതുപോലെ, സമർപ്പിക്കുക."
