Scène 2.VIII.,दृश्य २.८.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, तरुण, जे उजवीकडे आणि डावीकडे बसले"
et auxquels on sert à boire et à manger.,"आणि त्यांना खाऊ, पिऊ दिले जाते."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (जो कोणी बाहेर पडतो त्याला नमस्कार न करता, त्याला गोगोगनाराच्या आवाजात अभिवादन करतो):"
  Messieurs. . .Messieurs. . .Messieurs. . .,महोदय. . . महोदय. . . महोदय. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
"LE BRET (désolé, redescendant, les bras au ciel):","(दुःख, खाली, हात आकाशाकडे):"
  Ah ! dans quels jolis draps.,किती सुंदर कपडे.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"अरे, तू, तू गोंधळणार आहेस!"
LE BRET:,"""ब्रीट"""
"  Enfin, tu conviendras","अखेर, तुम्ही बरोबर आहात"
"  Qu'assassiner toujours la chance passagère,",नेहमीचा अपघात हाच एक क्षणिक प्रसंग आहे.
  Devient exagéré.,खूप जास्त होत आहे.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",मी जास्त बोलतो.
LE BRET (triomphant):,"""चांगली"" (विजय करणारा):"
  Ah !,अरे!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","पण तत्त्व आणि उदाहरण दोन्हीसाठी,"
  Je trouve qu'il est bon d'exagérer ainsi.,"मला वाटते की, अशा प्रकारे अतिशयोक्ती करणे चांगले आहे."
LE BRET:,"""ब्रीट"""
"  Si tu laissais un peu ton âme mousquetaire,","जर तू थोडासा आपला आत्मा गोंधळात टाकला असतास,"
  La fortune et la gloire. . .,धन आणि गौरव. . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,आणि काय करावे?
"  Chercher un protecteur puissant, prendre un patron,","एक शक्तिशाली संरक्षक शोधणे, एक बॉस निवडणे,"
  Et comme un lierre obscur qui circonvient un tronc,आणि एक गडद लहरीसारखी आहे जी एक झाडावर घसरते
