Scène 2.VIII.,Tampilan 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, anak-anak mudo, nan duduak di sabalah kida jo sabalah kida"
et auxquels on sert à boire et à manger.,"Inyo bi makan jo minun, sarato jo manyambah urang-urang nan lain."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (saluju jo sajuak nan bajalan indak barani mantahoknyo):
  Messieurs. . .Messieurs. . .Messieurs. . .,Tuan-tuan. Tuan-tuan. Tuan-tuan.
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (sedih, turun, basuo ka langik):"
  Ah ! dans quels jolis draps.,Ah! dalam kain nan rancak.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Oh! awak! awak ka manggango!
LE BRET:,LEBIH:
"  Enfin, tu conviendras","Akienyo, angkau ka manyatokan"
"  Qu'assassiner toujours la chance passagère,","Untuak mambunuah kasampatan nan samantaro,"
  Devient exagéré.,"Jadi, iko lah nan ka ditambahi."
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Nah, iyo, ambo mangarajokan nan labiah gadang!"
LE BRET (triomphant):,THE BRET (pangsulik):
  Ah !,Ah ! Awak !
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Tapi untuak prinsip, sarato untuak contoh juo,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ambo raso eloklah kalau dapek mangarajokan nan bakcando itu.
LE BRET:,LEBIH:
"  Si tu laissais un peu ton âme mousquetaire,","Jikok angkau lah lai mampunyoi jiwa nan bakcando itu,"
  La fortune et la gloire. . .,Kakiliah jo kayo. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Apo nan musti dikarajokan?
"  Chercher un protecteur puissant, prendre un patron,","mancari pangaruah nan kuwaik, mancari panguwaso nan elok,"
  Et comme un lierre obscur qui circonvient un tronc,Sarupo jo rambuik nan kalam nan ma-bungo batang
"  Et s'en fait un tuteur en lui léchant l'écorce,","Inyo ka manjadi urang nan manjago inyo, jo sacaro manurunkan bungo-bungonyo."
  Grimper par ruse au lieu de s'élever par force ?,"Manjatuah jo tipuak, bukan jo kakuatan?"
"  Non, merci. Dédier, comme tous il le font,","Indak, tarimo kasih."
  Des vers aux financiers ? se changer en bouffon,Dari cacing ka nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Dek karano, dek karano, inyo hanyo mamintak, supayo urang-urang nan lain dapek maliyek,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Untuak mambuek senyum, nan indak jahek?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Indak, tarimo kasih."
  Avoir un ventre usé par la marche ? une peau,Muloi jo paruik nan lah rusak dek jalan?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Nan labiah capek, di tampaik nan labiah buruak, adolah di tampaik nan labiah buruak?"
  Exécuter des tours de souplesse dorsale ?. . .,Membaiki pukua nan manyusuak punggung? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Indak, tarimo kasih. Jo tangan surang, manimpo kambang di ujuangnyo"
"  Cependant que, de l'autre, on arrose le chou,","Tapi, dari nan lain, inyo manyiramkan sabuik."
"  Et, donneur de séné par désir de rhubarbe,","Inyo bi ma ambiak-i mato, dek karano inyo nak manjalani rambuik."
"  Avoir son encensoir, toujours, dans quelque barbe ?",Baa kok dimalamnyo ado nan di dalam rambuik?
"  Non, merci ! Se pousser de giron en giron,","Indak, tarimo kasih."
"  Devenir un petit grand homme dans un rond,","Jadilah surang laki-laki ketek nan gadang dalam pusek,"
"  Et naviguer, avec des madrigaux pour rames,","Inyo bi mangarajokan karajo nan jahek, sarato jo karajo nan baiak."
  Et dans ses voiles des soupirs de vieilles dames ?,"Apo nan di dalam kainnyo, nan biaso-biaso ditanyoan dek padusi-padusi nan loman?"
"  Non, merci ! Chez le bon éditeur de Sercy","Indak, tarimo kasih. Di rumah penerbit Sercy nan elok."
"  Faire éditer ses vers en payant ? Non, merci !",Untuak manyunting kato-kato inyo jo mambayie?
  S'aller faire nommer pape par les conciles,Untuak Diangkek manjadi Paus
  Que dans des cabarets tiennent des imbéciles ?,Apo nan ka dilakuan dek urang-urang pandie di cabaret?
"  Non, merci ! Travailler à se construire un nom","Indak, tarimo kasih."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Di satu sonnet, daripado mambuek sonnet lain?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Makasi! Tapi, untuak manamuan bakat hanyo di dalam buwah?"
"  Être terrorisé par de vagues gazettes,","Di takuik dek koran nan balabiah,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Sanak-sanak bi bakato, ""Alah, jikok ambo lah samo-samo jo angku-angku,"
  Dans les petits papiers du Mercure François ?. . .,Di dalam kertas ketek Merkurius Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Indak, tarimo kasih!"
"  Aimer mieux faire une visite qu'un poème,","labiah suko bajalan daripado baco puisi,"
"  Rédiger des placets, se faire présenter ?","Membaek surek, manyatokan diri?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Indak, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih, tarimo kasih,"
"  Rêver, rire, passer, être seul, être libre,","Mimpi, tatawa, lewat, surang, bebas,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Muloi jo mato nan tarang, sarato jo suwaro nan tarang,"
"  Mettre, quand il vous plaît, son feutre de travers,","Jikok inyo suko, inyo dapek mambuek rasonyo indak elok,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Untuak kato baiak, untuak kato indak, basamo-samo basamo, -- atau mambuek kato buruak!"
"  Travailler sans souci de gloire ou de fortune,","Janlah inyo ma uruih diri untuak mandapekkan kamuliaan atau kayo,"
"  A tel voyage, auquel on pense, dans la lune !","Untuak bajalan nan bakcando itu, nan kito pikiekan, ka bulan!"
"  N'écrire jamais rien qui de soi ne sortît,","Janlah pernah mambuek apo sajo nan indak datang dari diri awak surang,"
"  Et modeste d'ailleurs, se dire: mon petit,","Tapi, nan ketek, inyo bakato, 'Anak,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Inyo dapek pulo makan bungo, buah, daun,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Jikok di taman awak awak awaklah nan mangambilnyo!
"  Puis, s'il advient d'un peu triompher, par hasard,","Tapi, jikok inyo dapek mancapai sasuatu nan sangaik tagantuang,"
"  Ne pas être obligé d'en rien rendre à César,","Dek karano itu, janlah ado lai alasan nan jahek untuak manuntuik upah Kaisar."
"  Vis-à-vis de soi-même en garder le mérite,","Untuak diri surang, mangaluwakan diri,"
"  Bref, dédaignant d'être le lierre parasite,","Sanak, indak tantu lai apo nan ka dikarajokan dek si Lira parasit,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Tapi, nan sabananyo, urang nan indak samo jo kayu baralek atau kayu palang,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Mungkin indak tinggi doh, tapi surang-surang!"
LE BRET:,LEBIH:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",Tapi indak samo jo kasadonyo urang doh!
  As-tu donc contracté la manie effroyable,"Jadi, apo nan ka angkau pabuwek, dek karano angkau mampunyoi maniyah nan sangaik manakuikkan?"
"  De te faire toujours, partout, des ennemis ?","Untuak mambuek awak salasai, dima-dima, manjadi musuah?"
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Dek mancaliak angkau manjadikan kawan,"
"  Et rire à ces amis dont vous avez des foules,","Sanak dapek manangguang ati,"
  D'une bouche empruntée au derrière des poules !,Nan babahonyo digunokan dek ayam!
"  J'aime raréfier sur mes pas les saluts,",Ambo suko manyampaikan salam jo tangan ambo surang-surang.
  Et m'écrie avec joie: un ennemi de plus !,"Inyo bi ma imbau ambo jo suwaro nan basukocito, ""Surang musuah nan lain!"""
LE BRET:,LEBIH:
  Quelle aberration !,Itu indak bana!
CYRANO:,CYRANO:
