Scène 2.VIII.,Сцена 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Сирано, Брет, младостите, кои седнаа на десната и левата страна"
et auxquels on sert à boire et à manger.,И им се служат за пиење и јадење.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,Сирано (со гоггански поздрав кој излегува без да се осмели да го поздрави):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари, Господари,"
"LE BRET (désolé, redescendant, les bras au ciel):","БРЕТ (пожале, слезе, раце во небото):"
  Ah ! dans quels jolis draps.,Во што се убави липици.
CYRANO:,Сирано:
  Oh ! toi ! tu vas grogner !,"О, ти, ќе се букаш!"
LE BRET:,-Зошто?
"  Enfin, tu conviendras",На крајот ќе бидеш во ред.
"  Qu'assassiner toujours la chance passagère,","Што секогаш убива минувачка среќа,"
  Devient exagéré.,Се претера.
CYRANO:,Сирано:
"  Hé bien oui, j'exagère !","-Да, јас сум премногу."
LE BRET (triomphant):,БРЕТ (победувач):
  Ah !,"- Да, тоа е добро."
CYRANO:,Сирано:
"  Mais pour le principe, et pour l'exemple aussi,","Но, за принципот, и за примерот,"
  Je trouve qu'il est bon d'exagérer ainsi.,Мислам дека е добро да се претера така.
LE BRET:,-Зошто?
"  Si tu laissais un peu ton âme mousquetaire,","Ако малку оставиш твојата мскитна душа,"
  La fortune et la gloire. . .,Богатство и слава. . . .
CYRANO:,Сирано:
  Et que faudrait-il faire ?,Што треба да се направи?
"  Chercher un protecteur puissant, prendre un patron,","Да се најде моќен заштитник, да се земе шеф,"
  Et comme un lierre obscur qui circonvient un tronc,Како темна лиреја која го опкружува коренот
"  Et s'en fait un tuteur en lui léchant l'écorce,","И ќе се направи негов патрош, со лезнување на кората,"
  Grimper par ruse au lieu de s'élever par force ?,Да се искачиме на лажна помош наместо да се искачиме со сила?
"  Non, merci. Dédier, comme tous il le font,","Да се посветам, како што сите го прават,"
  Des vers aux financiers ? se changer en bouffon,Од црви до финансисти?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Во срамна надеж да го видам, на устата на еден министер,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Да се роди насмевка, а која не е злосна?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не, не,"
  Avoir un ventre usé par la marche ? une peau,Да се соочиш со стомакот исцрпени од патувањето?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Кој најбрзо, наместо коленото, станува мръсен?"
  Exécuter des tours de souplesse dorsale ?. . .,Да се врти на спина флексибилност? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Не, благодарам."
