Scène 2.VIII.,Scena 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, il-knabniet, li setgħu fuq il-lemin u fuq ix-xellug"
et auxquels on sert à boire et à manger.,u li huma servuti biex jieklu u jieklu.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (li jsalva b'arja ta' qajza lil dawk li jmorru barra mingħajr ma jaraw lilu):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Għax, is-sieħeb... is-sieħeb... is-sieħeb..."
"LE BRET (désolé, redescendant, les bras au ciel):","L-BRET (sorry, jigred, l-armi fis-sema):"
  Ah ! dans quels jolis draps.,Kemm huma ħwejjeġ sabiħa.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,O! int! Int se tkun qtar!
LE BRET:,L-Ikel:
"  Enfin, tu conviendras","Fl-aħħar, int se tkun tajjeb"
"  Qu'assassiner toujours la chance passagère,","Li dejjem tiġbed il-ferħ li jgħaddi,"
  Devient exagéré.,Qed tkun eżaggerat.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Għax iva, jien qed inżagarraq!"
LE BRET (triomphant):,L-IRA (Trijumant):
  Ah !,Ah! Għax?
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Imma għall-prinċipju, u għall-eżempju ukoll,"
  Je trouve qu'il est bon d'exagérer ainsi.,Jien naħseb li huwa tajjeb li nżommha hekk.
LE BRET:,L-Ikel:
"  Si tu laissais un peu ton âme mousquetaire,","Jekk inti tħalli ftit tar-ruħ musketer tiegħek,"
  La fortune et la gloire. . .,L-għana u l-fama. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,U x'għandek tagħmel?
"  Chercher un protecteur puissant, prendre un patron,","Li tfittex protettur qawwi, li jieħu ħsieb,"
  Et comme un lierre obscur qui circonvient un tronc,U bħal ħġieġ skur li jdawwar il-ġisem
"  Et s'en fait un tuteur en lui léchant l'écorce,","U jagħmel lilu protettur billi jliexx il-ġilda tiegħu,"
  Grimper par ruse au lieu de s'élever par force ?,Tmur bil-ħila minflok ma tqajjem bil-forza?
"  Non, merci. Dédier, comme tous il le font,","L-għotja, kif jagħmlu l-oħrajn,"
  Des vers aux financiers ? se changer en bouffon,Minn ħnieżer għall-finanzi?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Fl-isperazzjoni fil-vili li naraw, fuq il-ħalq ta 'ministru,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Biex tinġabar irrid, għalkemm, li ma jkunx sinjuri?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Lunch, kuljum, minn ġibra?"
  Avoir un ventre usé par la marche ? une peau,Li l-ġilda tiegħek titħassra bil-mutur?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Min ikun aktar malajr, minflok ir-riġlejn, isir ħass?"
  Exécuter des tours de souplesse dorsale ?. . .,Jgħid li l-ġewwa tal-ġewwa għandha tkun flessibbli? . . .
"  Non, merci. D'une main flatter la chèvre au cou","B'idejn waħda, imlaħħaq il-bajd fuq ix-xellug"
"  Cependant que, de l'autre, on arrose le chou,","Madankollu, min-naħa l-oħra, aħna nwasslu l-kaġlu,"
"  Et, donneur de séné par désir de rhubarbe,","U li jġib il-ħalq minn x-xewqa ta' r-rabba,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Għandek il-fjużur tagħha dejjem f'xi ċappu?
"  Non, merci ! Se pousser de giron en giron,","Mhux, grazzi! Iktar u aktar,"
"  Devenir un petit grand homme dans un rond,","Li jsir bniedem kbir żgħir f'daqqa,"
"  Et naviguer, avec des madrigaux pour rames,","U jsegwu, b'madrigals għall-rames,"
  Et dans ses voiles des soupirs de vieilles dames ?,U fil-vejl tiegħu s-sugħ tal-anzjani?
"  Non, merci ! Chez le bon éditeur de Sercy","Le, grazzi, l-editur serċju tajjeb."
"  Faire éditer ses vers en payant ? Non, merci !",Biex tipmodifika l-vermi tiegħu billi tħallas?
  S'aller faire nommer pape par les conciles,Li Jkun Il-Papa F'Il-Konċilji
  Que dans des cabarets tiennent des imbéciles ?,Li f'kabbartti hemm irġiel imdawra?
"  Non, merci ! Travailler à se construire un nom","Le, grazzi! Nikiseb biex nibnu isem"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Fuq sonnet wieħed, minflok tagħmel oħrajn?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Grazzi, int tista' ssib il-ħila biss fil-ħwejjeġ?"
"  Être terrorisé par de vagues gazettes,","Li tkun imbeżża' minn ġurnali li jtajru,"
"  Et se dire sans cesse: Oh, pourvu que je sois","U dejjem tgħid li: Oh, jekk jien"
  Dans les petits papiers du Mercure François ?. . .,F'dan il-paper żgħir ta' Merkur Franġisku? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","L-iskopijiet ta' kalkolu, ta' bżonnija, ta' ħelu,"
"  Aimer mieux faire une visite qu'un poème,","Ikemm nitolbu biex inżommu l-istorja tagħna,"
"  Rédiger des placets, se faire présenter ?","Biex tagħmel plagi, biex issir taf?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Le, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, grazzi, gra"
"  Rêver, rire, passer, être seul, être libre,","Ħolma, qima, jgħaddi, tkun waħdek, tkun ħieles,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Għajnuna biex tħares sew, biex tikseb leħen li jbigħ,"
"  Mettre, quand il vous plaît, son feutre de travers,","Jekk jogħġbok, ħalli l-ħoss tiegħek ikun ħażin,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Għal iva, għal le, tilgħab, - jew tagħmel worm!"
"  Travailler sans souci de gloire ou de fortune,","Ħidma mingħajr tħassib dwar il-fama jew il-ġid,"
"  A tel voyage, auquel on pense, dans la lune !","Vjaġġ bħal dan, li wieħed jaħseb, lejn ix-xahar!"
"  N'écrire jamais rien qui de soi ne sortît,","Qatt tikteb xi ħaġa li ma tiġix minnek innifsek,"
"  Et modeste d'ailleurs, se dire: mon petit,","U modestament, jgħid lilek innifsek: ""Bniet tiegħi,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Jekk tkun sodisfatta bil-fjuri, il-frott, anke l-warġ,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Jekk inti tirċievi dawn fil-ġnien tiegħek!
"  Puis, s'il advient d'un peu triompher, par hasard,","Imbagħad, jekk ikun se jserra ftit, aċċidentalment,"
"  Ne pas être obligé d'en rien rendre à César,","U ma jkollokx għalfejn tagħti xi ħaġa lil Ċesari,"
"  Vis-à-vis de soi-même en garder le mérite,","Għall-kuntrarju ta 'inti stess iżżomm il-mertu tiegħu,"
"  Bref, dédaignant d'être le lierre parasite,","B'mod partikolari, li ma jħossux li hu l-lierre parasit,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Anki meta m'aħniex l-għerq tal-okk jew il-ġebel,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Ma tistax tmur ħafna, forsi, imma waħdu!"
LE BRET:,L-Ikel:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Waħda waħda, imma mhux kontra kulħadd."
  As-tu donc contracté la manie effroyable,Allura int qablet manija terribbli
"  De te faire toujours, partout, des ennemis ?",Li dejjem tagħmel ħatejkom kullimkien?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Għax narawkom tagħmlu ħbieb,"
"  Et rire à ces amis dont vous avez des foules,","U rriduhom lil dawn l-ħbieb li għandek nies,"
  D'une bouche empruntée au derrière des poules !,B'ħalq li jmur wara l-għasafar tal-għasafar!
"  J'aime raréfier sur mes pas les saluts,","Jien inħobb li r-realitajiet tiegħi jmorru biex nilqgħu,"
  Et m'écrie avec joie: un ennemi de plus !,U jgħajjat lili bil-ferħ: Għadu għadu ieħor!
LE BRET:,L-Ikel:
  Quelle aberration !,Kemm hu aberrat!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Allura, iva, dan huwa l-viċi tiegħi."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Jien nixtieq inħossni mnikket, u nħobb li nqatilni."
"  Mon cher, si tu savais comme l'on marche mieux","Għeżież, jekk taf kif wieħed jimxi aħjar"
  Sous la pistolétade excitante des yeux !,F'dan il-mument ta ' l-ispirtu!
"  Comme, sur les pourpoints, font d'amusantes taches","Kif, fuq il-punti, jagħmlu tat-tajji divertenti"
  Le fiel des envieux et la bave des lâches !,Il-ferru tal-gverji u l-ferru tal-għaliex!
"  --Vous, la molle amitié dont vous vous entourez,","-Int, il-ħbiberija ħelwa li inti madwarek,"
"  Ressemble à ces grands cols d'Italie, ajourés","Jidher dawn il-kolsi kbar tal-Italja, posponut"
"  Et flottants, dans lesquels votre cou s'effémine:","U fluss, li fih il-qalb tiegħek jitfgħu:"
"  On y est plus à l'aise. . .et de moins haute mine,","Aħna aktar komdu. . .U min inqas għoli,"
"  Car le front n'ayant pas de maintien ni de loi,","Għax il-pronta ma għandhax il-gverna u l-liġi,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Huwa jmorru biex jgħaqqdu lejn kull direzzjoni.
"  La Haine, chaque jour, me tuyaute et m'apprête",Kull jum l-mibegħda tbati u tbati
