Scène 2.VIII.,স্কেন ২.৮.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","সাইরানো, ব্রেত, কনিৎশিং, মখোয়না হক অমসুং মপান্দগী লেম্না লৈখি"
et auxquels on sert à boire et à manger.,মখোয়না মচি অমসুং মচিবা য়াবা য়াবা মচাকশিং ফংই।
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,সিরেনো (মহাক্না মীতৈগী মওংদা মীতৈগী মওংদা মীতৈগী মওংদা মীতৈগী মওংদা মীতৈগী মওংদা মীতৈগী মওংদা মীতৈগী মওংদা মীতৈগী মওংদা মীতৈগী মওংদা মীতৈগী মওংদা মীতৈগী মওংদা মীতৈগী মওংদা মীতৈগী মওংদা মীতৈগী মীতৈগী মওংদা মীতৈগী মীতৈগী মওংদা মীতৈগী মীতৈগী মৈগী মওংদা মীতৈগী মীতৈগী মৈগী মওংদা মীতৈগী মৈগী মৈগী মৈগী মৈগী মৈগী মৈগী মৈগী মৈগী মৈগী মৈগী মৈগী মৈগী মৈগী মৈগী মৈগী
  Messieurs. . .Messieurs. . .Messieurs. . .,"নুপাশিং, নুপাশিং, নুপাশিং, নুপাশিং"
"LE BRET (désolé, redescendant, les bras au ciel):","(অদুবু নুংঙাইবা, অমুক হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হন্না হ"
  Ah ! dans quels jolis draps.,ঐহাক্না হায়জরি মদুদি ঐহাক্না ঐহাকপু থাগৎপা পাম্মি।
CYRANO:,সাইরানো:
  Oh ! toi ! tu vas grogner !,ঐহাক্না অদোমবু থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না থোইদোক্না হায়জরি।
LE BRET:,মপুং ফাহল্লকপা:
"  Enfin, tu conviendras","অরোইবদা, অদোম্না য়ামগনি"
