Scène 2.VIII.,Bãngr-gomd a 2 soabã.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, kom-bɩɩsã sẽn zĩnd rɩtg la goabg"
et auxquels on sert à boire et à manger.,"La b rɩt-b lame, la b yũuda b yĩnga."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,A CYRANO (a sẽn pʋʋs neb nins sẽn yi n pa saag n pʋʋs-a wã ne sũ-sãangã)
  Messieurs. . .Messieurs. . .Messieurs. . .,"Zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-dãmb, zu-soab-d"
"LE BRET (désolé, redescendant, les bras au ciel):","BÃNGÃ (sẽn yaa sũ-sãang soaba, n lebgd n sigd n lebgd saasẽ):"
  Ah ! dans quels jolis draps.,A Zezi sẽn da wa n dɩtẽ wã yaa bõn-sõma.
CYRANO:,A CYRANO:
  Oh ! toi ! tu vas grogner !,A Zeova na n kɩtame tɩ f maan sũ-sãangã.
LE BRET:,A Zeezi sẽn yeelã:
"  Enfin, tu conviendras","La baasgo, y na n sakame"
"  Qu'assassiner toujours la chance passagère,","La b sẽn na n kʋ-a wã, yaa wakat bilf bala."
  Devient exagéré.,A sẽn yaa bũmb ningã pa noom-a ye.
CYRANO:,A CYRANO:
"  Hé bien oui, j'exagère !",Yaa sɩd tɩ m pa le tar bʋʋm ye.
LE BRET (triomphant):,BÃNGÃ (b sẽn tõogdã):
  Ah !,Aaaaah !
CYRANO:,A CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","La sẽn yaa bũmb ning sẽn wilgd tɩ d segd n tũ a Zeova noyã, la sẽn yaa mak-sõngo,"
  Je trouve qu'il est bon d'exagérer ainsi.,M tagsdame tɩ yaa sõma tɩ d maan yɩɩr woto.
LE BRET:,A Zeezi sẽn yeelã:
"  Si tu laissais un peu ton âme mousquetaire,","Yãmb sã n bas y sɩɩgã sẽn yaa wa b sẽn wilgã,"
  La fortune et la gloire. . .,La b na n paama arzɛk la ziiri . . .
CYRANO:,A CYRANO:
  Et que faudrait-il faire ?,La bõe la d segd n maane?
