Scène 2.VIII.,He whakaaturanga 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, nga tamariki, i noho ki matau, ki maui"
et auxquels on sert à boire et à manger.,"Ka whakahaua hoki ki a ratou, ka kai, ka inu."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (te oha ki te hunga e haere ana ki waho, kaore e maia ki te oha):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"E nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga rangatira, e nga"
"LE BRET (désolé, redescendant, les bras au ciel):","THE BRET (whakatuturuturu, heke iho, ringa ki te rangi):"
  Ah ! dans quels jolis draps.,"E, he ataahua nga papanga."
CYRANO:,CYRANO: E te hunga e hiahia ana ki te mahi i te mahi
  Oh ! toi ! tu vas grogner !,"E, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e, e,"
LE BRET:,Ko te Rōpū:
"  Enfin, tu conviendras","I te mutunga, ka pai koe"
"  Qu'assassiner toujours la chance passagère,","Kia whakaoti i te wa poto tonu,"
  Devient exagéré.,Kei te nui ake te kaha.
CYRANO:,CYRANO: E te hunga e hiahia ana ki te mahi i te mahi
"  Hé bien oui, j'exagère !","He pono, he nui rawa taku korero!"
LE BRET (triomphant):,Ko te Rōpū (te toa):
  Ah !,E te mea pai?
CYRANO:,CYRANO: E te hunga e hiahia ana ki te mahi i te mahi
"  Mais pour le principe, et pour l'exemple aussi,","Engari mo te kaupapa, mo te tauira hoki,"
  Je trouve qu'il est bon d'exagérer ainsi.,He pai ki ahau te nui ake i te mea e pā ana ki te mahi.
LE BRET:,Ko te Rōpū:
"  Si tu laissais un peu ton âme mousquetaire,","Ki te waiho e koe he iti iho o tou wairua,"
  La fortune et la gloire. . .,"He taonga, he kororia. . . ."
CYRANO:,CYRANO: E te hunga e hiahia ana ki te mahi i te mahi
  Et que faudrait-il faire ?,He aha te mahi?
"  Chercher un protecteur puissant, prendre un patron,","Kia rapu i tetahi kaitiaki kaha, kia tango i tetahi rangatira,"
  Et comme un lierre obscur qui circonvient un tronc,Ka rite ki te matomato o te matomato e karapoti ana i te rakau
"  Et s'en fait un tuteur en lui léchant l'écorce,","Na ka meinga ia hei kaitiaki, ka whati i tona kiri,"
  Grimper par ruse au lieu de s'élever par force ?,"He mea tinihanga te eke ki runga, kaua e kaha ki te eke?"
"  Non, merci. Dédier, comme tous il le font,","E kore, whakawhetai."
  Des vers aux financiers ? se changer en bouffon,Mai i te whara ki te pūtea?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","I te tumanako whakakake ki te kite, ki nga ngutu o tetahi minita,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Kia puta mai he ataata, ahakoa he aha te mea kaore i te kino?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","E kore e pai, whakawhetai."
  Avoir un ventre usé par la marche ? une peau,Kia whai i te kopu i te haere? he kiri
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Ko wai te tere ake, i te wahi o nga turi, ka poke?"
  Exécuter des tours de souplesse dorsale ?. . .,Te mahi i ngā mahi whakangahau i te tuara? . . .
"  Non, merci. D'une main flatter la chèvre au cou","E kore, whakawhetai."
"  Cependant que, de l'autre, on arrose le chou,","Heoi, ki te whakainu te kakau i te taha e rua,"
"  Et, donneur de séné par désir de rhubarbe,","Na, ko te mea e whakangahau ana i te ngutu, he mea e hiahia ana ki te whakangahau,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Kei te mau tonu i tana kohua whakakakara i roto i tetahi ngutu?
"  Non, merci ! Se pousser de giron en giron,","E kore, whakawhetai! Ka huri haere, ka huri haere,"
"  Devenir un petit grand homme dans un rond,","Ka riro he tangata nui iti i roto i te porowhita,"
"  Et naviguer, avec des madrigaux pour rames,","A ka rere, me nga kaipuke o nga kaipuke,"
  Et dans ses voiles des soupirs de vieilles dames ?,"A, i roto i ona paraihe, he mihi a nga wahine tawhito?"
"  Non, merci ! Chez le bon éditeur de Sercy","E kore, whakawhetai, ki te kaiwhakaputa pukapuka tika a Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",Ka utua e au nga korero mo te whakatika i a ia?
  S'aller faire nommer pape par les conciles,Te Whakapaipai i Te Papa i Te Kaunihera
  Que dans des cabarets tiennent des imbéciles ?,E mau ana i nga whare herehere nga kuri?
"  Non, merci ! Travailler à se construire un nom","E kore, whakawhetai!"
