Scène 2.VIII.,မြင်ကွင်း ၂-၈။
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, Right and Left ကလူငယ်တွေ"
et auxquels on sert à boire et à manger.,စားသောက်ဖို့၊ စားဖို့ လုပ်ပေးတယ်။
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (မဲပေးမပြောရဲဘဲ ထွက်သွားသူတွေကို အေးဆေးစွာ နှုတ်ဆက်နေသူ):
  Messieurs. . .Messieurs. . .Messieurs. . .,မစ္စတာ... မစ္စတာ... မစ္စတာ...
"LE BRET (désolé, redescendant, les bras au ciel):",BRET (ဆူညံသံ၊ လက်တွေ ကောင်းကင်ကိုဆင်း):
  Ah ! dans quels jolis draps.,အိုး၊ လှပတဲ့ အဝတ်အစားတွေပေါ့။
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,အိုမင်း၊ မင်းအော်နေမှာလေ။
LE BRET:,အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊
"  Enfin, tu conviendras",နောက်ဆုံးတော့ သင့်အတွက် အဆင်ပြေမှာပါ။
"  Qu'assassiner toujours la chance passagère,",အမြဲတမ်း ဖြတ်သန်းနေတဲ့ ကံကောင်းမှုကို သတ်ဖြတ်တာ
  Devient exagéré.,ဒါက အလွန်အကျွံဖြစ်နေတာပါ။
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",ဟုတ်တယ်၊ ကျွန်မက လွန်ကဲနေတာလေ။
LE BRET (triomphant):,အနိုင်ရသူက
  Ah !,အိုး၊ အိုး။
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,",ဒါပေမဲ့ အခြေခံသဘောနဲ့ နမူနာအတွက်လည်း
  Je trouve qu'il est bon d'exagérer ainsi.,ဒီလိုမျိုး အလွန်အကျွံလုပ်တာ ကောင်းတယ်လို့ ထင်တယ်။
LE BRET:,အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊
"  Si tu laissais un peu ton âme mousquetaire,",သင့်ရဲ့ နှလုံးသားကို နည်းနည်းလေး ချန်ထားလိုက်ရင်
  La fortune et la gloire. . .,ချမ်းသာမှုနဲ့ ဂုဏ်သတင်း . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,ဒီတော့ ဘာလုပ်ရမလဲ။
"  Chercher un protecteur puissant, prendre un patron,",ခိုင်မာတဲ့ ကာကွယ်သူကို ရှာဖို့၊ အကြီးအကဲကို ရှာဖို့၊
  Et comme un lierre obscur qui circonvient un tronc,အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်ရောင် အမှောင်
"  Et s'en fait un tuteur en lui léchant l'écorce,",သူ့အသားအရေကို လူးပြီး သူ့အတွက် စောင့်ရှောက်သူ ဖြစ်လာတယ်။
  Grimper par ruse au lieu de s'élever par force ?,အင်အားနဲ့ မတက်ဘဲ လှည့်စားပြီး တက်တာလား။
"  Non, merci. Dédier, comme tous il le font,",မကေ၊ ကျေးဇူးတင်ပါတယ်။ လူတိုင်းလိုပဲ ရည်စူးတာ
  Des vers aux financiers ? se changer en bouffon,မှိုကနေ ငွေကြေးရေးသမားတွေဆီက အမှိုက်တွေအဖြစ် ပြောင်းသွားတာ
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",ဝန်ကြီးတစ်ယောက်ရဲ့ နှုတ်ခမ်းနဲ့ မြင်ဖို့ မချင့်မရဲ မျှော်လင့်ချက်နဲ့
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",အင်း၊ အပြုံးတစ်ခု မွေးဖွားဖို့၊ ဒါက ဆိုးဝါးတဲ့ မဖြစ်ဘူးလေ။
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",နေ့စဉ် နေ့လည်စာမှာ ကြက်ဥစားလား။
  Avoir un ventre usé par la marche ? une peau,လမ်းလျှောက်ရင်း အစာအိမ်ကို စုပ်ယူရတယ်၊ အရေပြားကို
"  Qui plus vite, à l'endroit des genoux, devient sale ?",ဘယ်ဟာက ဒူးတွေအစား ပိုမြန်မြန် ညစ်ညမ်းလာတာလဲ။
