Scène 2.VIII.,Scène 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, de jongeren, die rechts en links zitten"
et auxquels on sert à boire et à manger.,En zij worden bediend om te eten en te drinken.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (met een goguinardse groet aan degenen die niet durven uit te gaan):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren, heren,"
"LE BRET (désolé, redescendant, les bras au ciel):","De BRET (gezocht, terug, armen naar de hemel):"
  Ah ! dans quels jolis draps.,Wat een mooie doek.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Je zult gillen.
LE BRET:,De KLEED:
"  Enfin, tu conviendras",Je zult het eindelijk goed vinden.
"  Qu'assassiner toujours la chance passagère,","Dat je altijd het voorlopige geluk vermoordt,"
  Devient exagéré.,Het wordt te overdreven.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",Ik ga er niet overheen.
LE BRET (triomphant):,De overwinnaar:
  Ah !,- Wat is dat ?
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Maar voor het principe, en voor het voorbeeld ook,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ik vind het goed om zo te overdrijven.
LE BRET:,De KLEED:
"  Si tu laissais un peu ton âme mousquetaire,","Als je een beetje je moskee-ziel zou laten,"
  La fortune et la gloire. . .,Rijkdom en roem. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Wat zou je moeten doen?
"  Chercher un protecteur puissant, prendre un patron,","Een sterke beschermer zoeken, een baas nemen,"
  Et comme un lierre obscur qui circonvient un tronc,En als een donkere lijn die een stam omringt
"  Et s'en fait un tuteur en lui léchant l'écorce,","En hij maakt zich een voogd, en liest zijn schaal,"
  Grimper par ruse au lieu de s'élever par force ?,Klimmen met een sluier in plaats van met geweld op te klimmen?
"  Non, merci. Dédier, comme tous il le font,","Nee, dank je, maar het is een aflevering, zoals iedereen doet."
  Des vers aux financiers ? se changer en bouffon,"Van wormen tot financiers, om in een klootzak te veranderen."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","In de vernederende hoop om te zien, op de lippen van een minister,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Een glimlach opwekken, die niet zware is?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","- Geen lunch, elke dag, met een kraai?"
  Avoir un ventre usé par la marche ? une peau,Een maag versleten door het lopen ?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Wie wordt het snelst vuil in de knieën?
  Exécuter des tours de souplesse dorsale ?. . .,De rug flexibiliteit? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Nee, dank je, maar met één hand, een geit in de nek."
"  Cependant que, de l'autre, on arrose le chou,","Maar als je de kool van de andere drinkt,"
"  Et, donneur de séné par désir de rhubarbe,","En die de nieren van de rhubarb uit begeerte geeft,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Zijn wierook altijd in een baard?
"  Non, merci ! Se pousser de giron en giron,","Nee, dank je, ik ga van een stukje naar het andere."
"  Devenir un petit grand homme dans un rond,","Een klein groot man worden in een rondje,"
"  Et naviguer, avec des madrigaux pour rames,","En zeilen met vaten voor de rems,"
  Et dans ses voiles des soupirs de vieilles dames ?,En in zijn vaal de gillen van oude dames ?
"  Non, merci ! Chez le bon éditeur de Sercy","Nee, dank je, bij de goede Sercy-editor."
"  Faire éditer ses vers en payant ? Non, merci !",Zullen ze haar wormen betalen?
  S'aller faire nommer pape par les conciles,Op de council om voor de paus te worden benoemd
  Que dans des cabarets tiennent des imbéciles ?,Dat er in cabarets idioten zitten?
"  Non, merci ! Travailler à se construire un nom",Ik werk aan het bouwen van een naam.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Op een sonnet, in plaats van op een ander?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"En dan, alleen in de krullen?"
"  Être terrorisé par de vagues gazettes,","Terreur worden door de kranten,"
"  Et se dire sans cesse: Oh, pourvu que je sois","En je blijft denken: ""Oh, als ik maar een"
  Dans les petits papiers du Mercure François ?. . .,In de kleine papieren van de Mercurius Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","- Ja, maar ik denk dat ik niet kan."
"  Aimer mieux faire une visite qu'un poème,",Liever een bezoek dan een gedicht.
"  Rédiger des placets, se faire présenter ?","- Een briefje schrijven, jezelf laten zien?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Nee, dank je, dank je, dank je, maar... zing,"
"  Rêver, rire, passer, être seul, être libre,","Dromen, lachen, voorbijgaan, alleen zijn, vrij zijn,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Een oog dat goed ziet, een stem die trilt,"
"  Mettre, quand il vous plaît, son feutre de travers,","Zet, wanneer je wilt, zijn gevoel van de verkeerde,"
