Scène 2.VIII.,Scenne 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, dei yngste, som sat til høgre og til venstre"
et auxquels on sert à boire et à manger.,og dei blir tenkt og drickt.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (helskar med eit goguinært lyft dei som går ut utan å våga å hilsa på han):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Herregud, herregud, herregud, herregud."
"LE BRET (désolé, redescendant, les bras au ciel):","Breit (sorg, nedover, armar til himmelen):"
  Ah ! dans quels jolis draps.,"Åh, dei er vakre."
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Åh, du, du skal knøre!"
LE BRET:,LENK:
"  Enfin, tu conviendras",No skal du vera i stand til å
"  Qu'assassiner toujours la chance passagère,",Og alltid å drepa ein forhåpentlig sjanse.
  Devient exagéré.,Det blir overdreven.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",Eg overdriver!
LE BRET (triomphant):,(SELV) Den seierherre:
  Ah !,Ah!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Men for prinsippet, og for dømet òg,"
  Je trouve qu'il est bon d'exagérer ainsi.,Eg trur det er rett å overdrive slik.
LE BRET:,LENK:
"  Si tu laissais un peu ton âme mousquetaire,","Om du berre la ei lita dusin av deg vera,"
  La fortune et la gloire. . .,Rikdom og ære. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Og kva skulle eg då gjera?
"  Chercher un protecteur puissant, prendre un patron,","Dei vil finna ein mektig protektør, ein leiar,"
  Et comme un lierre obscur qui circonvient un tronc,Som eit mørkt lys som omgir ei buske
"  Et s'en fait un tuteur en lui léchant l'écorce,","og han gjer seg til ein vogtar og slikkar skinnet av han,"
  Grimper par ruse au lieu de s'élever par force ?,Å stige på rulle i staden for å stige på kraft?
"  Non, merci. Dédier, comme tous il le font,","Nei, takk. Det er det same som alle andre som gjer det."
  Des vers aux financiers ? se changer en bouffon,"Frå å bli ein finansmann, til å bli ein fan"
