Scène 2.VIII.,Scenen 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Bret, de yngre, som satt seg til høyre og til venstre"
et auxquels on sert à boire et à manger.,og de blir tjent og spist.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (saluterer med en goguenær luft de som går ut uten å våge å hilse på ham):
  Messieurs. . .Messieurs. . .Messieurs. . .,Her er det en stor del av dette.
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (sori, nedover, armer til himmelen):"
  Ah ! dans quels jolis draps.,"Åh, i hvilke vakre gardiner."
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Åh, du, du skal knurre!"
LE BRET:,- Det er ikke så bra.
"  Enfin, tu conviendras","Til slutt, vil du være enig"
"  Qu'assassiner toujours la chance passagère,","At du alltid dreper forbigående lykke,"
  Devient exagéré.,Det blir overdrevet.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ja, jeg overdriver!"
LE BRET (triomphant):,BRET (tromsjende):
  Ah !,Åh!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Men for prinsippet, og for eksempel også,"
  Je trouve qu'il est bon d'exagérer ainsi.,Jeg synes det er bra å overdrive slik.
LE BRET:,- Det er ikke så bra.
"  Si tu laissais un peu ton âme mousquetaire,","Hvis du bare latt litt av din musketiske sjel,"
  La fortune et la gloire. . .,Rikdom og ære. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Og hva skulle vi gjøre?
"  Chercher un protecteur puissant, prendre un patron,","Å finne en mektig beskytter, ta en sjef,"
  Et comme un lierre obscur qui circonvient un tronc,Og som et mørkt lys som omgir en trøft
"  Et s'en fait un tuteur en lui léchant l'écorce,","Og han gjør seg til en beskytter, slik at han slikker skinnet."
  Grimper par ruse au lieu de s'élever par force ?,Å klatrer med løgn i stedet for å stige med makt?
"  Non, merci. Dédier, comme tous il le font,","Nei, takk. Å gi, som alle gjør,"
  Des vers aux financiers ? se changer en bouffon,"Fra gjermer til finansmenn, til å bli en idiot."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","I den beskjeden håpe å se, på en ministers lepper,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Å få et smil, som ikke er grusomt?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",- Må jeg spise frokost hver dag?
  Avoir un ventre usé par la marche ? une peau,Å ha en slitne mage på vei?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Hvem blir raskere, i stedet for knærne, skitne?"
  Exécuter des tours de souplesse dorsale ?. . .,Gjør du ryggfleksibilitet? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Nei, takk, men med en hånd smaker jeg boken i nakken."
"  Cependant que, de l'autre, on arrose le chou,","Men når man legger på den andre,"
"  Et, donneur de séné par désir de rhubarbe,","Og som gir sine barn bryst av lyst til å ha barber,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Å ha en brensel i et eller annet skjegg?
"  Non, merci ! Se pousser de giron en giron,","Å vokse seg om på en annen side,"
"  Devenir un petit grand homme dans un rond,","Å bli en liten stor mann i en runde,"
"  Et naviguer, avec des madrigaux pour rames,","Og de skal reise seg med rammens snør,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Og i seglene hans, de gamle damers sukker?"
"  Non, merci ! Chez le bon éditeur de Sercy","Nei, takk, til den rette sercy-redaktøren."
"  Faire éditer ses vers en payant ? Non, merci !",- Skal han få sine vers redigert for å betale?
  S'aller faire nommer pape par les conciles,Å bli utnevnt til pave av rådsmøter
  Que dans des cabarets tiennent des imbéciles ?,At det er idioter som sitter i kabaretter?
"  Non, merci ! Travailler à se construire un nom",Å jobbe med å bygge seg et navn
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","På en sonnet, i stedet for å lage andre?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Å bare finne talent på hodepinner?
"  Être terrorisé par de vagues gazettes,","Å bli skræmmet av bølgende aviser,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Og alltid tenker: ""Å, hvis jeg bare var"
  Dans les petits papiers du Mercure François ?. . .,I de små papirene fra Merkur Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Å regne, være redd, være blø."
"  Aimer mieux faire une visite qu'un poème,","Å elske å besøke bedre enn å lese et dikt,"
"  Rédiger des placets, se faire présenter ?","Å lage plakater, bli presentert?"
