Scène 2.VIII.,दृश्य २.८.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","सिरानो, ब्रेट, किशोरहरू, जो दायाँ र बायाँमा बसे"
et auxquels on sert à boire et à manger.,अनि तिनीहरूका निम्ति खानेकुरा र पेय पदार्थहरू दिइन्छ ।
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,साइरो (जो बाहिर निस्कन्छन् तर उनलाई नमस्कार गर्न हिम्मत गर्दैनन्)
  Messieurs. . .Messieurs. . .Messieurs. . .,सज्जनहरु सज्जनहरु सज्जनहरु सज्जनहरु
"LE BRET (désolé, redescendant, les bras au ciel):","BRET (आफूलाई, तल तल, हात स्वर्ग):"
  Ah ! dans quels jolis draps.,कति सुन्दर लुगामा !
CYRANO:,साइरोन:
  Oh ! toi ! tu vas grogner !,"तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी, तिमी,"
LE BRET:,म त एउटा मान्छे हुँ ।
"  Enfin, tu conviendras","अन्ततः, तिमी ठीक हुनेछौ"
"  Qu'assassiner toujours la chance passagère,","सधैँ क्षणिक भाग्यको हत्या गर्ने,"
  Devient exagéré.,यो अति नै हो ।
CYRANO:,साइरोन:
"  Hé bien oui, j'exagère !","हो, म धेरै कुरा गर्छु।"
LE BRET (triomphant):,"""विजेता"""
  Ah !,हो !
CYRANO:,साइरोन:
"  Mais pour le principe, et pour l'exemple aussi,","तर, सिद्धान्तको लागि, उदाहरणको लागि पनि,"
  Je trouve qu'il est bon d'exagérer ainsi.,"मलाई लाग्छ, यो अति नै राम्रो हो ।"
LE BRET:,म त एउटा मान्छे हुँ ।
"  Si tu laissais un peu ton âme mousquetaire,","यदि तिमीले आफ्नो आत्मालाई केही हदसम्म छोडिदिए भने,"
  La fortune et la gloire. . .,धन र महिमा . . .
CYRANO:,साइरोन:
  Et que faudrait-il faire ?,अनि के गर्नु पर्छ ?
"  Chercher un protecteur puissant, prendre un patron,","शक्तिशाली रक्षक खोज्नु, मालिक खोज्नु,"
  Et comme un lierre obscur qui circonvient un tronc,र एउटा गाँठोको वरिपरि अँध्यारो पात जस्तै
"  Et s'en fait un tuteur en lui léchant l'écorce,",अनि त्यो मानिसले त्यसको छालालाई लातले ढाक्दै त्यसको हेरचाह गर्छ ।
  Grimper par ruse au lieu de s'élever par force ?,बल प्रयोग गरेर चढ्नुको सट्टा चापले चढ्नु?
"  Non, merci. Dédier, comme tous il le font,","होइन, धन्यवाद, समर्पण, सबैले गर्ने जस्तै,"
  Des vers aux financiers ? se changer en bouffon,'सर्पदेखि वित्तीय संस्थासम्म '
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","एउटा मन्त्रीको मुखबाट हेर्ने आशामा,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","एउटा मुस्कान जन्माउन, आखिर, जो नराम्रो छैन?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","होइन, धन्यवाद, हरेक दिन एउटा बरुवाको खाना खान्छौ?"
  Avoir un ventre usé par la marche ? une peau,"एउटा पेट हिडेर पोखिएको हुनु, एउटा छाला"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",कुन व्यक्तिलाई छिटो घुँडाको स्थानमा फोहोर लाग्छ?
  Exécuter des tours de souplesse dorsale ?. . .,मदनको पछाडि घुमाउने रङ्गको प्रयोग गर्ने ? . . .
"  Non, merci. D'une main flatter la chèvre au cou",एउटा हातले गाईलाई घाँटीमा मिलाएर
"  Cependant que, de l'autre, on arrose le chou,","तर, अर्कोतिरबाट हामीले कफी पानी हाल्दा पनि"
"  Et, donneur de séné par désir de rhubarbe,",र रसुलको इच्छाले स्तनपान गराउने ।
"  Avoir son encensoir, toujours, dans quelque barbe ?",के उनीसँग आफ्नो दाँतमा ज्वालाको आगो छ?
"  Non, merci ! Se pousser de giron en giron,","होइन, धन्यवाद, एक-अर्कालाई झर्दै,"
"  Devenir un petit grand homme dans un rond,","एउटा सानो ठूलो मानिस बन्ने,"
"  Et naviguer, avec des madrigaux pour rames,","र डुङ्गामा डुङ्गाहरू चढ्ने,"
  Et dans ses voiles des soupirs de vieilles dames ?,अनि के उनको पर्खालमा पुराना महिलाहरूको सोर छ ?
"  Non, merci ! Chez le bon éditeur de Sercy","होइन, धन्यवाद, सरसीको सम्पादकको घरमा ।"
"  Faire éditer ses vers en payant ? Non, merci !",- पैसा तिर्ने गरी सम्पादन गर्ने?
  S'aller faire nommer pape par les conciles,पोपको नाममा जाने
  Que dans des cabarets tiennent des imbéciles ?,के केटीहरूले केटीहरूको कोठामा मूर्खहरू राख्छन्?
"  Non, merci ! Travailler à se construire un nom",आफ्नो नाम बनाउनको लागि काम गर।
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","एउटा सोनिटमा, अरू सोनिट बनाउनको लागि?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,के तिमी केवल गरुडमा प्रतिभा खोज्न सक्छौ?
"  Être terrorisé par de vagues gazettes,","अखबारको छापबाट डराउनु,"
"  Et se dire sans cesse: Oh, pourvu que je sois","अनि म आफैलाई निरन्तर भनिरहेछु, 'ओहो, म त"
  Dans les petits papiers du Mercure François ?. . .,मर्क्युर फ्रान्सिसको सानो कागजातमा? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","होइन, धन्यवाद, गणना, डर, रहर,"
"  Aimer mieux faire une visite qu'un poème,",कविता भन्दा पनि भ्रमण गर्नु राम्रो हुन्छ ।
"  Rédiger des placets, se faire présenter ?","के मैले केही लेख्ने, परिचय गराउने ?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","होइन, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद, धन्यवाद"
"  Rêver, rire, passer, être seul, être libre,","सपना देख्नु, हाँस्नु, पार गर्नु, एक्लै हुनु, स्वतन्त्र हुनु,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","आँखाले राम्रोसँग हेर्छ, आवाजले हल्लाउँछ,"
"  Mettre, quand il vous plaît, son feutre de travers,","जब तपाईं चाहनुहुन्छ, आफ्नो भावना गलत राख्न,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","एक हो लागि, एक छैन लागि, लड्न, - वा एक worm बनाउन!"
"  Travailler sans souci de gloire ou de fortune,",काम गर्ने व्यक्तिले आफ्नो कामको लागि कुनै पनि प्रकारको धन वा प्रतिष्ठाको खोजी गर्नु हुँदैन ।
"  A tel voyage, auquel on pense, dans la lune !","चन्द्रमामा यस्तो यात्रा, जुन हामी सोच्दछौं!"
"  N'écrire jamais rien qui de soi ne sortît,","कहिल्यै पनि लेख्नु हुँदैन जुन आफैबाट आउँदैन,"
"  Et modeste d'ailleurs, se dire: mon petit,","र, नम्रतापूर्वक, आफैलाई भन, 'मेरो बच्चा,"
