Scène 2.VIII.,Tiragalo ya bo-2 ya bo-8
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, bana ba banyenyane bao ba bego ba dutše ka go le letona le go le letshadi"
et auxquels on sert à boire et à manger.,"Ba tla ja, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa, ba nwa."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (o dumediša ka go hlaboša mantšu bao ba tšwago ka ntle ga ntlo ya gagwe):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Banna ba ba rategago, banna ba ba rategago, banna ba ba rategago, banna ba ba rategago, banna ba ba rategago, banna ba ba rategago, banna ba ba rategago, banna ba ba rategago, banna ba ba rategago, banna ba ba rategago, banna ba ba rategago, banna ba rategago, banna ba rategago, banna ba rategago, banna ba rategago, banna ba rategago, banna ba rategago, banna ba rategago, banna ba rategago, banna ba rategago, banna ba rategago, banna ba rategago, banna ba rategago, banna ba rategago, banna ba rategago, banna ba rategago, banna ba rategago, banna ba rategago, basadi ba rategago, basadi ba rategago, basadi ba rate go ba ratega, banna ba ratega, basadi ba rate go ba ratega, banna ba rate go ba ratega, ba rate go ba ratega, ba"
"LE BRET (désolé, redescendant, les bras au ciel):","MORWETŠI (o nyamišitšwe, o theogela fase, a emišitše matsogo):"
  Ah ! dans quels jolis draps.,A go na le diaparo tše dibotse kudu.
CYRANO:,CYRANO: Ke nyaka go tseba gore o ka dira eng.
  Oh ! toi ! tu vas grogner !,O tla lla!
LE BRET:,MORWETŠI:
"  Enfin, tu conviendras",Mafelelong o tla dumelelana le seo
"  Qu'assassiner toujours la chance passagère,","Go bolaya mahlatse a nakwana,"
  Devient exagéré.,Go feteletša dilo.
CYRANO:,CYRANO: Ke nyaka go tseba gore o ka dira eng.
"  Hé bien oui, j'exagère !","Ke a tseba, ke a tseba."
LE BRET (triomphant):,MORWETŠI (yo a fentšego):
  Ah !,Go lokile.
CYRANO:,CYRANO: Ke nyaka go tseba gore o ka dira eng.
"  Mais pour le principe, et pour l'exemple aussi,","Eupša go ya ka molao wa motheo, le mohlala,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ke nagana gore go feteletša dilo ka tsela ye go lokile.
LE BRET:,MORWETŠI:
"  Si tu laissais un peu ton âme mousquetaire,","Ge nkabe o tlogetše moya wa gago o sa bonagale,"
  La fortune et la gloire. . .,Lehumo le Letago . . .
CYRANO:,CYRANO: Ke nyaka go tseba gore o ka dira eng.
  Et que faudrait-il faire ?,Ke'ng seo se swanetšego go dirwa?
"  Chercher un protecteur puissant, prendre un patron,","Go tsoma mošireletši yo matla, go tšea mong wa ntlo,"
  Et comme un lierre obscur qui circonvient un tronc,Le bjalo ka lešela le le fifilego leo le dikologilego mohlare
"  Et s'en fait un tuteur en lui léchant l'écorce,","O tla e dira mohlokomedi wa yona, a e latswa ka legogwa."
  Grimper par ruse au lieu de s'élever par force ?,Go namela ka bofora go e na le go namela ka matla?
"  Non, merci. Dédier, comme tous il le font,","Go neela, bjalo ka ge batho ba bangwe ba dira,"
  Des vers aux financiers ? se changer en bouffon,Go tšwa go diboko go ya go ba ditšhelete?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Ke be ke holofetše go bona, ka molomo wa modiredi,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Go ba le pososelo e botse, e sego e mpe?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Na o ka ja dijo tša matena letšatši le lengwe le le lengwe?
  Avoir un ventre usé par la marche ? une peau,Go ba le mpa e senyegilego ge o sepela?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Ke mang yo a tlogago a tšhilafala ka pela go feta mangwana?
  Exécuter des tours de souplesse dorsale ?. . .,Go dira dipapadi tša go fetofetoga le maemo? . . .
"  Non, merci. D'une main flatter la chèvre au cou",Go swara pudi ka seatla se tee
"  Cependant que, de l'autre, on arrose le chou,","Eupša ge e ba re ka nošetša khaba ka go e nngwe,"
"  Et, donneur de séné par désir de rhubarbe,",Le gona o tla ba nea mabele ka go rata go ba le meriri.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Na o dula o na le setlolo sa gagwe sa mollo ka gare ga ditedu tša gagwe?
"  Non, merci ! Se pousser de giron en giron,","Go gola ka go latelana,"
"  Devenir un petit grand homme dans un rond,","Go ba monna yo mogolo ka lebelo,"
"  Et naviguer, avec des madrigaux pour rames,","Le go sepela ka dikepe tša go rutha,"
  Et dans ses voiles des soupirs de vieilles dames ?,Le gona ka gare ga difofa tša gagwe go na le go fegelwa ga basadi ba bagolo?
"  Non, merci ! Chez le bon éditeur de Sercy","Aowa, ke a leboga, ke ya go mongwadi wa Sercy yo a swanetšego."
"  Faire éditer ses vers en payant ? Non, merci !",Na o ka lefa ka go dira gore batho ba bangwe ba fetole dingwalo tša gagwe?
  S'aller faire nommer pape par les conciles,Go Ikgethela Mopapa ka Dikhansele
  Que dans des cabarets tiennent des imbéciles ?,"Go ba gona, ke ka baka la'ng go na le difoa ka diphapošing tša bodulo?"
"  Non, merci ! Travailler à se construire un nom",Go šoma go itirela leina
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Na o ka dira gore go be le morethetho o tee go e na le go o dira ka go o mongwe?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Ke ka baka la'ng o ka hwetša talente ka go fo hwetša dilo tše di kgahlišago ka go di hwetša ka go di hwetša ka go di hwetša ka go di hwetša?
"  Être terrorisé par de vagues gazettes,","Go tšhošwa ke dipampiri tša ditaba,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ke be ke dula ke ipotša gore: 'Ge nkabe ke le yo mongwe wa bona,"
  Dans les petits papiers du Mercure François ?. . .,Dipampiring tše dinyenyane tša Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Go dira dipalo, go boifa, go ba le maikwelo a go se sa thaba,"
"  Aimer mieux faire une visite qu'un poème,","Go rata go etela go feta go rata go bala sereto,"
"  Rédiger des placets, se faire présenter ?","Go ngwala dipampiri, go itšweletša?"
