Scène 2.VIII.,Ɛn gua̱a̱th in rɛwdɛ kɛnɛ wäl wi̱cdɛ bäkɛl.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, tin tɔatni, tin ci rɔ̱ la̱th kui̱c cuëëc kɛnɛ caam"
et auxquels on sert à boire et à manger.,Kä kɛ ɣöö bikɛ mi̱th kɛnɛ maath.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (cɛ nɛy tin wä raar kuëŋkɛ kɛ tɛ̈th lɔaac mi di̱i̱t kɛ ɣöö bikɛ jɛ kuëŋ):
  Messieurs. . .Messieurs. . .Messieurs. . .,Ja̱a̱kni̱... Ja̱a̱kni̱... Ja̱a̱kni̱...
"LE BRET (désolé, redescendant, les bras au ciel):","Kä cu Jɛykɔp kɛ jiök, ""A jɛ jɛ moc cuɔ̱ŋ, kä cuɛ jɛ ka̱m jɛ cuɔ̱ŋ""."
  Ah ! dans quels jolis draps.,A! Kä ɛ gua̱a̱th mi gɔaa mi̱di̱t.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"A cäŋɛ ji̱n, bi ji̱n ŋɛ̈r!"
LE BRET:,"Kä cu ji̱ kɔaar Yecu kɛ jiök,"
"  Enfin, tu conviendras","Kɛ jɔakdɛ, bi jɛ nhɔk"
"  Qu'assassiner toujours la chance passagère,",Kä cuɛ jɛ la̱t ni ɣöö bɛ nɛy diaal moc riɛk.
  Devient exagéré.,Jɛn bɛ cuuc ɛlɔ̱ŋ.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Ɣɔ̱ɔ̱n, ɛpuc, ɣän la̱tdä ni̱ ti̱ti̱ ɛlɔ̱ŋ!"
LE BRET (triomphant):,KƐ RƐM (Mɔɔ ci rɔɔdɛ yi̱k):
  Ah !,Aaa!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Kä kɛ kui̱ ŋuɔ̱tni, kɛnɛ kɛ kui̱ cäätdä bä,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ɣän cä jɛ car ɛn ɣöö gɔaaɛ ɛn ɣöö ba jɛ la̱t ɛlɔ̱ŋ.
LE BRET:,"Kä cu ji̱ kɔaar Yecu kɛ jiök,"
"  Si tu laissais un peu ton âme mousquetaire,","Kä mi ci yiëëdu jakä tɛth,"
  La fortune et la gloire. . .,Riäŋ kɛnɛ liak . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Kä ɛŋu mi bi la̱t?
"  Chercher un protecteur puissant, prendre un patron,","Kɛ ɣöö dëë ram mi bum jek, kä dëë ram mi di̱i̱t jek,"
  Et comme un lierre obscur qui circonvient un tronc,Kä ce̱tkɛ mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th mi̱th.
"  Et s'en fait un tuteur en lui léchant l'écorce,","Kä cuɛ jɛ jakä ram mi bi jɛ yiath, kä bɛ jɛ ka̱m raar."
  Grimper par ruse au lieu de s'élever par force ?,Mi̱ ci̱ rɔ̱ jiɛc kɛ ɣöö bi̱i̱ rɔ̱ jiɛc kɛ buɔ̱m?
"  Non, merci. Dédier, comme tous il le font,","/Ciɛ mi gɔaa, la̱tdɛ ni̱ ciaaŋ, ce̱tkɛ nɛy diaal tin la̱tkɛ jɛ,"
  Des vers aux financiers ? se changer en bouffon,"Kä cu kɛn ɛ la̱t kɛ yio̱w, kä cu kɛn ɛ la̱t kɛ ɣöö bikɛ rɔ̱ jakä ji̱ tɛ̈r"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Kɛ ŋa̱th mi kuiy mi bi nɛn, kɛ thok min la kuäär,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Mi̱ ci̱ naath ɛ la̱r tɛ̈th lɔaac, ɛ nɛy tin /ci̱kɛ ji̱ rik?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",/Ci̱ɛ mi̱eth mi̱eth kɛ mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱th.
  Avoir un ventre usé par la marche ? une peau,Mi ci̱ puɔ̱nydɛ cu jiath kɛ wä?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Kä ɛŋa mi wä li̱w ni jɛn ni̱n ni̱n, kä ɛ gua̱a̱th ci̱i̱kni?"
  Exécuter des tours de souplesse dorsale ?. . .,Lätni̱ kä ɣöö bi̱ kɛn rɔ̱ luäk kɛ ɣöö bi̱ kɛn rɔ̱ luäk kɛ ɣöö /ci̱kɛ rɔ̱ bi̱ luäk kɛ ɣöö bi̱ kɛn rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö /ci̱kɛ bi̱kɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱k kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱ luäk kɛ ɣöö bikɛ rɔ̱k kɛ ɣöö bikɛ rɔ
"  Non, merci. D'une main flatter la chèvre au cou","/Ciɛ mɔ, tɛth lɔcdä kɛ tet kɛl, kä tɛth lɔcdä kɛ ri̱w"
"  Cependant que, de l'autre, on arrose le chou,","Kä mi wä raan kɛ kui̱ kɔaŋ, bɛ jɛ ka̱m ji̱ jua̱thni."
"  Et, donneur de séné par désir de rhubarbe,",Kä cuɛ jɛ moc kɛ mua̱a̱l kɛ ɣöö bɛ jɛ go̱r.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Kä mi tekɛ kɛ mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱eth mi̱th.
"  Non, merci ! Se pousser de giron en giron,","/Ci̱ɛ mɔ, tɛth lɔcdä."
"  Devenir un petit grand homme dans un rond,","Kɛ ɣöö bi ram mi di̱i̱t mi tɔt rɔ̱ jakä ram mi di̱i̱t rɛy buɔ̱ɔ̱n,"
"  Et naviguer, avec des madrigaux pour rames,","Kä cukɛ wä rɛy bar kɛ ji̱ ri̱i̱ŋni,"
  Et dans ses voiles des soupirs de vieilles dames ?,Kä te kɛ mi̱th ti̱e̱e̱e̱e̱e̱ ti̱e̱e̱e̱e̱e̱ ti̱e̱e̱e̱e̱e̱ ti̱e̱e̱e̱e̱e̱ ti̱e̱e̱e̱e̱e̱ ti̱e̱e̱e̱e̱?
"  Non, merci ! Chez le bon éditeur de Sercy","/Ci̱ɛ mɔ, tɛth lɔcdä."
"  Faire éditer ses vers en payant ? Non, merci !",Kä bi̱di̱ kɛ la̱t kɛ ɣöö ba kɛ gɔ̱r kɛ yio̱w?
  S'aller faire nommer pape par les conciles,Kɛ ɣöö ba rɔ wä la̱t ɛ ji̱ I-thɛ-rɛl kɛ ɣöö ba rɔ kuany ɛ ji̱ I-thɛ-rɛl
  Que dans des cabarets tiennent des imbéciles ?,Kä ɛn ɣöö te nɛy ti̱ läätkɛ kɛ gua̱a̱th mi̱ di̱i̱t rɛy duëël?
"  Non, merci ! Travailler à se construire un nom","/Ci̱ɛ mɔ, tɛth lɔcdä!"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Kɛ gua̱a̱th mi̱ dɔ̱ŋ, kä /ci̱ɛ gua̱a̱th mi̱ dɔ̱ŋ?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Ɣän la̱rä jɛ yɛ, mi̱ ci̱i̱ kɛ ŋa̱c ɛn ɣöö tekɛ ti̱ ŋuan ti̱ gɔw kä nɛy tin te rɛy wec."
"  Être terrorisé par de vagues gazettes,","Kɛ ɣöö bi naath dual kɛ thukni tin ŋuan,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Kä cuɛ wee i̱, 'Ɣän bä jɛ la̱t,"
  Dans les petits papiers du Mercure François ?. . .,Kä rɛy warɛgakni̱ ti̱ tɔatni̱ kä Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","/Ciɛ mi gɔaa, la̱tdɛ ni̱ ti̱ ŋuan, dual, kɛ ɣöö bia̱a̱r,"
"  Aimer mieux faire une visite qu'un poème,","Kä nhɔakɛ ɣöö bikɛ wä kä mi̱eth mi̱ di̱i̱t ni jɛn kä ŋär,"
"  Rédiger des placets, se faire présenter ?","Lätkɛ ti̱ti̱, la̱tkɛ rɔ̱ nyuuthni̱?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","/Cä jɛ bi la̱t, /ciɛ jɛn, tɛth lɔcdä, /ciɛ jɛn, tɛth lɔcdä, /ciɛ jɛn, tɛth lɔcdä, /ciɛ jɛn, tɛth lɔcdä, /ciɛ jɛn, tɛth lɔcdä, /ciɛ jɛn, tɛth lɔcdä, /ciɛ jɛn, tɛth lɔcdä, /ciɛ jɛn, tɛth lɔcdä, /ciɛ jɛn, tɛth lɔcdä, /ciɛ jɛn, tɛth lɔcdä, /ciɛ jɛn, tɛth lɔcdä, /ciɛ jɛn, tɛth lɔcdä, /ciɛ jɛn, tɛth lɔcdä, /ciɛ jɛn, tɛth lɔcdä, /ciɛ jɛ bi jɛ bi met kɛ̈th lɔaac."
"  Rêver, rire, passer, être seul, être libre,","Ŋäcɛ ni min go̱o̱r yɛn ɛ, kɛ tɛ̈th lɔaac, kɛ ɣöö bia wä, kɛ ɣöö bia te kärɔ̱, kɛ ɣöö bia lɔr,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Kä mi wäŋdɛ guic agɔaa, kä jɔwdɛ lɛp,"
"  Mettre, quand il vous plaît, son feutre de travers,","Kä mi go̱o̱r ji̱, la̱tdɛ jɛ kɛ ɣöö bɛ ji̱ jakä tɛth."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Kɛ kui̱ ɛni, kɛ kui̱ /ci̱ni, kɛ ɣöö bi̱kɛ ko̱r, - kiɛ bi̱kɛ mi̱ ci̱e̱ rɔ̱ yi̱k!"
"  Travailler sans souci de gloire ou de fortune,","Kä /ci lätni bi̱i̱ kɛ ɣöö bi̱kɛ rɔ̱ liak kiɛ ria̱ŋ,"
"  A tel voyage, auquel on pense, dans la lune !",Kä mi wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä wä
"  N'écrire jamais rien qui de soi ne sortît,","/Cuarɛ mi /ci bi ben raar gɔ̱r,"
"  Et modeste d'ailleurs, se dire: mon petit,","Kä mi ci lɔcdɛ rɔ̱ ri̱t, cuɛ wee i̱, 'Gatdä,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Kä mi ci jiath kɛ kui̱ pua̱a̱nyni, kɛnɛ dɛy, amäni jiath,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Mi ci kɛ ka̱m gua̱a̱th mi̱ di̱i̱t rɛy kakädu!
"  Puis, s'il advient d'un peu triompher, par hasard,","Kä mi ci jɛ luäŋ kɛ luäk kɛ kui̱ kä ti tɔt,"
"  Ne pas être obligé d'en rien rendre à César,",Kä /ciɛ ɣöö ba ji̱ luäk ka̱m Cɛ-thɛr.
"  Vis-à-vis de soi-même en garder le mérite,","Kä kɛ kui̱ rɔɔdɛ, cuɛ jɛ car i̱, ""Ɣän bä ji̱ moc ri̱t""."
"  Bref, dédaignant d'être le lierre parasite,","Kɛ kui̱c ɛmɔ, mi /ciɛ jɛn ram mi̱ la̱tkɛ jɛ,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Kä cäŋɛ ni mi /ci yɛn ɛ ji̱th kiɛ ji̱th,"
