Scène 2.VIII.,Gawo lachiwiri lachisanu ndi chitatu.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, achinyamata amene anakhala kumanja ndi kumanzere"
et auxquels on sert à boire et à manger.,Ndipo iwo amawapatsa chakudya ndi zakumwa.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (anayankhula mokweza mawu kwa anthu amene anali kutuluka popanda kulimba mtima):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo, abambo,"
"LE BRET (désolé, redescendant, les bras au ciel):","M'BUKU (kutsutsana, kutsika, manja kumwamba):"
  Ah ! dans quels jolis draps.,Ndi nsalu zokongola bwanji.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Iwe, udzakhala ndi mantha!"
LE BRET:,M'BALE:
"  Enfin, tu conviendras","Pomaliza, udzakhala bwino"
"  Qu'assassiner toujours la chance passagère,","Kuti nthawi zonse kupha mwayi wa kanthawi,"
  Devient exagéré.,Zinali zowonjezereka.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !",Koma ine ndikulankhula mopitirira malire.
LE BRET (triomphant):,MFUMU (Wopambana):
  Ah !,Kodi inu?
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Koma pa mfundo, komanso chitsanzo,"
  Je trouve qu'il est bon d'exagérer ainsi.,Ndimaona kuti ndi bwino kuchita zimenezi mopitirira malire.
LE BRET:,M'BALE:
"  Si tu laissais un peu ton âme mousquetaire,","Ngati ungapumule pang'ono,"
  La fortune et la gloire. . .,Chuma ndi Ulemerero . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Kodi tingatani kuti zimenezi zitheke?
"  Chercher un protecteur puissant, prendre un patron,","Kufunafuna mtetezi wamphamvu, kupeza bwana,"
  Et comme un lierre obscur qui circonvient un tronc,Ndipo ngati nthiti yakuda yozungulira thunthu
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ndipo iye amadzipangira mwini wake, ndi kum'dula ndi khungu lake;"
  Grimper par ruse au lieu de s'élever par force ?,Kodi mungakwere mwamphamvu m'malo mokwera mwamphamvu?
"  Non, merci. Dédier, comme tous il le font,","Ayi, zikomo, kudzipereka, monga aliyense amachita,"
  Des vers aux financiers ? se changer en bouffon,Kuchokera ku mphutsi kupita ku ndalama?
