Scène 2.VIII.,Escenari 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, los cadets, que s'estabèron a drecha e a esquèrra"
et auxquels on sert à boire et à manger.,Que los servisson a beure e a manjar.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CIRANO (saludant amb un air de goguenard aqueles que sortisson sens osar lo saludar):
  Messieurs. . .Messieurs. . .Messieurs. . .,Sents. Sents. Sents. Sents.
"LE BRET (désolé, redescendant, les bras au ciel):","Lo BRET (descendant, descendi, braç al cèl):"
  Ah ! dans quels jolis draps.,Ah! dins quantas lindas teissudas.
CYRANO:,CIRANO:
  Oh ! toi ! tu vas grogner !,Oh ! tu ! Tu vas gronar !
LE BRET:,Lo BREAT:
"  Enfin, tu conviendras","Fin finala, seràs d'acòrdi"
"  Qu'assassiner toujours la chance passagère,","Que cada còp assassinar la fortuna passada,"
  Devient exagéré.,Es un exagero.
CYRANO:,CIRANO:
"  Hé bien oui, j'exagère !","Ben, si, me tròbi tròp."
LE BRET (triomphant):,Lo BRET (triomfant):
  Ah !,Ah ! Òc !
CYRANO:,CIRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Mas pel principi, e pel exemple tanben,"
  Je trouve qu'il est bon d'exagérer ainsi.,Me sembla bon d'exagerar coma aquò.
LE BRET:,Lo BREAT:
"  Si tu laissais un peu ton âme mousquetaire,","Se laissès un pauc ton alma mosqueta,"
  La fortune et la gloire. . .,La riquesa e la glòria. . . .
CYRANO:,CIRANO:
  Et que faudrait-il faire ?,E que se deu far ?
"  Chercher un protecteur puissant, prendre un patron,","Cercar un protector poderós, prene un patron,"
  Et comme un lierre obscur qui circonvient un tronc,E coma una liura escura que circonda un tronc
"  Et s'en fait un tuteur en lui léchant l'écorce,","E se lo pren per un gardaire, li liguèt la casca,"
  Grimper par ruse au lieu de s'élever par force ?,Escalar per truc en luòc de s'elevar per força?
"  Non, merci. Dédier, comme tous il le font,","Pas, mercé. Dedicar, coma totes los autres,"
  Des vers aux financiers ? se changer en bouffon,De vermes a financièrs ? se transformar en bufons
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Amb l'esperança vil de veire, dins las lèbras d'un ministre,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Nascar un sorris, enfin, que siá pas sinistre?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Pas, mercé. Ajunh, cada jorn, d'un crabat?"
  Avoir un ventre usé par la marche ? une peau,Avètz un ventre usat per caminar ?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Qui mai lèu, al luòc dels genòls, se fa sujat?"
  Exécuter des tours de souplesse dorsale ?. . .,Fòrça de torns de flexibilitat dorsale? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Non, mercé. D'una man flair la chèva al col"
"  Cependant que, de l'autre, on arrose le chou,","Mas, de l'autre, se regausís lo calabàs,"
"  Et, donneur de séné par désir de rhubarbe,","Que se'n va de la fèsta per la barba,"
"  Avoir son encensoir, toujours, dans quelque barbe ?","Avètz son incensator, totjorn, dins qualques barbas?"
"  Non, merci ! Se pousser de giron en giron,","Non, mercé. Se'n pòdon far de giron a giron,"
"  Devenir un petit grand homme dans un rond,","Devenir un petit grand òme dins un rond,"
"  Et naviguer, avec des madrigaux pour rames,","E navegar amb de madrigues per remas,"
  Et dans ses voiles des soupirs de vieilles dames ?,E dins los veus de las vièlas de las ancianas ?
"  Non, merci ! Chez le bon éditeur de Sercy","Non, mercé, al bon editor de Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",Que's publiquèsse los verses en pagant?
  S'aller faire nommer pape par les conciles,Se far nomenar papa pels conselhs
  Que dans des cabarets tiennent des imbéciles ?,Que dins de cabarets se tenon d'idiòts ?
"  Non, merci ! Travailler à se construire un nom",Trabalhar per se bastir un nom
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Sus un sonnet, puslèu que de far d'autres?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Mercés, descobrissètz de talent solament dins las mazòtas?"
"  Être terrorisé par de vagues gazettes,","Ser terrorizat per d'ondaires jornalistas,"
"  Et se dire sans cesse: Oh, pourvu que je sois","E se dison totjorn: "" Oh, se soi"
  Dans les petits papiers du Mercure François ?. . .,Dins los petits papièrs de Mercuri François? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Calcular, aver paur, èsser blèu,"
"  Aimer mieux faire une visite qu'un poème,","Aimar melhor una visita qu'un poèma,"
"  Rédiger des placets, se faire présenter ?","Escriure de placas, se presentar?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Non, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé, mercé."
"  Rêver, rire, passer, être seul, être libre,","Sonjar, rire, passar, èsser sol, èsser libre,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Que l'uèlh que veja ben, la votz que trembla,"
"  Mettre, quand il vous plaît, son feutre de travers,","Metre, quand volètz, son sentiment de contrarietat,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Per un si, per un non, lo combat, - o far un verm !"
"  Travailler sans souci de gloire ou de fortune,","Trabalhar sens se preocupar de la glòria o de la riquesa,"
"  A tel voyage, auquel on pense, dans la lune !","A un viatge coma aquel, que pensam, a la luna!"
"  N'écrire jamais rien qui de soi ne sortît,","Escriure mai res que ven pas de tu,"
"  Et modeste d'ailleurs, se dire: mon petit,","E modèstament, se ditz: ""Mon enfant,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Que se contentèsse de las flors, dels fruchs, quitament de las fuèlhas,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Se es dins ton jardin que los cuecas!
"  Puis, s'il advient d'un peu triompher, par hasard,","E se se lo trionfèt un pauc,"
"  Ne pas être obligé d'en rien rendre à César,","Que siás pas obligat de pagar a Cesar,"
"  Vis-à-vis de soi-même en garder le mérite,","Per contra de se gardar lo mérite,"
"  Bref, dédaignant d'être le lierre parasite,","En resum, desprejant d'èsser lo lierre parasit,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Quand siás pas lo cèu o lo tilleul,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Pas montar plan, benlèu, mas sol!"
LE BRET:,Lo BREAT:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Solament, o siá, mas pas contra totes."
  As-tu donc contracté la manie effroyable,E t'as donc contractat la mania terribla
"  De te faire toujours, partout, des ennemis ?","De te far totjorn, totjorn, d'enemics?"
CYRANO:,CIRANO:
"  A force de vous voir vous faire des amis,","Per vos veire far d'amics,"
"  Et rire à ces amis dont vous avez des foules,","E rire d'aqueles amics que tenètz de massas,"
  D'une bouche empruntée au derrière des poules !,De boca emprestada al fons de las gallinas!
"  J'aime raréfier sur mes pas les saluts,","M'agrada de rarament saludar sus mes pausas,"
  Et m'écrie avec joie: un ennemi de plus !,E crida-me amb alegria: un enemic mai!
LE BRET:,Lo BREAT:
  Quelle aberration !,Quina aberracion !
CYRANO:,CIRANO:
"  Eh bien, oui, c'est mon vice.","Ben, es mon vilatge."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Deparar es mon plai. M'agrada que me pòscan odiar.
"  Mon cher, si tu savais comme l'on marche mieux","Mon car, se sabiás coma se marcha melhor"
  Sous la pistolétade excitante des yeux !,Sota l'excitant estat de las armas dels uèlhs !
"  Comme, sur les pourpoints, font d'amusantes taches","Coma, sus los punts, fan de tacas amusantas"
  Le fiel des envieux et la bave des lâches !,La gall de las gelosas e la bauma dels cocans !
"  --Vous, la molle amitié dont vous vous entourez,","- Vos, la melhora amistat que vos envolèvan,"
"  Ressemble à ces grands cols d'Italie, ajourés","Sembla aqueles grands cols d'Itàlia, posteriors"
"  Et flottants, dans lesquels votre cou s'effémine:","E flòtas, dins que se tira lo còl:"
"  On y est plus à l'aise. . .et de moins haute mine,","Nos sentim mai còsts. E de mina mens nauta,"
"  Car le front n'ayant pas de maintien ni de loi,","Perque lo front a pas de rèsta ni de lei,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Se desvolopa a se penjar dins totes los sens.
"  La Haine, chaque jour, me tuyaute et m'apprête","La odor, cada jorn, me fa pica e me prepara"
  La fraise dont l'empois force à lever la tête;,La fraise que lo poison força a naisser la tèsta;
  Chaque ennemi de plus est un nouveau godron,Cada enemic mai es un nòu baron
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Que m'ajusta de mal, e m'ajusta de mal."
"  Car, pareille en tous points à la fraise espagnole,","Car, coma en totes los punts amb la fraise espanhòla,"
"  La Haine est un carcan, mais c'est une auréole !","La Odi es un carcan, mas es un auréol !"
"LE BRET (après un silence, passant son bras sous le sien):","Lo BREAT (dempuèi un silenci, passant son braç jos lo sieu):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Que's fai lo superbe e l'amare, mas lo bas"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Me dises que t'aima pas!
CYRANO (vivement):,CYRANO (vivent):
  Tais-toi !,- Que's pas lo cas ?
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Dempuèi un moment, Christian entra, se mescla amb los cadets; aquestes"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,li parlan pas; fin finala s'esassèt sol a una
