Scène 2.VIII.,୨.୮।
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","ସିରାନୋ, ଲ' ବ୍ରେଟ, କନିଷ୍ଠମାନେ, ଯେଉଁମାନେ ଡାହାଣ ଓ ବାମରେ ବସିଲେ"
et auxquels on sert à boire et à manger.,ଆଉ ସେଗୁଡ଼ିକର ଖାଇବା ପିଇବାକୁ ଦିଆଯାଏ ।
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,ସାଇରାନୋ (ଯେଉଁମାନେ ବାହାରକୁ ଆସନ୍ତି ନାହିଁ ସେମାନଙ୍କୁ ଗାଳିଗୁଲଜ କରି ଅଭିବାଦନ ଜଣାଉଛନ୍ତି):
  Messieurs. . .Messieurs. . .Messieurs. . .,ସାର୍. . . ସାର୍. . . ସାର୍. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .
"LE BRET (désolé, redescendant, les bras au ciel):","ବ୍ରେଟ (ଅଶୋକିତ, ନିମ୍ନକୁ, ଆକାଶକୁ ହାତ):"
  Ah ! dans quels jolis draps.,"ଆଃ, କେତେ ସୁନ୍ଦର ଲୁଗାପଟା!"
CYRANO:,ସାଇରାନୋ:
  Oh ! toi ! tu vas grogner !,ତୁମେ କ୍ଳାନ୍ତ ହୋଇଯାଅ !
LE BRET:,- ମୁଁ କହୁଛି...
"  Enfin, tu conviendras",ଶେଷରେ ତୁମେ ରାଜି ହେବ
"  Qu'assassiner toujours la chance passagère,",ମୁଁ ସବୁବେଳେ ଅଳ୍ପ ସମୟ ପାଇଁ ଭାଗ୍ୟକୁ ହତ୍ୟା କରେ ।
  Devient exagéré.,ଏହା ଅତ୍ୟଧିକ ବ୍ୟାକୁଳ ହୋଇଯାଉଛି ।
CYRANO:,ସାଇରାନୋ:
