Scène 2.VIII.,Esena 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Say Cyrano, si Bret, saray tinedyer, ya inmirung ed nikawanan tan nikawigi"
et auxquels on sert à boire et à manger.,tan mansasagpot iran mangan tan oninom.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (sansasalamatan to so saramay ompaway ya ag-abaloan ya ompawil):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Sikayo ran totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sikayon totoo, sik"
"LE BRET (désolé, redescendant, les bras au ciel):","Say sakey a toon maermen, a manalalagey ed tawen:"
  Ah ! dans quels jolis draps.,Talagan marakdakep so kawes da.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Manangis ka!
LE BRET:,Say KANSIAN:
"  Enfin, tu conviendras","Diad kaunoran, onkiwas ka"
"  Qu'assassiner toujours la chance passagère,",Say panamairap ed saray totoon maoges et singa panamairap ed saray totoon maoges.
  Devient exagéré.,Agawa itan ya ag-importante.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","No ontan, ontan met so labay kon ibaga."
LE BRET (triomphant):,Say PANANGGALAN:
  Ah !,"A, ta!"
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Balet diad prinsipyo, ontan met ed alimbawa,"
  Je trouve qu'il est bon d'exagérer ainsi.,Iisipen ko ya maabig no ontan so pangipapasakbay ed satan.
LE BRET:,Say KANSIAN:
"  Si tu laissais un peu ton âme mousquetaire,","No ag mo la ra pa labat paolyan,"
  La fortune et la gloire. . .,Say kayamanan tan gloria. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Antoy gawaen tayo?
"  Chercher un protecteur puissant, prendre un patron,","Mananap na mabiskeg a manangyagel, mangala na sakey a bumabangat,"
  Et comme un lierre obscur qui circonvient un tronc,Singa sakey a marikit a lupot a manlilimukor ed sakey a kiew
"  Et s'en fait un tuteur en lui léchant l'écorce,","tan manggawa na sakey a managbantayan ed sikato, a mangilugoy ed katat na laman to,"
  Grimper par ruse au lieu de s'élever par force ?,Kasin labay mon nibatik so sakey a too?
"  Non, merci. Dédier, comme tous il le font,","No, misalamat, ta no mangidedika, singa gagawaen na arum,"
  Des vers aux financiers ? se changer en bouffon,Manlapud saray manangipalapag ya uleg tan man-financial
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Diad ilalo ton nanengneng, diad panamegley na sakey a ministro,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","No ontan, kasin say sakey et singa singa sakey a toon agmakapatey?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,"
  Avoir un ventre usé par la marche ? une peau,"No manakar ka, mapalalo ka kasi ed liknaan mo?"
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Siopay mas magano ya onsugaw ed sali to?
  Exécuter des tours de souplesse dorsale ?. . .,Kasin man-exercise ak ed saray torsion na dorsal flex? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Agko labay ya ibaga, balet diad sakey a lima, papablien moy kanding ed eges"
"  Cependant que, de l'autre, on arrose le chou,","Balet no say sakey et inyan mo lay kape,"
"  Et, donneur de séné par désir de rhubarbe,","tan mangiter na saray lalakin manggagaway maruksa lapud pilalek dan man-ayaman,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Kasin say pan-incense to et wala ni ed sakey a barbiro?
"  Non, merci ! Se pousser de giron en giron,","Agko labay ya ibaga, ""Mantultuloy kayon man-enjoy""."
"  Devenir un petit grand homme dans un rond,","No magmaliw kan baleg a laki ed sakey a grupo,"
"  Et naviguer, avec des madrigaux pour rames,","tan manbiahe ed saray barko a para saray karwahi,"
  Et dans ses voiles des soupirs de vieilles dames ?,Tan diad saray saklot to et walay onngekem na saray maedad lan bibii?
"  Non, merci ! Chez le bon éditeur de Sercy","Agko labay, salamat, diad imprenta nen Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",Kasin ibabayar moy edisyon na saray salita to?
  S'aller faire nommer pape par les conciles,Manpapapaley ed Saray Konsilyo
  Que dans des cabarets tiennent des imbéciles ?,Kasin saray kabarton walay totoon anggapoy toon makabat?
"  Non, merci ! Travailler à se construire un nom","Agko labay so mansalita, noagta labay kon magmaliw ya maong so ngaran to."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Diad sakey a sonnet, imbes ya manggawa na arum?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Makapanengneng ka labat na talanton walad saray dalag?
"  Être terrorisé par de vagues gazettes,",Say pankelawan na saray manangipalapag a manpublikal et sakey a bengatla.
"  Et se dire sans cesse: Oh, pourvu que je sois","Tan lanang mon ibabaga, 'Oh, no siak so"
  Dans les petits papiers du Mercure François ?. . .,Diad saray karakel ya sulat na Mercurio Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Agko labay so man-calculate, man-fear, man-blind,"
"  Aimer mieux faire une visite qu'un poème,",Mas labay moy manbisita nen say mankanta na sakey a daniw.
"  Rédiger des placets, se faire présenter ?","Kasin manpapalabas na saray sulat, manpapalabas na sarili to?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Agko, misalamat, misalsalamat, misalsalamat, balet . . ."
"  Rêver, rire, passer, être seul, être libre,","Panagsisi, panliliket, panaakar, panaabuloy,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Say mata et makanengneng a maung, say bosis et mangigogogog,"
"  Mettre, quand il vous plaît, son feutre de travers,","No labay mon gawaen, ipanengneng moy liknaan mo."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","No onsabi so on, no andi, labanan, odino man-worm!"
"  Travailler sans souci de gloire ou de fortune,",Agka manpokus ed gloria odino kayamanan.
