Scène 2.VIII.,ਸਟੇਜ 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","ਸੀਰਾਨੋ, ਬ੍ਰੈਟ, ਜਵਾਨ, ਜੋ ਸੱਜੇ ਅਤੇ ਖੱਬੇ ਪਾਸੇ ਬੈਠੇ ਹਨ"
et auxquels on sert à boire et à manger.,ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਖਾਣਾ-ਪੀਣਾ ਅਤੇ ਪੀਂਦਾ-ਪੀਂਦਾ ਦਿੱਤਾ ਜਾਂਦਾ ਹੈ।
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,ਸੀਰੋ (ਜੋ ਬਾਹਰ ਆਉਂਦੇ ਹਨ ਉਨ੍ਹਾਂ ਨੂੰ ਗੌਗਨਾਰਡ ਹਵਾ ਨਾਲ ਸਲਾਮ ਕਰਦੇ ਹਨ):
  Messieurs. . .Messieurs. . .Messieurs. . .,"ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨੋ, ਸ੍ਰੀਮਾਨ"
"LE BRET (désolé, redescendant, les bras au ciel):","(ਸੋਚ, ਵਾਪਸ, ਹੱਥ ਸਵਰਗ ਨੂੰ):"
  Ah ! dans quels jolis draps.,"ਓਹ, ਇਹ ਕਿੰਨੇ ਚੰਗੇ ਕੱਪੜੇ ਹਨ!"
CYRANO:,ਸੀਰਾਨੋ:
  Oh ! toi ! tu vas grogner !,ਤੁਸੀਂ ਰੋ ਰਹੇ ਹੋ!
LE BRET:,ਬਿੱਲੀ:
"  Enfin, tu conviendras","ਅੰਤ ਵਿੱਚ, ਤੁਹਾਨੂੰ ਠੀਕ ਹੋ ਜਾਵੇਗਾ"
"  Qu'assassiner toujours la chance passagère,","ਜੋ ਹਮੇਸ਼ਾ ਅਚਾਨਕ ਹੀ ਹੱਤਿਆ ਕਰਦੇ ਹਨ,"
  Devient exagéré.,ਇਹ ਬਹੁਤ ਜ਼ਿਆਦਾ ਹੈ।
CYRANO:,ਸੀਰਾਨੋ:
"  Hé bien oui, j'exagère !",ਮੈਂ ਬਹੁਤ ਜ਼ਿਆਦਾ ਸੋਚਦਾ ਹਾਂ।
LE BRET (triomphant):,(ਸੰਸਾਰ-ਸਮੁੰਦਰ)
  Ah !,ਆਹ!
CYRANO:,ਸੀਰਾਨੋ:
"  Mais pour le principe, et pour l'exemple aussi,","ਪਰ ਸਿਧਾਂਤ ਲਈ, ਅਤੇ ਉਦਾਹਰਣ ਲਈ ਵੀ,"
  Je trouve qu'il est bon d'exagérer ainsi.,ਮੈਨੂੰ ਲੱਗਦਾ ਹੈ ਕਿ ਇਸ ਤਰ੍ਹਾਂ ਜ਼ਿਆਦਾ ਸੋਚਣਾ ਚੰਗਾ ਹੈ।
LE BRET:,ਬਿੱਲੀ:
"  Si tu laissais un peu ton âme mousquetaire,","ਜੇ ਤੂੰ ਆਪਣੀ ਰੂਹ ਨੂੰ ਕੁਝ ਹੋਰ ਛੱਡ ਦੇਵੇਂ,"
  La fortune et la gloire. . .,ਅਮੀਰ ਅਤੇ ਮਹਿਮਾ . . .
CYRANO:,ਸੀਰਾਨੋ:
  Et que faudrait-il faire ?,ਅਤੇ ਕੀ ਕਰਨਾ ਹੈ?
"  Chercher un protecteur puissant, prendre un patron,","ਇੱਕ ਸ਼ਕਤੀਸ਼ਾਲੀ ਬਚਾਅਕਰਤਾ ਲੱਭਣਾ, ਇੱਕ ਮੁਖੀ ਚੁਣਨਾ,"
  Et comme un lierre obscur qui circonvient un tronc,ਅਤੇ ਇੱਕ ਲੱਕੜ ਦੇ ਚੱਕਰ ਵਾਂਗ
"  Et s'en fait un tuteur en lui léchant l'écorce,","ਅਤੇ ਉਹ ਉਸ ਨੂੰ ਆਪਣੇ ਸਿਰ ਉੱਤੇ ਰੱਖਦਾ ਹੈ ਅਤੇ ਉਸ ਦੀ ਛਾਤੀ ਨੂੰ ਲੰਗਦਾ ਹੈ,"
  Grimper par ruse au lieu de s'élever par force ?,ਚੜ੍ਹਨ ਦੀ ਬਜਾਏ ਚੜ੍ਹਨ ਦੀ ਬਜਾਏ ਚੜ੍ਹਨਾ?
"  Non, merci. Dédier, comme tous il le font,","ਨਹੀਂ, ਧੰਨਵਾਦ. ਸਮਰਪਣ, ਜਿਵੇਂ ਕਿ ਹਰ ਕੋਈ ਕਰਦਾ ਹੈ,"
  Des vers aux financiers ? se changer en bouffon,ਕੀੜੇ ਤੋਂ ਵਿੱਤੀ ਵਰਕਰਾਂ ਤੱਕ?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","ਮੈਂ ਤਾਂ ਇੱਕ ਮੰਤਰੀ ਦੇ ਮੂੰਹੋਂ ਇਹ ਵੇਖਣ ਦੀ ਨਿਰਾਸ਼ ਉਮੀਦ ਵਿੱਚ ਹਾਂ,"
