Scène 2.VIII.,Scena 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, e muchanan, cu a sinta drechi y izquierda"
et auxquels on sert à boire et à manger.,i nan ta ser serví pa kome i bebe.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (saludando ku un aire di goognan ku ta sali sin a bolbe saludar e hòmber):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan, señornan,"
"LE BRET (désolé, redescendant, les bras au ciel):","E BREET (triste, descendiendo, braces na shelu):"
  Ah ! dans quels jolis draps.,Ah! den kuenta bunita.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, bo ta gronta!"
LE BRET:,E BREET:
"  Enfin, tu conviendras",Finalmente bo ta bai bon
"  Qu'assassiner toujours la chance passagère,","Ku ta asesina tur suerte pasaheroso,"
  Devient exagéré.,Ta bira exagerá.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Pues sí, mi ta exagerando!"
LE BRET (triomphant):,E BREET (triunfante):
  Ah !,Ah! E ta bon!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Pero pa e prinsipio, i pa e ehèmpel tambe,"
  Je trouve qu'il est bon d'exagérer ainsi.,Mi ta haña ku ta bon pa exagera asina.
LE BRET:,E BREET:
"  Si tu laissais un peu ton âme mousquetaire,","Si bo laga bo alma muchu mas muchu,"
  La fortune et la gloire. . .,Riquesa i gloria . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,I kiko nos mester hasi?
"  Chercher un protecteur puissant, prendre un patron,","Buska un protector poderoso, tuma un patron,"
  Et comme un lierre obscur qui circonvient un tronc,Y manera un lirio oscuro rondando un tronco
"  Et s'en fait un tuteur en lui léchant l'écorce,","E ta hasi un protector di e animal, ku ta lichi su kastigu."
  Grimper par ruse au lieu de s'élever par force ?,Klimá ku trampa enbes di subi ku forsa?
"  Non, merci. Dédier, comme tous il le font,","No, danki. Dedicá, manera tur hende ta hasi,"
  Des vers aux financiers ? se changer en bouffon,Di vers pa finansiero?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Den e speransa di mira, den boca di un ministro,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Naña un sonrisa, finalmente, ku no ta sincero?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","No, mi ta gradici."
  Avoir un ventre usé par la marche ? une peau,Tin un belly gastá pa e kaminda?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Ken ta mas rapido, na lugá di su yu, ta bira sucio?"
  Exécuter des tours de souplesse dorsale ?. . .,E ta hasi tur kos ku ta pone e dor di e kas di kurpa flexibel? . . .
"  Non, merci. D'une main flatter la chèvre au cou","No, danki."
"  Cependant que, de l'autre, on arrose le chou,","Pero si nos laga e otro, nos ta laga e karbul,"
"  Et, donneur de séné par désir de rhubarbe,","Y ta duna su mama di pecho pa deseo di barba,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Ta tene su incensario den un barba?
"  Non, merci ! Se pousser de giron en giron,","No, danki."
"  Devenir un petit grand homme dans un rond,","bira un homber grandi chikito den un rond,"
"  Et naviguer, avec des madrigaux pour rames,","I na navega, ku madrigal pa remanan,"
  Et dans ses voiles des soupirs de vieilles dames ?,I den su vela ta sosegá di hende muhé?
"  Non, merci ! Chez le bon éditeur de Sercy","No, danki, na e bon editor di Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",Pa haci cu e versonan ta wordo edita pa pago?
  S'aller faire nommer pape par les conciles,Pa Papiamentu na Konseho
  Que dans des cabarets tiennent des imbéciles ?,Ku tin hende ku ta keda kuido den kasnan di kas?
"  Non, merci ! Travailler à se construire un nom",Trahando pa traha un nomber
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Na un soneto, enbes di hasi otro?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Danki, ta den e mazeta nan ta haña talentu?"
"  Être terrorisé par de vagues gazettes,","Ta terrorisa pa e dianan di prensa,"
"  Et se dire sans cesse: Oh, pourvu que je sois","I semper bisa bo mes: 'Oh, si mi ta"
  Dans les petits papiers du Mercure François ?. . .,Den e papelnan chikitu di Mercurio Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","No, danki! Kalkula, tin miedu, ta malu,"
"  Aimer mieux faire une visite qu'un poème,","Mas gusta bishita ku poesia,"
"  Rédiger des placets, se faire présenter ?","Escribe plaka, presenta bo mes?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","No, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, danki, dan"
"  Rêver, rire, passer, être seul, être libre,","Soña, ri, pasa, ta so, ta liber,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Tin un wowo ku ta mira bon, un voz ku ta vibrá,"
"  Mettre, quand il vous plaît, son feutre de travers,","Ta pone su sintimentu di maldat, ora bo ta gusta,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Pa un si, pa un no, lucha, - òf hasi un vermi!"
"  Travailler sans souci de gloire ou de fortune,","Trahando sin buska gloria òf rikesa,"
"  A tel voyage, auquel on pense, dans la lune !","Un biahe asina, ku nos ta pensa riba dje, na luna!"
"  N'écrire jamais rien qui de soi ne sortît,","Nunca skirbi nada cu no ta sali di bo mes,"
"  Et modeste d'ailleurs, se dire: mon petit,","Y modesto tambe, bisa bo mes: mi yiu,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Ta kontenti ku florin, fruta, asta ku folianan,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Si bo ta bai buska nan den bo propio huerto!
"  Puis, s'il advient d'un peu triompher, par hasard,","Despues, si e logra gana un tiki,"
"  Ne pas être obligé d'en rien rendre à César,",No ta nesesario pa paga nada pa Cesar.
"  Vis-à-vis de soi-même en garder le mérite,","pa tene e merecimento di e mes,"
"  Bref, dédaignant d'être le lierre parasite,","Den otro palabra, desmientando ser e lierre parásito,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Aunke nos no ta e roble of e palma,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","No ta subi hopi haltu, por ta, pero bo mes!"
LE BRET:,E BREET:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Si ta pa nos so, pero no pa tur hende."
  As-tu donc contracté la manie effroyable,Bo a haya un mania tremendo
"  De te faire toujours, partout, des ennemis ?",Pa hasi bo enemigunan tur kaminda?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Pasobra mi a mira boso hasi amigu,"
"  Et rire à ces amis dont vous avez des foules,","Y ri di e amigonan cu bo tin multitud,"
  D'une bouche empruntée au derrière des poules !,Un boka di kurá!
"  J'aime raréfier sur mes pas les saluts,","Mi ta gusta saludar hende riba mi pia,"
  Et m'écrie avec joie: un ennemi de plus !,Y grita mi di gozo: Otro enemigo!
LE BRET:,E BREET:
  Quelle aberration !,Esta aberracion!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Pues sí, mi vicio."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Mi ta gusta pa mi desviá. Mi ta gusta pa mi otia.
"  Mon cher, si tu savais comme l'on marche mieux","Mi kara, si bo sa kon ta mihó pa kita"
  Sous la pistolétade excitante des yeux !,Den e emocionante arma di wowo!
"  Comme, sur les pourpoints, font d'amusantes taches","Como, riba puntonan di puntonan, haci taco di divertimento"
  Le fiel des envieux et la bave des lâches !,E biena di e envidioso i e biena di e cobarde!
"  --Vous, la molle amitié dont vous vous entourez,","- Bo, e amigonan suave cu bo ta rondoná,"
"  Ressemble à ces grands cols d'Italie, ajourés","Ta manera e gran cuchi di Italia, a retrasá"
"  Et flottants, dans lesquels votre cou s'effémine:","I flotas, den kua bo kurpa ta splika:"
"  On y est plus à l'aise. . .et de moins haute mine,","Nos ta mas komfortabel. . . i menos halto,"
"  Car le front n'ayant pas de maintien ni de loi,","Pasobra e fronta no tin un reglanan i lei,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",E ta bay di tur manera.
"  La Haine, chaque jour, me tuyaute et m'apprête","Hato, tur dia, ta hasié mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi sinti mi"
  La fraise dont l'empois force à lever la tête;,E froma ku su poison ta pone su kabes riba su kabes;
  Chaque ennemi de plus est un nouveau godron,Cada enemigo mas ta un barrio nobo
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",E ta pone mi mas tur tur tur kos malu i ta pone mi mas malu.
"  Car, pareille en tous points à la fraise espagnole,","Pues, manera e fresa di Spaña den tur kos,"
"  La Haine est un carcan, mais c'est une auréole !","Hato ta un carcan, pero e ta un auréola!"
"LE BRET (après un silence, passant son bras sous le sien):","E BREET (dipos di un silencio, pasando su brazo bou di su):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Hasi e orguyoso grandi i amargo, pero bai hasié humilde"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Simplemente bisa mi ku e no ta stima bo!
CYRANO (vivement):,CYRANO (vivo):
  Tais-toi !,Keda kla!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Despues di un momento Christian a drenta, a drenta den e grupo di e muchanan; e"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"no a papia cu e, el a keda sinta so na un"
