Scène 2.VIII.,صحنه ۲.۸.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",سیرانو، برت، جوانان، که به سمت راست و چپ نشسته اند
et auxquels on sert à boire et à manger.,و برای آنان می خورند و می نوشند.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سیرانو (به صدای خنده دار به کسانی که از خانه بیرون می روند سلام می کند):
  Messieurs. . .Messieurs. . .Messieurs. . .,آقایان آقایان آقایان آقایان آقایان
"LE BRET (désolé, redescendant, les bras au ciel):","""برِت"" (مؤسف، پایین، دست به آسمان):"
  Ah ! dans quels jolis draps.,اوه، چه پارچه های زیبا.
CYRANO:,سیرانو:
  Oh ! toi ! tu vas grogner !,اوه تو، تو میگی
LE BRET:,اونم:
"  Enfin, tu conviendras",بالاخره، تو موافق میشی
"  Qu'assassiner toujours la chance passagère,",که همیشه شانس زودگذر را بکشیم
  Devient exagéré.,خیلی زیاد شده
CYRANO:,سیرانو:
"  Hé bien oui, j'exagère !",خب، آره، من خیلی زیاد میگم.
LE BRET (triomphant):,"""برِت"" (ترومور):"
  Ah !,اوه، آره
CYRANO:,سیرانو:
"  Mais pour le principe, et pour l'exemple aussi,",اما برای اصل، و برای مثال،
  Je trouve qu'il est bon d'exagérer ainsi.,فکر می کنم این خیلی خوب است.
LE BRET:,اونم:
"  Si tu laissais un peu ton âme mousquetaire,",اگر روح خود را به صورت یک جنده تر از دست دادی،
  La fortune et la gloire. . .,ثروت و شکوه
CYRANO:,سیرانو:
  Et que faudrait-il faire ?,و باید چیکار کنیم؟
"  Chercher un protecteur puissant, prendre un patron,",دنبال یک محافظ قدرتمند، یک رئیس،
  Et comme un lierre obscur qui circonvient un tronc,و مانند لبه ای تاریک که در گرد درختان است
"  Et s'en fait un tuteur en lui léchant l'écorce,",و از آن سرپرستى مى سازد و پوستش را مى ليزد،
  Grimper par ruse au lieu de s'élever par force ?,به جای اینکه به زور بالا برسیم، به تدریج بالا می رسیم؟
"  Non, merci. Dédier, comme tous il le font,",نه، ممنون، وقف کردن، مثل همه ی اونا،
  Des vers aux financiers ? se changer en bouffon,از کرم ها به امور مالی تبدیل شدن به خرده
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",با امید به دیدن، با زبان یک وزیر،
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",به نظر می رسد که یک لبخند به وجود می آورد که در واقع یک لبخند بدی نیست.
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",نه، ممنون، هر روز با یک پوچک ناهار میخورم؟
  Avoir un ventre usé par la marche ? une peau,که شکم رو از راه رفتن خسته کنم؟
"  Qui plus vite, à l'endroit des genoux, devient sale ?",چه کسی سریع تر می شود؟
  Exécuter des tours de souplesse dorsale ?. . .,آیا می توان از روی انعطاف پذیری پشت خود استفاده کرد؟ . . .
"  Non, merci. D'une main flatter la chèvre au cou",نه، ممنون، با یک دست بز را به گردن می کشم
"  Cependant que, de l'autre, on arrose le chou,",اما اگر از آن دو آب را آب دهیم،
"  Et, donneur de séné par désir de rhubarbe,",و به سبب شهوت و هوسش، سینه ها را به تن می کشاند.
"  Avoir son encensoir, toujours, dans quelque barbe ?",همیشه با شعله اش در حاشیه ای؟
"  Non, merci ! Se pousser de giron en giron,",نه، ممنون، از هر طرف، از هر طرف،
"  Devenir un petit grand homme dans un rond,",تبدیل شدن به یک مرد بزرگ کوچک در یک دور،
"  Et naviguer, avec des madrigaux pour rames,",و کشتی هایی که در آن می رود،
  Et dans ses voiles des soupirs de vieilles dames ?,و در پرده های او، آه های بانوان پیرمرد؟
"  Non, merci ! Chez le bon éditeur de Sercy",نه، ممنون، به طرف ناشر خوب سرسی
"  Faire éditer ses vers en payant ? Non, merci !",اون مي خواد ازش پول بده؟
  S'aller faire nommer pape par les conciles,برای اینکه در مجلس ها پاپ شود
  Que dans des cabarets tiennent des imbéciles ?,که در کاباره ها احمق ها هستند؟
"  Non, merci ! Travailler à se construire un nom",نه، ممنون، کار کردن برای ساختن یک نام
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",به جای اینکه یه سوتون دیگه بسازیم؟
  Merci ! Ne découvrir du talent qu'aux mazettes ?,فقط در حاشیه ها استعدادی پیدا می کنی؟
"  Être terrorisé par de vagues gazettes,",از اخبار غریبه ترسان شدن
"  Et se dire sans cesse: Oh, pourvu que je sois","و همیشه می گوییم: ""آره، اگر من باشم،"
  Dans les petits papiers du Mercure François ?. . .,در کاغذ های کوچک مرکور فرانسیس؟ . . .
"  Non, merci ! Calculer, avoir peur, être blême,",نه، ممنون، حساب کردن، ترسیدن، خیره شدن،
"  Aimer mieux faire une visite qu'un poème,",دوست داشتن بازدید از یک شعر بهتر است
"  Rédiger des placets, se faire présenter ?",-آره، تو هم باید از خودت خبر بدونی؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه، نه،
"  Rêver, rire, passer, être seul, être libre,",خواب، خنده، گذر، تنها بودن، آزاد بودن،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",چشم خوب، صدا با تندتر،
"  Mettre, quand il vous plaît, son feutre de travers,",هر وقت که میخوای، احساسش را از هم دور کنی،
"  Pour un oui, pour un non, se battre,--ou faire un vers !",برای یک بله، برای یک نه، مبارزه، یا یک کرم!
"  Travailler sans souci de gloire ou de fortune,",و کار کردن بدون توجه به ثروت و افتخار
"  A tel voyage, auquel on pense, dans la lune !",به سفري که به ذهن مياد به ماه
