Scène 2.VIII.,Sary 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, ireo tanora, izay nipetraka teo ankavanana sy teo ankavia"
et auxquels on sert à boire et à manger.,Ary ny olona no manompo azy sy misotro azy.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (miarahaba amin'ny feo feno fankahalana ireo mivoaka tsy sahy manao izany):
  Messieurs. . .Messieurs. . .Messieurs. . .,Ry tompokolahy sy tompokolahy sy tompokolahy ary tompokolahy sy tompokolahy ary tompokolahy sy tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy sy tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy sy tompokolahy ary tompokolahy ary tompokolahy ary tompokolahy sy tompokolahy ary tom
"LE BRET (désolé, redescendant, les bras au ciel):","Ny BRET (miala tsiny, midina, ny sandry ho any an-danitra):"
  Ah ! dans quels jolis draps.,Tena tsara tarehy ny lamba.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,Ho avy ny hohaninao !
LE BRET:,Ny RATSY:
"  Enfin, tu conviendras",Ho tonga soa ihany ianao
"  Qu'assassiner toujours la chance passagère,","Fa ny famonoana ny vintana foana,"
  Devient exagéré.,Ho tafahoatra loatra.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","Eny, tena mampitombo aho."
LE BRET (triomphant):,Ny TONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONTONT
  Ah !,- Tsy misy zavatra hafa.
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Fa ny fitsipika, ary ny ohatra koa,"
  Je trouve qu'il est bon d'exagérer ainsi.,Heveriko fa tsara ny manitatra toy izany.
LE BRET:,Ny RATSY:
"  Si tu laissais un peu ton âme mousquetaire,","Raha mbola mamela ny fanahinao ho moskety kely,"
  La fortune et la gloire. . .,Harena sy voninahitra. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Ary inona no tokony hataon'izy ireo?
"  Chercher un protecteur puissant, prendre un patron,","Mitady mpiaro matanjaka, maka tompony,"
  Et comme un lierre obscur qui circonvient un tronc,Ary toy ny voaloboka maizina manodidina ny vatany
"  Et s'en fait un tuteur en lui léchant l'écorce,","Ary izy no manao azy ho mpiaro azy, ary manary ny tsilo azy,"
  Grimper par ruse au lieu de s'élever par force ?,Miakatra amin'ny fomba tsy misy dikany fa tsy amin'ny hery?
"  Non, merci. Dédier, comme tous il le font,","Tsy misaotra, fa manolo-tena, tahaka ny ataon'ny rehetra,"
  Des vers aux financiers ? se changer en bouffon,Avy amin'ny tsimparifary ka hatramin'ny mpandraharaha ara-bola?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Manantena ny hahita, amin'ny molotry ny minisitra,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Ny fananganana tsiky, raha tsy misy ny ratsy?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Tsy misy sakafo atoandro isan'andro amin'ny akoho?
  Avoir un ventre usé par la marche ? une peau,Ny manana kibony maloto amin'ny fandehanana?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Iza no ho tonga maloto haingana kokoa, raha tsy ny lohalika?"
  Exécuter des tours de souplesse dorsale ?. . .,Hanao fihodinana miovaova amin'ny lamosiny ve ianao? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Tsisy, misaotra, fa ny tanana iray no maneso ny osy"
"  Cependant que, de l'autre, on arrose le chou,","Na dia izany aza, ny iray dia mandatsa-dranomaso,"
"  Et, donneur de séné par désir de rhubarbe,","Ary ny fiankinan-doha,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Mbola manana ny fitehirizany ao anaty volom-borona ve?
"  Non, merci ! Se pousser de giron en giron,","Tsy misaotra, mihodina mihodina,"
"  Devenir un petit grand homme dans un rond,","Lasa lehilahy lehibe kely ao anaty boribory,"
"  Et naviguer, avec des madrigaux pour rames,","Ary ny sambo, miaraka amin'ny madrigals ho an'ny sambo,"
  Et dans ses voiles des soupirs de vieilles dames ?,Ary ny fitarain'ireo vehivavy antitra ao anaty lafin-javatra?
"  Non, merci ! Chez le bon éditeur de Sercy","Tsy, misaotra, any amin'ny tonian-dahatsoratry ny Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",- Tsy mba mila mandoa vola ve ianao?
  S'aller faire nommer pape par les conciles,Hisy Fihaonana ho Papa
