Scène 2.VIII.,Szene 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, młodzież, która usiadła na prawo i na lewe"
et auxquels on sert à boire et à manger.,"i są obsługiwane, aby jeść i pić."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,"CYRANO (zdręcząc się z przyjemnością, pozdrawiając tych, którzy wychodzą bez odwagi pozdrowienia):"
  Messieurs. . .Messieurs. . .Messieurs. . .,"Panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie, panowie!"
"LE BRET (désolé, redescendant, les bras au ciel):","W RED (poczucie, w dół, ramiona w niebo):"
  Ah ! dans quels jolis draps.,W jakich pięknych płaszczach.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Ty, będziesz gębał!"
LE BRET:,- Wyróżnia się.
"  Enfin, tu conviendras",W końcu się zgadzasz.
"  Qu'assassiner toujours la chance passagère,","Że zawsze zabijamy przejściowe szczęście,"
  Devient exagéré.,To jest przesada.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","- Tak, przesadzam."
LE BRET (triomphant):,WYCZYTAJĄCY:
  Ah !,"- Nie , nie ."
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Ale w zasadzie, w przykładzie,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Myślę, że dobrze jest tak przesadzać."
LE BRET:,- Wyróżnia się.
"  Si tu laissais un peu ton âme mousquetaire,","Gdybyś trochę zostawił swoją duszę,"
  La fortune et la gloire. . .,Pieniądze i chwała.
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,Co trzeba zrobić?
"  Chercher un protecteur puissant, prendre un patron,","Szukaj potężnego ochroniarza, bierz szefa,"
  Et comme un lierre obscur qui circonvient un tronc,"I jak ciemna liza, która otacza trzcinę"
"  Et s'en fait un tuteur en lui léchant l'écorce,","I staje się jego opiekunem, lizając jego skórę,"
  Grimper par ruse au lieu de s'élever par force ?,Wzniesienie się podstępnie zamiast podnieść się siłą?
"  Non, merci. Dédier, comme tous il le font,","Nie, dziękuję."
  Des vers aux financiers ? se changer en bouffon,"Od robaków do finansowych, zmieniają się w głupców."
