Scène 2.VIII.,Escenas 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, os jovens, que se sentaram à direita e à esquerda"
et auxquels on sert à boire et à manger.,E servem-lhes para comer e beber.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (saludando com um ar de googé a quem sai sem ousar saludar):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, cavalheiros, caval"
"LE BRET (désolé, redescendant, les bras au ciel):","O BRET (desculpado, desce, braços para o céu):"
  Ah ! dans quels jolis draps.,Que lindas tintas.
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"Oh, você, você vai gritar!"
LE BRET:,O BRET:
"  Enfin, tu conviendras","Finalmente, você vai ser bom."
"  Qu'assassiner toujours la chance passagère,","Que sempre assassinar a sorte passagem,"
  Devient exagéré.,Está a ficar exagerado.
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","- Sim, estou a exagerar."
LE BRET (triomphant):,O BRET (triunfante):
  Ah !,- Não !
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Mas para o princípio, e para o exemplo também,"
  Je trouve qu'il est bon d'exagérer ainsi.,Acho bom exagerar assim.
LE BRET:,O BRET:
"  Si tu laissais un peu ton âme mousquetaire,","Se deixasses um pouco a tua alma mosqueteira,"
  La fortune et la gloire. . .,A riqueza e a glória. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,E o que é que se deve fazer?
"  Chercher un protecteur puissant, prendre un patron,","Buscar um protetor poderoso, tomar um patrão,"
  Et comme un lierre obscur qui circonvient un tronc,E como uma folha escura que envolve um tronco
"  Et s'en fait un tuteur en lui léchant l'écorce,","E faz-se um guardião, lamendo a casca dele,"
  Grimper par ruse au lieu de s'élever par force ?,Escalar por engano em vez de subir por força?
"  Non, merci. Dédier, comme tous il le font,","Não, obrigado, dedicar, como todos eles fazem,"
  Des vers aux financiers ? se changer en bouffon,"De vermes a financiadores, transformar-se em burros."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Na esperança de ver, nos lábios de um ministro,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Nascer um sorriso, que não é sinistro?"
