Scène 2.VIII.,صحنه ۲.۸
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche",سیرانو، برت، جوان ها که به سمت راست و چپ نشسته اند
et auxquels on sert à boire et à manger.,و برای آنها غذا و نوشیدنی می دهند.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,سیرانو (به صدای خنده دار به کسانی که از خانه بیرون می روند سلام می کند):
  Messieurs. . .Messieurs. . .Messieurs. . .,آقایان آقایان آقایان آقایان آقایان
"LE BRET (désolé, redescendant, les bras au ciel):",BRET (تأسف، پایین، دست های به آسمان):
  Ah ! dans quels jolis draps.,اوه، چه پارچه های زیبا
CYRANO:,سیرانو:
  Oh ! toi ! tu vas grogner !,اوه، تو، میخواستی گریه کنی!
LE BRET:,اونم: اونم: اونم
"  Enfin, tu conviendras",بالاخره شما موافق می شوید
"  Qu'assassiner toujours la chance passagère,",که همیشه به خاطر شانس زودرس،
  Devient exagéré.,خیلی زیاد شده
CYRANO:,سیرانو:
"  Hé bien oui, j'exagère !",خوب، من زیاد میگم
LE BRET (triomphant):,"""بریت"" (تاریخ)"
  Ah !,آه، آه
CYRANO:,سیرانو:
"  Mais pour le principe, et pour l'exemple aussi,",اما برای اصل، و برای مثال هم،
  Je trouve qu'il est bon d'exagérer ainsi.,من فکر می کنم این خوب است که این طور بیش از حد.
LE BRET:,اونم: اونم: اونم
"  Si tu laissais un peu ton âme mousquetaire,",اگر فقط یک لحظه از روح خود را به دست می دهی
  La fortune et la gloire. . .,ثروت و شکوه . . .
CYRANO:,سیرانو:
  Et que faudrait-il faire ?,حالا چیکار کنیم؟
"  Chercher un protecteur puissant, prendre un patron,",برای یک محافظ قدرتمند، برای یک رئیس،
  Et comme un lierre obscur qui circonvient un tronc,و مانند یک لبه تاریک که در اطراف یک تخته است
"  Et s'en fait un tuteur en lui léchant l'écorce,",و از آن ها نگهبان می شود و پوست آن را می لشد
  Grimper par ruse au lieu de s'élever par force ?,به جای اینکه به زور بالا برسیم؟
"  Non, merci. Dédier, comme tous il le font,",نه، ممنون. وقف کردن، مثل همه چیز،
  Des vers aux financiers ? se changer en bouffon,از کرم ها تا مالی ها تبدیل به خفاش
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",با امید به دیدن، با زبان یک وزیر،
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",یک لبخند را به وجود آورد که در حقیقت یک لبخند بد نیست؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",نه، ممنون، هر روز از یک پوچک ناهار میخوری؟
  Avoir un ventre usé par la marche ? une peau,که شکم از راه رفتن خسته شده باشد؟
"  Qui plus vite, à l'endroit des genoux, devient sale ?",چه کسی سریع تر می شود؟
  Exécuter des tours de souplesse dorsale ?. . .,آیا می توان از روی حرکت های انعطاف پذیر پشت استفاده کرد؟ . . .
"  Non, merci. D'une main flatter la chèvre au cou",نه ممنون، با یک دست بز را به گردن می کشم
"  Cependant que, de l'autre, on arrose le chou,",با این حال، اگر از طرف دیگر، آب را روی آب آب آب آب آب بزنید،
"  Et, donneur de séné par désir de rhubarbe,",و آن کس که از روی طمع و هوس سینه اش را می کشاند
"  Avoir son encensoir, toujours, dans quelque barbe ?",همیشه شعله اش را در یه ساقه نگه داری؟
"  Non, merci ! Se pousser de giron en giron,",نه، ممنون، از یک طرف به یک طرف رشد می کنم
"  Devenir un petit grand homme dans un rond,",تبدیل شدن به یک مرد بزرگ کوچک در یک دور،
"  Et naviguer, avec des madrigaux pour rames,",و کشتی ها را با کشتی های کشتی،
  Et dans ses voiles des soupirs de vieilles dames ?,و در پرده های او آه های بانوان پیرمرد؟
"  Non, merci ! Chez le bon éditeur de Sercy",نه، ممنون، به طرف مدیر خوب سرسی
"  Faire éditer ses vers en payant ? Non, merci !",اون میخواد ازش متن ها رو عوض کنه؟
  S'aller faire nommer pape par les conciles,برای اینکه در مجلس ها پاپ نامزد شوند
  Que dans des cabarets tiennent des imbéciles ?,که در کاباره ها احمق ها میگیرند؟
"  Non, merci ! Travailler à se construire un nom",نه، ممنون، تلاش می کنم که اسم خودم را بسازم
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",بجای اینکه بجای دیگر بجای دیگر بجای یک سوتون بجای دیگر بجای یک سوتون بجای دیگر بجای دیگر بجای یک سوتون بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر بجای دیگر
  Merci ! Ne découvrir du talent qu'aux mazettes ?,فقط در حاشیه ها استعداد پیدا می کنی؟
"  Être terrorisé par de vagues gazettes,",از اخبار های موج به شدت وحشت زده شدن
"  Et se dire sans cesse: Oh, pourvu que je sois","و همیشه می گویم: ""او، اگر من"
