Scène 2.VIII.,2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Cyrano, Le Bret, sullk'unapas, kaykunataq kaykunatam hap'irqanku:"
et auxquels on sert à boire et à manger.,"mikhunankupaq, umankupaq ima."
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,CYRANO (manchaymanta lloqsimuspanmi saludarqa):
  Messieurs. . .Messieurs. . .Messieurs. . .,"Señorkuna, señorkuna, señorkuna, señorkuna, señorkuna, señorkuna, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros, señoros,"
"LE BRET (désolé, redescendant, les bras au ciel):","P'anqa (P'anqa, chhika, qhawanku)"
  Ah ! dans quels jolis draps.,¡A! ¡Chay sumaq t'ikrasqa p'achakunapi!
CYRANO:,CYRANO:
  Oh ! toi ! tu vas grogner !,"¡Qamqa, q'oñunki!"
LE BRET:,Runasimi:
"  Enfin, tu conviendras",Qamqa allinmi kanki
"  Qu'assassiner toujours la chance passagère,","Chayraykun sapa kuti mana allin kaqkunata wañuchispanchikqa,"
  Devient exagéré.,"Chayqa, ancha allinpuni."
CYRANO:,CYRANO:
"  Hé bien oui, j'exagère !","¡Runaqtinpas, chaynaña!"
LE BRET (triomphant):,¡Pachayqa!
  Ah !,¡Away!
CYRANO:,CYRANO:
"  Mais pour le principe, et pour l'exemple aussi,","Chayraykun, imaynatachus ruwasqa kasqanpi, imaynatachus ruwasqa kasqanpi,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Chayna kaptinqa, chayna yuyayniyoq kaspayqa, allinpuni kanman."
LE BRET:,Runasimi:
"  Si tu laissais un peu ton âme mousquetaire,","Qamqa mana allinchu kanki, mana allinchu kanki."
  La fortune et la gloire. . .,"Qhapaqkuna, jatunchasqa kasqanku."
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,¿Imatataq ruwananchis?
"  Chercher un protecteur puissant, prendre un patron,","Imaraykuchus chay kamachiqninqa atiyniyojmi, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin ruwajmanjina, mana allin kaj jina"
  Et comme un lierre obscur qui circonvient un tronc,Q'illuypi ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar ch'iyar
"  Et s'en fait un tuteur en lui léchant l'écorce,","Chay urquntaqa, q'illuyman churaspanmi,"
  Grimper par ruse au lieu de s'élever par force ?,"¿Rikunchu mana atiyniyoq kaspa, mana atiyniyoq kaspa?"
"  Non, merci. Dédier, comme tous il le font,","Mana, gracias. Paykunaqa tukuy imata ruwasqankuta,"
  Des vers aux financiers ? se changer en bouffon,"Q'ipismanta, q'ipisman tukuspa"
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Manchaypi suyakuyniyojtaj, uj ministropa sut'inchasqanpi,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",¿Pitaq mana sinisterochu?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Mana, gracias. ¿Tuku p'unchaymi mikhun?"
  Avoir un ventre usé par la marche ? une peau,¿Pichus pampapi purisqallañachu?
"  Qui plus vite, à l'endroit des genoux, devient sale ?",¿Pitaq astawanraq p'unchawan?
  Exécuter des tours de souplesse dorsale ?. . .,¿Runakuypi rinanpaqchu?
"  Non, merci. D'une main flatter la chèvre au cou","Mana, gracias, huk makinwan cabrapa q'ipisninta q'ip'ichin"
"  Cependant que, de l'autre, on arrose le chou,","Chaywampas hukninpiqa, q'ap'ita churaspankum,"
"  Et, donneur de séné par désir de rhubarbe,","Q'ipisqallaña, q'ipisqallaña,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",¿Manachu chaynachu?
"  Non, merci ! Se pousser de giron en giron,","Mana, gracias, chayllaña."
"  Devenir un petit grand homme dans un rond,","Chaypiqa, uj uj k'anchay runata tukuspa,"
"  Et naviguer, avec des madrigaux pour rames,","Q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa, q'ipisqa,"
  Et dans ses voiles des soupirs de vieilles dames ?,¿Yachachakunchu chay velospi anciano-ninkunaqa?
"  Non, merci ! Chez le bon éditeur de Sercy","Mana, graciasta, Sercypa allin editorninwan."
"  Faire éditer ses vers en payant ? Non, merci !",¿Pichus qhelqasnintaqa qhelqaspa qhelqaspa?
  S'aller faire nommer pape par les conciles,"Papa kananpaqqa, consejokunawan"
  Que dans des cabarets tiennent des imbéciles ?,"¿Piru chayna kashpaqa, ¿imataq mana allitaqa?"
"  Non, merci ! Travailler à se construire un nom","Mana, gracias, sutʼita ruwaspa."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",¿Pichus huk sonnetonpichu?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,¿Manachu chayna tarikusunman?
"  Être terrorisé par de vagues gazettes,","Huk p'unchaypi, chaymantaqa, chay p'unchaypi, chay p'unchaypi, chay p'unchaypi, chay p'unchaypi, chay p'unchaypi,"
"  Et se dire sans cesse: Oh, pourvu que je sois",Manapuni niwaqchu:
  Dans les petits papiers du Mercure François ?. . .,¿Mercior Francisco nisqa qhelqasqanpichu?...
"  Non, merci ! Calculer, avoir peur, être blême,","Mana, gracias, yuyayniykita, manchay yuyayniykita,"
"  Aimer mieux faire une visite qu'un poème,","Poemamanta aswan allinqa,"
"  Rédiger des placets, se faire présenter ?",¿Pipis qelqakunata qelqachinchu?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Mana, gracias, mana, gracias, mana, gracias."
"  Rêver, rire, passer, être seul, être libre,",K'achañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañañaña
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Qhapaq ñawin, qhat'aq qhat'aq,"
"  Mettre, quand il vous plaît, son feutre de travers,","Paykunaqa, tukuy sonqo sonqoykipi, tukuy sonqoykipi, tukuy sonqoykipi, tukuy sonqoykipi, tukuy sonqoykipi, tukuy sonqoykipi, tukuy sonqoykipi, tukuy sonqoykipi, tukuy sonqoykipi ima, tukuy sonqoykipi ima, tukuy sonqoykipi ima, tukuy sonqoykipi ima, tukuy sonqo, tukuy sonqo, tukuy sonqo, tukuy sonqo, tukuy sonqo, tukuy sonqo, tukuy sonqo, tukuy sonqowan ima."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","¡Mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana, mana"
"  Travailler sans souci de gloire ou de fortune,","Mana allinpaqchu llank'anku, mana allinpaqchu llank'anku,"
"  A tel voyage, auquel on pense, dans la lune !",¡Chay hinallataqmi llulla pachaman puriyta yuyarisunman!
